gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,8192,8192,16384,7,0,527.5759,f6gemm_n2_stage_kernel_func,4168.16,1272.02,0.0
gfx950,256,14850,2048,2048,3,0,59.1434,f6gemm_astage_allk_kernel_func,2106.25,2198.72,0.0
gfx950,256,14850,2048,8192,7,0,160.1829,f6gemm_n2_stage_kernel_func,3110.71,2108.11,0.0
gfx950,256,544,3072,3072,9,0,12.2885,f6gemm_small_tstage_kernel_func,835.55,2079.92,0.0
gfx950,256,544,3072,12288,9,0,38.9577,f6gemm_small_tstage_kernel_func,1054.24,2366.90,0.0
gfx950,256,2080,3072,3072,8,0,25.8116,f6gemm_rect128_kernel_func,1520.97,1721.45,0.0
gfx950,256,2080,3072,12288,8,0,82.4307,f6gemm_rect128_kernel_func,1905.05,1691.06,0.0
gfx950,256,512,5120,5120,9,0,18.3495,f6gemm_small_tstage_kernel_func,1462.90,3428.68,0.0
gfx950,256,512,5120,13824,10,0,43.3671,f6gemm_small_full_kernel_func,1671.26,3711.49,0.0
gfx950,256,4095,5120,5120,2,0,90.6936,f6gemm_astage_g64_kernel_func,2367.27,1502.8,0.0
gfx950,256,4095,5120,13824,3,0,203.4774,f6gemm_astage_allk_kernel_func,2848.86,1458.19,0.0
gfx950,256,5850,5120,5120,5,0,103.7899,f6gemm_pipeline_q10_kernel_func,2955.09,1659.48,0.0
gfx950,256,5850,5120,13824,0,0,233.9322,f6gemm_tstage_kernel_func,3539.97,1552.6,0.0
gfx950,256,9419,5120,5120,0,0,159.0011,f6gemm_tstage_kernel_func,3105.81,1542.94,0.0
gfx950,256,9419,5120,13824,0,0,349.2942,f6gemm_tstage_kernel_func,3817.22,1426.95,0.0
gfx950,256,9450,5120,5120,0,0,157.7959,f6gemm_tstage_kernel_func,3139.83,1558.75,0.0
gfx950,256,9450,5120,13824,0,0,358.2779,f6gemm_tstage_kernel_func,3733.75,1394.45,0.0
gfx950,256,13950,5120,5120,0,0,241.3535,f6gemm_tstage_kernel_func,3030.33,1400.95,0.0
gfx950,256,13950,5120,13824,0,0,545.6549,f6gemm_tstage_kernel_func,3619.01,1228.06,0.0
gfx950,256,14260,5120,5120,3,0,238.1136,f6gemm_astage_allk_kernel_func,3139.82,1446.68,0.0
gfx950,256,14260,5120,13824,0,0,539.5559,f6gemm_tstage_kernel_func,3741.25,1263.71,0.0
gfx950,256,18900,5120,5120,1,0,292.3291,f6gemm_astage_g32_kernel_func,3389.69,1503.45,0.0
gfx950,256,18900,5120,13824,0,0,696.1333,f6gemm_tstage_kernel_func,3843.29,1232.01,0.0
gfx950,256,37800,5120,5120,1,0,569.8805,f6gemm_astage_g32_kernel_func,3477.59,1450.43,0.0
gfx950,256,37800,5120,13824,3,0,1351.9842,f6gemm_astage_allk_kernel_func,3957.8,1164.01,0.0
gfx950,256,75348,5120,5120,1,0,1118.8843,f6gemm_astage_g32_kernel_func,3530.66,1426.02,0.0
gfx950,256,75348,5120,13824,5,0,2734.3721,f6gemm_pipeline_q10_kernel_func,3900.75,1095.81,0.0
gfx950,256,75600,5120,5120,0,0,1133.8872,f6gemm_tstage_kernel_func,3495.6,1411.71,0.0
gfx950,256,75600,5120,13824,5,0,2674.2156,f6gemm_pipeline_q10_kernel_func,4001.83,1124.03,0.0
gfx950,256,576,6144,6144,8,0,39.9485,f6gemm_rect128_kernel_func,1088.57,2244.22,0.0
