gfx,cu_num,B,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx1250,256,2,1,1024,4096,flydsl,57,1,7.7,flydsl_blockscale_bpreshuffle_bmm_t16x128x1024_mw1_nw4_nb2_sk1_cm1_cn1,2.17,1091.1003,0.0
gfx1250,256,2,2,1024,4096,flydsl,55,1,6.5,flydsl_blockscale_bpreshuffle_bmm_t16x128x512_mw1_nw4_nb3_sk1_cm1_cn1,5.18,1294.4345,0.0
gfx1250,256,2,4,1024,4096,flydsl,55,1,6.6,flydsl_blockscale_bpreshuffle_bmm_t16x128x512_mw1_nw4_nb3_sk1_cm1_cn1,10.22,1278.5648,0.0
gfx1250,256,2,8,1024,4096,flydsl,55,1,6.5,flydsl_blockscale_bpreshuffle_bmm_t16x128x512_mw1_nw4_nb3_sk1_cm1_cn1,20.69,1305.8363,0.0
gfx1250,256,2,16,1024,4096,flydsl,55,1,6.7,flydsl_blockscale_bpreshuffle_bmm_t16x128x512_mw1_nw4_nb3_sk1_cm1_cn1,40.09,1281.6048,0.0
gfx1250,256,2,32,1024,4096,flydsl,55,1,6.4,flydsl_blockscale_bpreshuffle_bmm_t16x128x512_mw1_nw4_nb3_sk1_cm1_cn1,83.8,1372.5600,0.0
gfx1250,256,2,64,1024,4096,flydsl,55,1,6.3,flydsl_blockscale_bpreshuffle_bmm_t16x128x512_mw1_nw4_nb3_sk1_cm1_cn1,171.5,1457.0870,0.0
gfx1250,256,2,128,1024,4096,flydsl,55,1,6.4,flydsl_blockscale_bpreshuffle_bmm_t16x128x512_mw1_nw4_nb3_sk1_cm1_cn1,334.99,1557.8400,0.0
gfx1250,256,2,192,1024,4096,flydsl,55,1,7.4,flydsl_blockscale_bpreshuffle_bmm_t16x128x512_mw1_nw4_nb3_sk1_cm1_cn1,432.49,1454.1492,0.0
gfx1250,256,2,256,1024,4096,flydsl,55,1,7.5,flydsl_blockscale_bpreshuffle_bmm_t16x128x512_mw1_nw4_nb3_sk1_cm1_cn1,570.04,1540.1643,0.0
gfx1250,256,2,384,1024,4096,flydsl,271,1,8.2,flydsl_blockscale_bpreshuffle_bmm_t32x128x512_mw2_nw2_nb3_sk1_cm1_cn1,784.99,1601.4985,0.0
gfx1250,256,2,512,1024,4096,flydsl,223,1,8.6,flydsl_blockscale_bpreshuffle_bmm_t32x128x512_mw1_nw4_nb3_sk1_cm1_cn1,1002.85,1710.8540,0.0
gfx1250,256,2,768,1024,4096,flydsl,487,1,9.9,flydsl_blockscale_bpreshuffle_bmm_t64x128x512_mw4_nw2_nb3_sk1_cm1_cn1,1306.77,1805.6016,0.0
gfx1250,256,2,1024,1024,4096,flydsl,439,1,10.7,flydsl_blockscale_bpreshuffle_bmm_t64x128x512_mw2_nw2_nb3_sk1_cm1_cn1,1607.3,1966.1279,0.0
gfx1250,256,2,1536,1024,4096,flydsl,604,1,13.3,flydsl_blockscale_bpreshuffle_bmm_t128x128x256_mw2_nw2_nb3_sk1_cm1_cn1,1932.84,2057.2776,0.0
gfx1250,256,2,2048,1024,4096,flydsl,604,1,14.1,flydsl_blockscale_bpreshuffle_bmm_t128x128x256_mw2_nw2_nb3_sk1_cm1_cn1,2430.3,2389.0791,0.0
