M,N,K,q_dtype_w
1,768,7168,mxfp8
2,768,7168,mxfp8
4,768,7168,mxfp8
8,768,7168,mxfp8
16,768,7168,mxfp8
32,768,7168,mxfp8
48,768,7168,mxfp8
64,768,7168,mxfp8
80,768,7168,mxfp8
96,768,7168,mxfp8
112,768,7168,mxfp8
128,768,7168,mxfp8
144,768,7168,mxfp8
160,768,7168,mxfp8
176,768,7168,mxfp8
192,768,7168,mxfp8
208,768,7168,mxfp8
224,768,7168,mxfp8
240,768,7168,mxfp8
256,768,7168,mxfp8
288,768,7168,mxfp8
320,768,7168,mxfp8
352,768,7168,mxfp8
384,768,7168,mxfp8
416,768,7168,mxfp8
448,768,7168,mxfp8
480,768,7168,mxfp8
512,768,7168,mxfp8
544,768,7168,mxfp8
576,768,7168,mxfp8
608,768,7168,mxfp8
640,768,7168,mxfp8
672,768,7168,mxfp8
704,768,7168,mxfp8
736,768,7168,mxfp8
768,768,7168,mxfp8
800,768,7168,mxfp8
832,768,7168,mxfp8
864,768,7168,mxfp8
896,768,7168,mxfp8
928,768,7168,mxfp8
960,768,7168,mxfp8
992,768,7168,mxfp8
1024,768,7168,mxfp8
1088,768,7168,mxfp8
1152,768,7168,mxfp8
1216,768,7168,mxfp8
1280,768,7168,mxfp8
1344,768,7168,mxfp8
1408,768,7168,mxfp8
1472,768,7168,mxfp8
1536,768,7168,mxfp8
1600,768,7168,mxfp8
1664,768,7168,mxfp8
1728,768,7168,mxfp8
1792,768,7168,mxfp8
1856,768,7168,mxfp8
1920,768,7168,mxfp8
1984,768,7168,mxfp8
2048,768,7168,mxfp8
4096,768,7168,mxfp8
6144,768,7168,mxfp8
8192,768,7168,mxfp8
10240,768,7168,mxfp8
12288,768,7168,mxfp8
14336,768,7168,mxfp8
16384,768,7168,mxfp8
32768,768,7168,mxfp8
1,2048,7168,mxfp8
2,2048,7168,mxfp8
4,2048,7168,mxfp8
8,2048,7168,mxfp8
16,2048,7168,mxfp8
32,2048,7168,mxfp8
48,2048,7168,mxfp8
64,2048,7168,mxfp8
80,2048,7168,mxfp8
96,2048,7168,mxfp8
112,2048,7168,mxfp8
128,2048,7168,mxfp8
144,2048,7168,mxfp8
160,2048,7168,mxfp8
176,2048,7168,mxfp8
192,2048,7168,mxfp8
208,2048,7168,mxfp8
224,2048,7168,mxfp8
240,2048,7168,mxfp8
256,2048,7168,mxfp8
288,2048,7168,mxfp8
320,2048,7168,mxfp8
352,2048,7168,mxfp8
384,2048,7168,mxfp8
416,2048,7168,mxfp8
448,2048,7168,mxfp8
480,2048,7168,mxfp8
512,2048,7168,mxfp8
544,2048,7168,mxfp8
576,2048,7168,mxfp8
608,2048,7168,mxfp8
640,2048,7168,mxfp8
672,2048,7168,mxfp8
704,2048,7168,mxfp8
736,2048,7168,mxfp8
768,2048,7168,mxfp8
800,2048,7168,mxfp8
832,2048,7168,mxfp8
864,2048,7168,mxfp8
896,2048,7168,mxfp8
928,2048,7168,mxfp8
960,2048,7168,mxfp8
992,2048,7168,mxfp8
1024,2048,7168,mxfp8
1088,2048,7168,mxfp8
1152,2048,7168,mxfp8
1216,2048,7168,mxfp8
1280,2048,7168,mxfp8
1344,2048,7168,mxfp8
1408,2048,7168,mxfp8
1472,2048,7168,mxfp8
1536,2048,7168,mxfp8
1600,2048,7168,mxfp8
1664,2048,7168,mxfp8
1728,2048,7168,mxfp8
1792,2048,7168,mxfp8
1856,2048,7168,mxfp8
1920,2048,7168,mxfp8
1984,2048,7168,mxfp8
2048,2048,7168,mxfp8
4096,2048,7168,mxfp8
6144,2048,7168,mxfp8
8192,2048,7168,mxfp8
10240,2048,7168,mxfp8
12288,2048,7168,mxfp8
14336,2048,7168,mxfp8
16384,2048,7168,mxfp8
32768,2048,7168,mxfp8
1,6144,7168,mxfp8
2,6144,7168,mxfp8
4,6144,7168,mxfp8
8,6144,7168,mxfp8
16,6144,7168,mxfp8
32,6144,7168,mxfp8
48,6144,7168,mxfp8
64,6144,7168,mxfp8
80,6144,7168,mxfp8
96,6144,7168,mxfp8
112,6144,7168,mxfp8
128,6144,7168,mxfp8
144,6144,7168,mxfp8
160,6144,7168,mxfp8
176,6144,7168,mxfp8
192,6144,7168,mxfp8
208,6144,7168,mxfp8
224,6144,7168,mxfp8
240,6144,7168,mxfp8
256,6144,7168,mxfp8
288,6144,7168,mxfp8
320,6144,7168,mxfp8
352,6144,7168,mxfp8
384,6144,7168,mxfp8
416,6144,7168,mxfp8
448,6144,7168,mxfp8
480,6144,7168,mxfp8
512,6144,7168,mxfp8
