M,N,K
1,8192,8192
1,10240,8192
1,8192,28672
1,57344,8192
2,8192,8192
2,8192,28672
2,10240,8192
2,57344,8192
4,10240,8192
4,8192,8192
4,57344,8192
4,8192,28672
8,8192,8192
8,8192,28672
8,57344,8192
8,10240,8192
16,8192,8192
16,8192,28672
16,57344,8192
16,10240,8192
17,8192,28672
17,10240,8192
17,57344,8192
17,8192,8192
24,57344,8192
24,8192,8192
24,8192,28672
24,10240,8192
32,8192,28672
32,57344,8192
32,10240,8192
32,8192,8192
40,8192,8192
40,8192,28672
40,10240,8192
40,57344,8192
48,10240,8192
48,8192,8192
48,8192,28672
48,57344,8192
56,8192,8192
56,8192,28672
56,57344,8192
56,10240,8192
64,8192,8192
64,8192,28672
64,57344,8192
64,10240,8192
72,8192,8192
72,8192,28672
72,57344,8192
72,10240,8192
80,8192,28672
80,57344,8192
80,10240,8192
80,8192,8192
88,8192,8192
88,8192,28672
88,10240,8192
88,57344,8192
96,8192,8192
96,8192,28672
96,57344,8192
96,10240,8192
104,8192,28672
104,57344,8192
104,10240,8192
104,8192,8192
112,8192,8192
112,8192,28672
112,57344,8192
112,10240,8192
120,10240,8192
120,8192,8192
120,8192,28672
120,57344,8192
128,57344,8192
128,10240,8192
128,8192,8192
128,8192,28672
136,10240,8192
136,8192,8192
136,8192,28672
136,57344,8192
144,10240,8192
144,8192,8192
144,8192,28672
144,57344,8192
152,10240,8192
152,8192,8192
152,8192,28672
152,57344,8192
160,57344,8192
160,10240,8192
160,8192,8192
160,8192,28672
168,8192,8192
168,8192,28672
168,57344,8192
168,10240,8192
176,10240,8192
176,8192,8192
176,8192,28672
176,57344,8192
184,10240,8192
184,8192,8192
184,8192,28672
184,57344,8192
192,8192,8192
192,8192,28672
192,57344,8192
192,10240,8192
200,8192,28672
200,57344,8192
200,10240,8192
200,8192,8192
208,57344,8192
208,10240,8192
208,8192,8192
208,8192,28672
216,57344,8192
216,10240,8192
216,8192,8192
216,8192,28672
224,10240,8192
224,8192,8192
224,8192,28672
224,57344,8192
232,10240,8192
232,8192,8192
232,8192,28672
232,57344,8192
240,10240,8192
240,8192,8192
240,8192,28672
240,57344,8192
248,8192,28672
248,57344,8192
248,10240,8192
248,8192,8192
256,8192,28672
256,10240,8192
256,57344,8192
256,8192,8192
512,10240,8192
512,8192,8192
512,8192,28672
512,57344,8192
1024,10240,8192
1024,8192,8192
1024,8192,28672
1024,57344,8192
1536,8192,8192
1536,8192,28672
1536,57344,8192
1536,10240,8192
2048,8192,28672
2048,57344,8192
2048,8192,8192
2048,10240,8192
3072,8192,28672
3072,10240,8192
3072,8192,8192
3072,57344,8192
4096,10240,8192
4096,8192,8192
4096,8192,28672
4096,57344,8192
8192,10240,8192
8192,8192,8192
8192,8192,28672
8192,57344,8192
16384,8192,28672
16384,57344,8192
16384,10240,8192
16384,8192,8192
18432,8192,8192
18432,8192,28672
18432,57344,8192
18432,10240,8192
20480,10240,8192
20480,8192,8192
20480,8192,28672
20480,57344,8192
32768,57344,8192
32768,10240,8192
32768,8192,8192
32768,8192,28672
