M,N,K
1,6144,3072
1,16384,6144
1,4096,6144
1,6144,16384
2,4096,6144
2,6144,3072
2,6144,16384
2,16384,6144
4,4096,6144
4,16384,6144
4,6144,16384
4,6144,3072
8,6144,3072
8,16384,6144
8,6144,16384
8,4096,6144
16,16384,6144
16,4096,6144
16,6144,16384
16,6144,3072
17,6144,16384
17,6144,3072
17,16384,6144
17,4096,6144
24,6144,3072
24,16384,6144
24,4096,6144
24,6144,16384
32,6144,3072
32,4096,6144
32,6144,16384
32,16384,6144
40,6144,3072
40,16384,6144
40,4096,6144
40,6144,16384
48,6144,3072
48,16384,6144
48,6144,16384
48,4096,6144
56,6144,3072
56,16384,6144
56,6144,16384
56,4096,6144
64,16384,6144
64,6144,16384
64,4096,6144
64,6144,3072
72,16384,6144
72,6144,3072
72,6144,16384
72,4096,6144
80,6144,16384
80,16384,6144
80,4096,6144
80,6144,3072
88,16384,6144
88,6144,16384
88,6144,3072
88,4096,6144
96,16384,6144
96,6144,3072
96,6144,16384
96,4096,6144
104,16384,6144
104,6144,3072
104,6144,16384
104,4096,6144
112,6144,3072
112,16384,6144
112,6144,16384
112,4096,6144
120,6144,16384
120,4096,6144
120,6144,3072
120,16384,6144
128,16384,6144
128,6144,16384
128,4096,6144
128,6144,3072
136,16384,6144
136,6144,3072
136,4096,6144
136,6144,16384
144,16384,6144
144,6144,3072
144,6144,16384
144,4096,6144
152,6144,16384
152,6144,3072
152,16384,6144
152,4096,6144
160,16384,6144
160,6144,16384
160,4096,6144
160,6144,3072
168,16384,6144
168,6144,16384
168,4096,6144
168,6144,3072
176,6144,3072
176,16384,6144
176,6144,16384
176,4096,6144
184,6144,3072
184,16384,6144
184,6144,16384
184,4096,6144
192,6144,3072
192,16384,6144
192,6144,16384
192,4096,6144
200,6144,3072
200,16384,6144
200,4096,6144
200,6144,16384
208,6144,16384
208,6144,3072
208,16384,6144
208,4096,6144
216,16384,6144
216,4096,6144
216,6144,16384
216,6144,3072
224,6144,16384
224,6144,3072
224,16384,6144
224,4096,6144
232,16384,6144
232,6144,3072
232,4096,6144
232,6144,16384
240,6144,3072
240,16384,6144
240,4096,6144
240,6144,16384
248,6144,3072
248,4096,6144
248,6144,16384
248,16384,6144
256,6144,16384
256,6144,3072
256,16384,6144
256,4096,6144
512,6144,16384
512,6144,3072
512,16384,6144
512,4096,6144
1024,4096,6144
1024,6144,16384
1024,6144,3072
1024,16384,6144
1536,16384,6144
1536,6144,16384
1536,6144,3072
1536,4096,6144
2048,16384,6144
2048,6144,16384
2048,4096,6144
2048,6144,3072
3072,4096,6144
3072,6144,3072
3072,16384,6144
3072,6144,16384
4096,16384,6144
4096,6144,3072
4096,6144,16384
4096,4096,6144
8192,6144,3072
8192,16384,6144
8192,4096,6144
8192,6144,16384
16384,6144,16384
16384,6144,3072
16384,16384,6144
16384,4096,6144
18432,6144,16384
18432,6144,3072
18432,16384,6144
18432,4096,6144
20480,6144,16384
20480,6144,3072
20480,16384,6144
20480,4096,6144
65536,6144,3072
65536,16384,6144
65536,4096,6144
65536,6144,16384
