M,N,K,q_dtype_w
6144,12288,4096,torch.int8
12288,12288,4096,torch.int8
24576,12288,4096,torch.int8
49152,12288,4096,torch.int8
73728,12288,4096,torch.int8
98304,12288,4096,torch.int8
196608,12288,4096,torch.int8
294912,12288,4096,torch.int8
393216,12288,4096,torch.int8
589824,12288,4096,torch.int8
786432,12288,4096,torch.int8
1048576,12288,4096,torch.int8
6144,4096,4096,torch.int8
12288,4096,4096,torch.int8
24576,4096,4096,torch.int8
49152,4096,4096,torch.int8
73728,4096,4096,torch.int8
98304,4096,4096,torch.int8
196608,4096,4096,torch.int8
294912,4096,4096,torch.int8
393216,4096,4096,torch.int8
589824,4096,4096,torch.int8
786432,4096,4096,torch.int8
1048576,4096,4096,torch.int8
6144,1536,4096,torch.int8
12288,1536,4096,torch.int8
24576,1536,4096,torch.int8
49152,1536,4096,torch.int8
73728,1536,4096,torch.int8
98304,1536,4096,torch.int8
196608,1536,4096,torch.int8
294912,1536,4096,torch.int8
393216,1536,4096,torch.int8
589824,1536,4096,torch.int8
786432,1536,4096,torch.int8
1048576,1536,4096,torch.int8
6144,4096,1536,torch.int8
12288,4096,1536,torch.int8
24576,4096,1536,torch.int8
49152,4096,1536,torch.int8
73728,4096,1536,torch.int8
98304,4096,1536,torch.int8
196608,4096,1536,torch.int8
294912,4096,1536,torch.int8
393216,4096,1536,torch.int8
589824,4096,1536,torch.int8
786432,4096,1536,torch.int8
1048576,4096,1536,torch.int8
