gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx942,304,1,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,292,0,4.2696,flydsl_decode_v1_agfx942_m1_n896_k7168_pwave_mp1_np1_kv8_pf0_we1_cp2_rddpp_ctscalar_orrne,0,3.01,3012.25
gfx942,304,1,1536,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,472,0,1.7919,flydsl_decode_v1_agfx942_m1_n1536_k128_pblock2_ww4_cw2_asglobal_bl4_ku2_pf1_pn0_g1_we0_cp0_orrne,0,0.22,221.30
gfx942,304,1,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,324,0,5.7094,flydsl_decode_v1_agfx942_m1_n1536_k7168_pwave_mp1_np1_kv8_pf1_we2_cp2_rddpp_ctscalar_orrne,0,3.86,3859.86
gfx942,304,1,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,472,0,7.2746,flydsl_decode_v1_agfx942_m1_n2112_k7168_pblock2_ww4_cw2_asglobal_bl4_ku2_pf1_pn0_g1_we0_cp0_orrne,0,4.16,4164.68
gfx942,304,1,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,472,0,2.3367,flydsl_decode_v1_agfx942_m1_n2304_k1536_pblock2_ww4_cw2_asglobal_bl4_ku2_pf1_pn0_g1_we0_cp0_orrne,0,3.03,3032.27
gfx942,304,1,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,440,0,11.3271,flydsl_decode_v1_agfx942_m1_n3584_k7168_pblock2_ww4_cw1_asglobal_bl4_ku2_pf1_pn0_g1_we0_cp0_orrne,0,4.54,4537.95
gfx942,304,1,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,308,0,18.6890,flydsl_decode_v1_agfx942_m1_n6288_k7168_pwave_mp1_np1_kv8_pf0_we4_cp2_rddpp_ctscalar_orrne,0,4.82,4824.87
gfx942,304,1,7168,768,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,467,0,3.2589,flydsl_decode_v1_agfx942_m1_n7168_k768_pblock2_ww4_cw2_asglobal_bl4_ku1_pf1_pn0_g1_we1_cp2_orrne,0,3.38,3383.32
gfx942,304,1,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,396,0,5.8829,flydsl_decode_v1_agfx942_m1_n7168_k1536_pwave_mp1_np4_kv8_pf0_we2_cp2_rddpp_ctscalar_orrne,0,3.74,3746.05
gfx942,304,1,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,752,0,11.3315,flydsl_decode_v1_agfx942_m1_n7168_k3584_pblock2_ww16_cw2_asglobal_bl4_ku1_pf1_pn0_g1_we0_cp0_orrne,0,4.53,4536.19
gfx942,304,1,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,638,0,13.2407,flydsl_decode_v1_agfx942_m1_n7168_k4224_pblock2_ww12_cw1_asglobal_bl4_ku2_pf1_pn0_g1_we4_cp0_orrne,0,4.57,4575.12
gfx942,304,1,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,308,0,24.3643,flydsl_decode_v1_agfx942_m1_n8448_k7168_pwave_mp1_np1_kv8_pf0_we4_cp2_rddpp_ctscalar_orrne,0,4.97,4972.10
gfx942,304,1,20480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,308,0,60.0392,flydsl_decode_v1_agfx942_m1_n20480_k7168_pwave_mp1_np1_kv8_pf0_we4_cp2_rddpp_ctscalar_orrne,0,4.89,4891.08
gfx942,304,2,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,304,0,4.4094,flydsl_decode_v1_agfx942_m2_n896_k7168_pwave_mp2_np1_kv8_pf0_we4_cp0_rddpp_ctscalar_orrne,0,5.83,2920.40
gfx942,304,2,1536,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,552,0,1.8936,flydsl_decode_v1_agfx942_m2_n1536_k128_pblock2_ww8_cw1_aslds_bl4_ku2_pf1_pn0_g1_we0_cp0_orrne,0,0.42,211.16
gfx942,304,2,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,308,0,5.9462,flydsl_decode_v1_agfx942_m2_n1536_k7168_pblock2_ww16_cw1_aslds_bl8_ku2_pf1_pn1_g2_we4_cp0_orrne,0,7.41,3709.10
gfx942,304,2,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,308,0,7.4925,flydsl_decode_v1_agfx942_m2_n2112_k7168_pwave_mp2_np1_kv8_pf0_we4_cp2_rddpp_ctscalar_orrne,0,8.08,4046.02
gfx942,304,2,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,476,0,2.3395,flydsl_decode_v1_agfx942_m2_n2304_k1536_pblock2_ww8_cw1_aslds_bl8_ku1_pf1_pn1_g1_we0_cp0_orrne,0,6.05,3031.92
gfx942,304,2,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,628,0,11.4228,flydsl_decode_v1_agfx942_m2_n3584_k7168_pblock2_ww12_cw1_asglobal_bl4_ku1_pf1_pn0_g1_we2_cp0_orrne,0,9.00,4501.81
gfx942,304,2,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,605,0,20.9099,flydsl_decode_v1_agfx942_m2_n6288_k7168_pblock2_ww8_cw4_asglobal_bl4_ku2_pf1_pn0_g1_we2_cp2_orrne,0,8.62,4313.68
gfx942,304,2,7168,768,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,473,0,3.9792,flydsl_decode_v1_agfx942_m2_n7168_k768_pblock2_ww4_cw2_asglobal_bl4_ku2_pf1_pn0_g1_we0_cp2_orrne,0,5.53,2774.88
gfx942,304,2,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,679,0,6.0263,flydsl_decode_v1_agfx942_m2_n7168_k1536_pblock2_ww12_cw2_aslds_bl4_ku1_pf1_pn0_g1_we4_cp2_orrne,0,7.31,3659.79
gfx942,304,2,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,152,0,11.3491,flydsl_decode_v1_agfx942_m2_n7168_k3584_pwave_mp2_np1_kv4_pf0_we2_cp0_rddpp_ctscalar_orrne,0,9.05,4531.04
gfx942,304,2,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,29,0,13.9242,flydsl_decode_v1_agfx942_m2_n7168_k4224_pwave_mp2_np1_kv2_pf1_we1_cp2_rddpp_ctpacked_orrne,0,8.70,4352.20
gfx942,304,2,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,689,0,27.9425,flydsl_decode_v1_agfx942_m2_n8448_k7168_pblock2_ww12_cw4_asglobal_bl4_ku1_pf1_pn0_g1_we0_cp2_orrne,0,8.67,4336.51
gfx942,304,2,20480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,380,0,62.1160,flydsl_decode_v1_agfx942_m2_n20480_k7168_pwave_mp2_np2_kv8_pf1_we4_cp2_rddpp_ctscalar_orrne,0,9.45,4728.44
gfx942,304,3,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,297,0,4.7700,flydsl_decode_v1_agfx942_m3_n896_k7168_pblock2_ww8_cw1_aslds_bl4_ku2_pf1_pn1_g2_we4_cp0_orrne,0,8.08,2703.04
gfx942,304,3,1536,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,548,0,1.9377,flydsl_decode_v1_agfx942_m3_n1536_k128_pblock2_ww8_cw1_aslds_bl4_ku1_pf1_pn0_g1_we2_cp0_orrne,0,0.61,208.08
gfx942,304,3,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,317,0,6.2286,flydsl_decode_v1_agfx942_m3_n1536_k7168_pblock2_ww16_cw1_aslds_bl8_ku1_pf1_pn1_g2_we2_cp0_orrne,0,10.61,3543.72
gfx942,304,3,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,354,0,8.1679,flydsl_decode_v1_agfx942_m3_n2112_k7168_pwave_mp3_np2_kv8_pf0_we4_cp0_rdbpermute_ctscalar_orrne,0,11.12,3713.72
gfx942,304,3,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,800,0,2.5450,flydsl_decode_v1_agfx942_m3_n2304_k1536_pblock2_ww8_cw1_aslds_bl8_ku2_pf1_pn1_g1_we0_cp0_orrne,0,8.34,2790.12
gfx942,304,3,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,218,0,12.2777,flydsl_decode_v1_agfx942_m3_n3584_k7168_pwave_mp3_np2_kv4_pf1_we1_cp0_rdbpermute_ctscalar_orrne,0,12.55,4190.10
gfx942,304,3,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,603,0,23.4826,flydsl_decode_v1_agfx942_m3_n6288_k7168_pblock2_ww8_cw4_asglobal_bl4_ku2_pf1_pn0_g1_we1_cp2_orrne,0,11.52,3842.23
gfx942,304,3,7168,768,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,679,0,4.1434,flydsl_decode_v1_agfx942_m3_n7168_k768_pblock2_ww12_cw2_aslds_bl4_ku1_pf1_pn0_g1_we4_cp2_orrne,0,7.97,2668.72
gfx942,304,3,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,679,0,6.2474,flydsl_decode_v1_agfx942_m3_n7168_k1536_pblock2_ww12_cw2_aslds_bl4_ku1_pf1_pn0_g1_we4_cp2_orrne,0,10.57,3533.03
gfx942,304,3,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,308,0,12.7252,flydsl_decode_v1_agfx942_m3_n7168_k3584_pwave_mp3_np1_kv8_pf0_we4_cp2_rddpp_ctscalar_orrne,0,12.11,4042.75
gfx942,304,3,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,9,0,14.5635,flydsl_decode_v1_agfx942_m3_n7168_k4224_pwave_mp3_np1_kv2_pf0_we2_cp0_rddpp_ctpacked_orrne,0,12.47,4162.70
gfx942,304,3,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,607,0,26.6157,flydsl_decode_v1_agfx942_m3_n8448_k7168_pblock2_ww8_cw4_asglobal_bl4_ku2_pf1_pn0_g1_we4_cp2_orrne,0,13.65,4553.86
gfx942,304,3,20480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,62,0,65.4734,flydsl_decode_v1_agfx942_m3_n20480_k7168_pwave_mp3_np2_kv2_pf0_we2_cp2_rdbpermute_ctscalar_orrne,0,13.45,4486.82
gfx942,304,4,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,784,0,5.5203,flydsl_decode_v1_agfx942_m4_n896_k7168_pwave_mp2_np2_kv8_pf0_we4_cp0_rddpp_ctscalar_orrne,0,9.31,2338.55
gfx942,304,4,1536,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,552,0,2.0311,flydsl_decode_v1_agfx942_m4_n1536_k128_pblock2_ww8_cw1_aslds_bl4_ku2_pf1_pn0_g1_we0_cp0_orrne,0,0.77,200.16
gfx942,304,4,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,808,0,6.8103,flydsl_decode_v1_agfx942_m4_n1536_k7168_pwave_mp2_np2_kv8_pf1_we4_cp0_rddpp_ctscalar_orrne,0,12.93,3243.60
gfx942,304,4,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,547,0,8.1599,flydsl_decode_v1_agfx942_m4_n2112_k7168_pblock2_ww8_cw1_aslds_bl4_ku1_pf1_pn0_g1_we1_cp2_orrne,0,14.84,3719.64
gfx942,304,4,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,792,0,2.6917,flydsl_decode_v1_agfx942_m4_n2304_k1536_pblock2_ww8_cw1_aslds_bl8_ku2_pf1_pn1_g1_we0_cp0_orrne,0,10.52,2640.98
gfx942,304,4,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,218,0,12.7136,flydsl_decode_v1_agfx942_m4_n3584_k7168_pwave_mp4_np2_kv4_pf1_we1_cp0_rdbpermute_ctscalar_orrne,0,16.17,4048.14
gfx942,304,4,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,593,0,25.6382,flydsl_decode_v1_agfx942_m4_n6288_k7168_pblock2_ww8_cw4_asglobal_bl4_ku1_pf1_pn0_g1_we0_cp2_orrne,0,14.06,3520.23
gfx942,304,4,7168,768,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,681,0,4.3902,flydsl_decode_v1_agfx942_m4_n7168_k768_pblock2_ww12_cw2_aslds_bl4_ku2_pf1_pn0_g1_we0_cp2_orrne,0,10.03,2522.32
gfx942,304,4,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,687,0,6.1392,flydsl_decode_v1_agfx942_m4_n7168_k1536_pblock2_ww12_cw2_aslds_bl4_ku2_pf1_pn0_g1_we4_cp2_orrne,0,14.35,3598.12
gfx942,304,4,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,288,0,12.1984,flydsl_decode_v1_agfx942_m4_n7168_k3584_pwave_mp4_np1_kv8_pf0_we1_cp0_rddpp_ctscalar_orrne,0,16.85,4219.11
gfx942,304,4,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,2,0,14.8099,flydsl_decode_v1_agfx942_m4_n7168_k4224_pblock2_ww8_cw1_aslds_bl8_ku1_pf1_pn1_g1_we0_cp0_orrne,0,16.36,4094.99
gfx942,304,4,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,505,0,28.9865,flydsl_decode_v1_agfx942_m4_n8448_k7168_pblock2_ww4_cw4_asglobal_bl4_ku2_pf1_pn0_g1_we0_cp2_orrne,0,16.71,4182.48
gfx942,304,4,20480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl_decode,367,0,67.5630,flydsl_decode_v1_agfx942_m4_n20480_k7168_pwave_mp4_np2_kv8_pf1_we1_cp2_rdbpermute_ctpacked_orrne,0,17.38,4348.87
