gfx,model_dim,inter_dim,experts,topk,tp,m,family,tile_m,tile_n,tile_k,sort_block_m,window,local_workers,reduce_scatter_grid,all_gather_grid,service_grid,vector_width,waves_per_eu,compute_groups,reduce_vector_width,service_block,route_store_scope,local_load_cache_modifier,remote_load_cache_modifier,fp8_scale_exponent,block_threads,b_cache_modifier,gather_load_cache_modifier,remote_store_cache_modifier,n_tile_cohort,collective,service_groups,service_tile_group,producer_mode,flat_producer_grid
gfx950,7168,384,384,6,8,1,gemm2_tp_mega,16,256,128,32,,,,,,16,2,12,,,device,1,1,125,256,0,-1,0,0,direct,1,,routes,0
gfx950,7168,384,384,6,8,2,gemm2_tp_mega,16,256,128,32,,,,,,16,2,12,,,device,1,1,125,256,0,-1,0,0,direct,1,,routes,0
gfx950,7168,384,384,6,8,4,gemm2_tp_mega,16,256,128,32,,,,,,16,2,24,,,device,1,1,125,256,0,-1,0,0,direct,1,,routes,0
gfx950,7168,384,384,6,8,8,gemm2_tp_mega,16,256,128,32,,,,,,16,2,48,,,device,1,1,125,256,0,-1,0,0,direct,1,,routes,0
gfx950,7168,384,384,6,8,16,gemm2_tp_mega,16,256,128,32,,,,,,16,2,96,,,device,1,1,125,256,0,-1,0,0,direct,1,,routes,0
gfx950,7168,384,384,6,8,64,gemm2_tp_mega,16,128,128,32,,,,,,8,0,208,,,device,1,1,127,128,3,-1,3,0,rs_broadcast,1,,atomic_shared,1
gfx950,7168,384,384,6,8,128,gemm2_tp_mega,16,128,128,32,,,,,,8,0,176,,,device,1,1,127,128,3,-1,3,0,rs_broadcast,1,1,atomic_shared,1
gfx950,7168,384,384,6,8,256,gemm2_tp_atomic,,,,,,,112,98,,,,,,,,,,,,,,,,,,,,
gfx950,7168,384,384,6,8,512,gemm2_tp_atomic,,,,,,,128,98,,,,,,,,,,,,,,,,,,,,
gfx950,7168,384,384,6,8,1024,gemm2_tp_atomic,,,,,,,128,98,,,,,,,,,,,,,,,,,,,,
gfx950,7168,384,384,6,8,2048,gemm2_tp_mega,64,256,128,64,,,,,,8,0,154,,,device,1,1,127,256,3,1,3,0,rsag,8,28,routes_fp8_fixed,1
gfx950,7168,384,384,6,8,4096,gemm2_tp_window,64,256,128,64,1024,2048,112,98,,,,,,,,,,,,,,,,,,,,
gfx950,7168,384,384,6,8,8192,gemm2_tp_window,64,256,128,64,1024,2048,112,98,,,,,,,,,,,,,,,,,,,,
gfx950,7168,384,384,6,8,16384,gemm2_tp_window,64,256,128,64,1024,2048,112,98,,,,,,,,,,,,,,,,,,,,
gfx950,7168,384,384,6,8,32768,gemm2_tp_window,64,256,128,64,1024,2048,112,98,,,,,,,,,,,,,,,,,,,,
