gfx,cu_num,N,C,D,H,W,K,kT,kH,kW,stride_d,stride_h,stride_w,pad_d,pad_h,pad_w,dil_d,dil_h,dil_w,groups,bias,tile_m,tile_n,wave_m,wave_n,wgm,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,3,1,1024,1024,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,96,96,2,3,1,1,122.7611,conv3d_implicit_t96x96_w2x3_g1,0.0,44.28,1691.28
gfx950,256,1,3,6,482,834,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True,192,128,2,2,1,1,236.5745,conv3d_implicit_t192x128_w2x2_g1,0.0,105.01,1357.69
gfx950,256,1,16,1,128,128,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,2,2,1,1,19.6337,conv3d_implicit_t128x192_w2x2_g1,0.0,92.29,673.22
gfx950,256,1,96,1,512,512,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,4,1,1,1,151.3194,conv3d_implicit_t128x192_w4x1_g1,0.0,574.76,1000.05
gfx950,256,1,96,1,1024,1024,3,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,32,2,1,1,1,219.7917,conv3d_implicit_t128x32_w2x1_g1,0.0,24.73,944.64
gfx950,256,1,96,6,242,418,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True,128,192,2,2,1,1,522.453,conv3d_implicit_t128x192_w2x2_g1,0.0,760.82,518.48
gfx950,256,1,96,6,482,834,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True,192,128,2,2,1,1,1371.5806,conv3d_implicit_t192x128_w2x2_g1,0.0,579.61,561.61
gfx950,256,1,192,1,512,512,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,1,4,1,1,238.5953,conv3d_implicit_t128x192_w1x4_g1,0.0,729.04,846.58
gfx950,256,1,192,6,242,418,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True,128,192,1,4,1,1,1000.2019,conv3d_implicit_t128x192_w1x4_g1,0.0,794.83,388.33
gfx950,256,1,384,3,62,106,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,64,64,2,2,1,1,124.3271,conv3d_implicit_t64x64_w2x2_g1,0.0,399.65,224.38
