cu_num,M,N,K,q_dtype_w,tile_m,tile_n,tile_k,lds_stage,use_cshuffle_epilog,use_async_copy,waves_per_eu
80,4,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,0,4
80,16,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,1,1
80,17,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,1,2
80,18,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,1,3
80,19,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,0,3
80,20,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,0,1
80,21,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,1,0
80,22,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,0,0
80,23,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,0,4
80,24,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,0,3
80,25,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,0,2
80,26,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,1,2
80,27,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,0,2
80,28,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,1,4
80,29,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,0,3
80,30,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,1,4
80,31,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,1,4
80,32,1280,4096,torch.float8_e4m3fnuz,16,64,512,1,1,0,3
80,4,3328,4096,torch.float8_e4m3fnuz,16,64,512,1,1,0,2
80,16,3328,4096,torch.float8_e4m3fnuz,16,64,512,1,1,0,1
80,17,3328,4096,torch.float8_e4m3fnuz,32,64,512,2,1,0,3
80,18,3328,4096,torch.float8_e4m3fnuz,32,64,512,2,1,0,1
80,19,3328,4096,torch.float8_e4m3fnuz,32,64,512,2,1,0,3
80,20,3328,4096,torch.float8_e4m3fnuz,32,64,512,2,1,0,3
80,21,3328,4096,torch.float8_e4m3fnuz,32,64,512,2,1,0,1
80,22,3328,4096,torch.float8_e4m3fnuz,32,64,512,2,1,0,1
80,23,3328,4096,torch.float8_e4m3fnuz,32,64,512,2,1,0,0
80,24,3328,4096,torch.float8_e4m3fnuz,32,64,512,2,1,0,4
80,25,3328,4096,torch.float8_e4m3fnuz,32,64,512,2,1,0,1
80,26,3328,4096,torch.float8_e4m3fnuz,32,64,512,2,1,0,0
80,27,3328,4096,torch.float8_e4m3fnuz,32,64,512,2,1,0,3
80,28,3328,4096,torch.float8_e4m3fnuz,32,64,512,2,1,0,3
80,29,3328,4096,torch.float8_e4m3fnuz,32,64,512,2,1,0,1
80,30,3328,4096,torch.float8_e4m3fnuz,32,64,512,2,1,0,4
80,31,3328,4096,torch.float8_e4m3fnuz,32,64,512,2,1,0,1
80,32,3328,4096,torch.float8_e4m3fnuz,32,64,512,2,1,0,0
80,4,4096,1024,torch.float8_e4m3fnuz,16,64,512,1,0,1,2
80,16,4096,1024,torch.float8_e4m3fnuz,16,64,512,1,0,1,2
80,17,4096,1024,torch.float8_e4m3fnuz,16,128,512,2,0,0,4
80,18,4096,1024,torch.float8_e4m3fnuz,16,128,512,2,0,0,4
80,19,4096,1024,torch.float8_e4m3fnuz,16,128,512,2,0,0,4
80,20,4096,1024,torch.float8_e4m3fnuz,16,128,512,2,0,0,4
80,21,4096,1024,torch.float8_e4m3fnuz,16,128,512,2,0,0,4
80,22,4096,1024,torch.float8_e4m3fnuz,16,128,512,2,0,0,4
80,23,4096,1024,torch.float8_e4m3fnuz,16,128,512,2,0,0,4
80,24,4096,1024,torch.float8_e4m3fnuz,16,128,512,2,0,0,4
80,25,4096,1024,torch.float8_e4m3fnuz,16,128,512,2,0,0,4
80,26,4096,1024,torch.float8_e4m3fnuz,16,128,512,2,0,0,4
80,27,4096,1024,torch.float8_e4m3fnuz,16,128,512,2,0,0,4
80,28,4096,1024,torch.float8_e4m3fnuz,16,128,512,2,0,0,4
80,29,4096,1024,torch.float8_e4m3fnuz,16,128,512,2,0,0,4
80,30,4096,1024,torch.float8_e4m3fnuz,16,128,512,2,0,0,4
80,31,4096,1024,torch.float8_e4m3fnuz,16,128,512,2,0,0,4
80,32,4096,1024,torch.float8_e4m3fnuz,16,128,512,2,0,0,4
