gfx,cu_num,tp,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,gate_mode,block_m,ksplit,kernelName1,kernelName2,us,us_default,speedup_vs_default,candidates_timed,_tag
gfx950,256,8,8,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,32,0,flydsl_mxmoe_g1_a4w4_32x64x256_nt_situv2,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_sbm32,317.2772,325.6733,1.0265,60,mega_moe_tp_pinned
gfx950,256,8,16,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,32,0,flydsl_mxmoe_g1_a4w4_32x64x256_nt_situv2,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,302.0271,305.4831,1.0114,31,mega_moe_tp_pinned
gfx950,256,8,32,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,64,0,flydsl_mxmoe_g1_a4w4_64x256x256_situv2,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_nt_sbm64,303.6791,317.9672,1.047,31,mega_moe_tp_pinned
gfx950,256,8,64,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,32,0,flydsl_mxmoe_g1_a4w4_32x256x256_nt_situv2,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,371.0278,371.0278,1.0,31,mega_moe_tp_pinned
gfx950,256,8,128,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,32,0,flydsl_mxmoe_g1_a4w4_32x256x256_nt_situv2,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,375.1998,375.1998,1.0,31,mega_moe_tp_pinned
gfx950,256,8,256,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,32,0,flydsl_mxmoe_g1_a4w4_32x256x256_nt_situv2,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,383.0299,383.0299,1.0,31,mega_moe_tp_pinned
gfx950,256,8,512,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,32,0,flydsl_mxmoe_g1_a4w4_32x128x256_nt_situv2,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,395.732,396.6,1.0022,31,mega_moe_tp_pinned
gfx950,256,8,1024,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,32,0,flydsl_mxmoe_g1_a4w4_32x256x256_nt_situv2,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,437.2004,437.2004,1.0,31,mega_moe_tp_pinned
gfx950,256,8,2048,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,64,0,flydsl_mxmoe_g1_a4w4_64x256x256_nt_situv2,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_nt_sbm64,524.8453,583.2139,1.1112,54,mega_moe_tp_pinned
gfx950,256,8,4096,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,128,0,flydsl_mxmoe_g1_a4w4_128x128x256_situv2,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x128_reduce_sbm128,747.6776,907.2393,1.2134,54,mega_moe_tp_pinned
gfx950,256,8,8192,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,64,0,flydsl_mxmoe_g1_a4w4_64x256x256_situv2,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm64,1263.1708,1790.5439,1.4175,60,mega_moe_tp_pinned
gfx950,256,8,16384,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,128,0,flydsl_mxmoe_g1_a4w4_128x256x256_situv2,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x128_reduce_sbm128,2022.4585,2790.7002,1.3799,54,mega_moe_tp_pinned
gfx950,256,8,32768,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,128,0,flydsl_mxmoe_g1_a4w4_128x128x256_situv2,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x128_reduce_sbm128,3689.6931,5274.3955,1.4295,54,mega_moe_tp_pinned
gfx950,256,8,8,7168,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,32,0,flydsl_mxmoe_g1_a4w4_32x128x256_nt,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_atomic_nt_sbm32,308.9051,313.2972,1.0142,27,mega_moe_tp_pinned
gfx950,256,8,16,7168,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,32,0,flydsl_mxmoe_g1_a4w4_32x128x256,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_atomic_nt_sbm32,286.0269,292.3409,1.0221,27,mega_moe_tp_pinned
