cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,1,3072,3072,ck,8,1,10.2347,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.84,922.98,0.0
256,2,3072,3072,ck,8,3,10.3219,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.66,916.07,0.0
256,4,3072,3072,ck,8,2,10.3272,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.31,917.39,0.0
256,8,3072,3072,ck,8,1,10.3443,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,14.6,919.44,0.0
256,16,3072,3072,ck,8,0,10.2319,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,29.51,936.74,0.0
256,24,3072,3072,ck,8,0,10.4875,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,43.19,920.94,0.0
256,32,3072,3072,ck,8,1,10.2875,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,58.71,946.01,0.0
256,40,3072,3072,ck,8,1,10.4715,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,72.1,936.43,0.0
256,48,3072,3072,ck,8,2,10.2888,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,88.05,960.22,0.0
256,56,3072,3072,ck,8,2,10.4048,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,101.58,956.6,0.0
256,64,3072,3072,ck,8,0,10.2611,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,117.72,977.19,0.0
256,72,3072,3072,ck,8,2,10.5656,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,128.62,956.0,0.0
256,80,3072,3072,ck,8,0,10.1823,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,148.29,999.23,0.0
256,88,3072,3072,ck,8,1,11.0313,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,150.57,929.01,0.0
256,96,3072,3072,ck,8,3,10.8693,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,166.7,949.64,0.0
256,104,3072,3072,ck,7,3,11.3415,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,173.08,916.6,0.0
256,112,3072,3072,ck,7,0,11.3687,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,185.94,920.89,0.0
256,120,3072,3072,ck,7,2,11.3389,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,199.75,929.82,0.0
256,128,3072,3072,ck,7,2,11.3059,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,213.69,939.05,0.0
256,136,3072,3072,ck,7,1,11.4039,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,225.09,937.45,0.0
256,144,3072,3072,ck,7,0,11.2044,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,242.58,960.72,0.0
256,152,3072,3072,ck,7,1,11.2786,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,254.37,960.94,0.0
256,160,3072,3072,ck,7,2,11.242,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,268.63,970.62,0.0
256,168,3072,3072,ck,18,1,11.2827,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,281.04,973.66,0.0
256,176,3072,3072,ck,18,3,11.37,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,292.16,972.66,0.0
256,184,3072,3072,ck,18,2,11.3728,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,305.37,978.91,0.0
256,192,3072,3072,ck,18,2,11.3663,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,318.83,985.95,0.0
256,200,3072,3072,ck,18,0,11.4141,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,330.72,988.29,0.0
256,208,3072,3072,ck,18,0,11.3383,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,346.25,1001.39,0.0
256,216,3072,3072,ck,18,3,11.3878,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,358.0,1003.52,0.0
256,224,3072,3072,ck,18,1,11.4254,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,370.04,1006.67,0.0
256,232,3072,3072,ck,18,3,11.4801,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,381.43,1008.29,0.0
256,240,3072,3072,ck,18,1,11.5001,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,393.9,1012.95,0.0
256,248,3072,3072,ck,18,0,11.5201,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,406.32,1017.59,0.0
256,256,3072,3072,ck,18,0,11.4548,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,421.82,1029.83,0.0
256,272,3072,3072,ck,18,3,11.7772,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,435.91,1014.16,0.0
256,288,3072,3072,ck,18,2,11.7186,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,463.86,1031.81,0.0
256,304,3072,3072,ck,18,2,11.7681,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,487.57,1040.0,0.0
256,320,3072,3072,ck,18,1,11.6835,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,516.95,1060.15,0.0
256,336,3072,3072,ck,18,2,15.2294,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,416.42,823.0,0.0
256,352,3072,3072,ck,18,2,15.2831,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,434.71,829.75,0.0
256,368,3072,3072,ck,18,0,15.2948,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,454.13,838.76,0.0
256,384,3072,3072,ck,18,3,15.3222,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,473.02,846.88,0.0
256,400,3072,3072,ck,18,2,15.7496,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,479.36,833.26,0.0
256,416,3072,3072,ck,18,2,15.8701,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,494.75,836.23,0.0
256,432,3072,3072,ck,18,1,15.9561,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,511.01,840.96,0.0
256,448,3072,3072,ck,18,0,15.9947,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,528.66,848.15,0.0
256,464,3072,3072,ck,18,1,16.2015,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,540.55,846.43,0.0
256,480,3072,3072,ck,18,2,16.3059,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,555.61,850.05,0.0
256,496,3072,3072,ck,18,2,16.4135,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,570.37,853.46,0.0
256,512,3072,3072,ck,18,2,16.5394,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,584.28,855.88,0.0
256,8192,3072,3072,ck,0,3,122.2161,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1265.13,694.95,0.0
256,1,4096,3072,ck,8,3,9.935,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.53,1267.66,0.0
256,2,4096,3072,ck,8,2,9.9306,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.07,1269.35,0.0
256,4,4096,3072,ck,8,0,9.9745,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.09,1266.03,0.0
256,8,4096,3072,ck,8,2,10.0141,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,20.1,1265.52,0.0
256,16,4096,3072,ck,8,1,9.9525,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,40.46,1282.41,0.0
256,24,4096,3072,ck,8,0,10.1722,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,59.38,1263.57,0.0
256,32,4096,3072,ck,8,1,10.0081,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,80.47,1293.29,0.0
256,40,4096,3072,ck,8,0,10.1242,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,99.43,1287.36,0.0
256,48,4096,3072,ck,8,0,9.9702,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,121.16,1316.28,0.0
256,56,4096,3072,ck,8,3,10.1955,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,138.23,1296.03,0.0
256,64,4096,3072,ck,8,0,9.9457,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,161.94,1337.64,0.0
256,72,4096,3072,ck,18,0,11.2042,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,161.72,1195.44,0.0
256,80,4096,3072,ck,18,2,11.19,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,179.92,1205.01,0.0
256,88,4096,3072,ck,7,2,11.2054,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,197.64,1211.39,0.0
256,96,4096,3072,ck,7,0,11.1211,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,217.24,1228.68,0.0
256,104,4096,3072,ck,7,2,11.1863,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,233.97,1229.57,0.0
256,112,4096,3072,ck,7,0,11.0669,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,254.68,1250.98,0.0
256,120,4096,3072,ck,7,1,11.1542,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,270.74,1249.27,0.0
256,128,4096,3072,ck,7,2,11.0431,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,291.7,1270.0,0.0
256,136,4096,3072,ck,18,1,11.294,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,303.04,1249.76,0.0
256,144,4096,3072,ck,18,1,11.3254,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,319.98,1254.25,0.0
256,152,4096,3072,ck,18,3,11.3601,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,336.72,1258.36,0.0
256,160,4096,3072,ck,18,1,11.4121,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,352.83,1260.52,0.0
256,168,4096,3072,ck,18,0,11.4492,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,369.27,1264.3,0.0
256,176,4096,3072,ck,18,2,11.5298,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,384.15,1263.28,0.0
256,184,4096,3072,ck,18,2,11.5776,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,399.95,1265.85,0.0
256,192,4096,3072,ck,18,1,11.542,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,418.63,1277.56,0.0
256,200,4096,3072,ck,18,1,11.5035,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,437.53,1289.67,0.0
256,208,4096,3072,ck,18,2,11.5711,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,452.38,1289.92,0.0
256,216,4096,3072,ck,18,0,11.5918,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,468.94,1295.39,0.0
256,224,4096,3072,ck,18,3,11.6092,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,485.58,1301.21,0.0
256,232,4096,3072,ck,18,3,11.6475,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,501.26,1304.67,0.0
256,240,4096,3072,ck,18,3,11.7364,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,514.62,1302.47,0.0
256,248,4096,3072,ck,18,3,11.7591,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,530.75,1307.62,0.0
256,256,4096,3072,ck,18,0,11.6366,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,553.64,1329.13,0.0
256,272,4096,3072,ck,18,1,15.7929,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,433.43,990.74,0.0
256,288,4096,3072,ck,18,1,15.8738,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,456.59,997.05,0.0
256,304,4096,3072,ck,18,0,16.0338,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,477.14,998.34,0.0
256,320,4096,3072,ck,18,1,16.495,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,488.21,981.35,0.0
256,336,4096,3072,ck,18,0,16.2164,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,521.43,1009.32,0.0
256,352,4096,3072,ck,18,0,16.1991,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,546.84,1021.53,0.0
256,368,4096,3072,ck,18,1,16.389,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,565.08,1020.69,0.0
256,384,4096,3072,ck,18,3,16.5625,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,583.47,1020.88,0.0
256,400,4096,3072,ck,18,1,16.7225,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,601.96,1021.89,0.0
256,416,4096,3072,ck,18,1,16.8134,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,622.66,1027.08,0.0
