gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,128,1,1280,4096,21,0,5.4789,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,1,2304,4096,21,0,5.5615,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,1,4096,1024,21,0,3.4993,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,1,4096,2048,21,0,4.252,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,1,4096,4096,21,0,5.5867,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,1,4096,8192,21,0,8.2607,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,1,4608,2048,21,0,5.7108,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,3.31,828.05,0.0
gfx950,128,1,4608,4096,21,0,5.6645,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,1,9216,4096,21,0,6.221,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,2,1280,4096,21,0,5.5228,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,2,2304,4096,21,0,5.5684,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,2,4096,1024,21,0,3.5855,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,2,4096,2048,21,0,4.2545,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,2,4096,4096,21,0,5.5717,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,2,4096,8192,21,0,8.3488,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,2,4608,2048,21,0,5.7418,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,6.57,825.36,0.0
gfx950,128,2,4608,4096,21,0,5.6655,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,2,9216,4096,21,0,6.1927,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,4,1280,4096,21,0,5.5572,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,4,2304,4096,21,0,5.6103,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,4,4096,1024,21,0,3.5825,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,4,4096,2048,21,0,4.2712,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,4,4096,4096,21,0,5.6071,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,4,4096,8192,21,0,8.4483,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,4,4608,2048,21,0,5.8118,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,12.99,818.95,0.0
gfx950,128,4,4608,4096,21,0,5.7121,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,4,9216,4096,21,0,6.311,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,8,1280,4096,21,0,5.5773,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,8,2304,4096,21,0,5.6288,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,8,4096,1024,21,0,3.5672,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,8,4096,2048,21,0,4.3217,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,8,4096,4096,21,0,5.6073,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,8,4096,8192,21,0,8.3251,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,8,4608,2048,21,0,5.8196,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,25.95,824.89,0.0
gfx950,128,8,4608,4096,21,0,5.7487,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,8,9216,4096,21,0,6.0469,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,16,1280,4096,21,0,5.6249,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,16,2304,4096,21,0,5.6897,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,16,4096,1024,21,0,3.6931,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,16,4096,2048,21,0,4.3396,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,16,4096,4096,21,0,5.6999,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,16,4096,8192,21,0,8.3779,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,16,4608,2048,21,0,5.9346,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,50.89,822.71,0.0
gfx950,128,16,4608,4096,21,0,5.8586,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,16,9216,4096,21,0,6.0988,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
gfx950,128,24,4096,2048,21,0,5.971,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,67.43,739.49,0.0
gfx950,128,24,4608,2048,29,0,5.9077,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,76.68,840.32,0.0
gfx950,128,29,4096,2048,21,0,6.0862,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,79.94,733.06,0.0
gfx950,128,29,4608,2048,21,0,6.2002,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,88.28,808.93,0.0
gfx950,128,32,1280,4096,21,0,5.7892,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.0,0.0,0.0
