gfx,cu_num,M,N,K,kernelName,splitK
gfx950,256,8192,3072,9216,aiter_a6w4_stnt,0
gfx950,256,8192,3072,12288,aiter_a6w4_stnt,0
gfx950,256,9216,3072,8192,aiter_a6w4_dfp6_d3_s3,0
gfx950,256,9216,3072,32768,aiter_a6w4_dfp6_d3_s0,0
gfx950,256,12288,3072,16384,aiter_a6w4_stnt_allk,0
gfx950,256,12288,3072,32768,aiter_a6w4_dfp6_d4_s3,0
gfx950,256,16384,3072,3072,aiter_a6w4_dfp6_d3_s3,0
gfx950,256,16384,3072,9216,aiter_a6w4_dfp6_d3_s0,0
gfx950,256,16384,3072,12288,aiter_a6w4_stnt,0
gfx950,256,32768,3072,3072,aiter_a6w4_dfp6_d3_s3,0
gfx950,256,32768,3072,9216,aiter_a6w4_stnt_allk,0
gfx950,256,8192,9216,3072,aiter_a6w4_dfp6_d4_s0,0
gfx950,256,16384,9216,3072,aiter_a6w4_dfp6_d3_s0,0
gfx950,256,32768,9216,3072,aiter_a6w4_dfp6_d3_s0,0
gfx950,256,8192,12288,3072,aiter_a6w4_dfp6_d3_s0,0
gfx950,256,16384,12288,3072,aiter_a6w4_dfp6_d4_s0,0
gfx950,256,32768,12288,3072,aiter_a6w4_dfp6_d3_s0,0
