gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,3072,3072,8192,6,0,55.2446,f6gemm_stnt_allk_kernel_func,2798.81,1024.95,0.0
gfx950,256,3072,3072,16384,6,0,103.2083,f6gemm_stnt_allk_kernel_func,2996.25,914.38,0.0
gfx950,256,3072,3072,32768,6,0,200.1889,f6gemm_stnt_allk_kernel_func,3089.46,848.55,0.0
gfx950,256,8192,3072,3072,6,0,57.91,f6gemm_stnt_allk_kernel_func,2669.64,1317.28,0.0
gfx950,256,8192,3072,9216,6,0,139.7301,f6gemm_stnt_allk_kernel_func,3319.66,917.4,0.0
gfx950,256,8192,3072,12288,4,0,190.34,f6gemm_dmabig_allk_kernel_func,3249.32,809.83,0.0
gfx950,256,9216,3072,8192,6,0,133.6504,f6gemm_stnt_allk_kernel_func,3470.67,988.55,0.0
gfx950,256,9216,3072,16384,6,0,253.6368,f6gemm_stnt_allk_kernel_func,3657.64,818.56,0.0
gfx950,256,9216,3072,32768,5,0,521.8362,f6gemm_stnt_kernel_func,3555.57,687.21,0.0
gfx950,256,12288,3072,8192,6,0,190.912,f6gemm_stnt_allk_kernel_func,3239.58,889.78,0.0
gfx950,256,12288,3072,16384,6,0,363.4837,f6gemm_stnt_allk_kernel_func,3403.04,726.97,0.0
gfx950,256,12288,3072,32768,6,0,742.4006,f6gemm_stnt_allk_kernel_func,3332.3,610.16,0.0
gfx950,256,16384,3072,3072,6,0,97.194,f6gemm_stnt_allk_kernel_func,3181.65,1496.9,0.0
gfx950,256,16384,3072,9216,6,0,244.4398,f6gemm_stnt_allk_kernel_func,3795.26,961.97,0.0
gfx950,256,16384,3072,12288,6,0,316.7972,f6gemm_stnt_allk_kernel_func,3904.55,883.75,0.0
gfx950,256,32768,3072,3072,5,0,191.544,f6gemm_stnt_kernel_func,3228.89,1482.18,0.0
gfx950,256,32768,3072,9216,6,0,489.1383,f6gemm_stnt_allk_kernel_func,3793.25,918.05,0.0
gfx950,256,32768,3072,12288,6,0,658.8522,f6gemm_stnt_allk_kernel_func,3754.86,806.9,0.0
gfx950,256,8192,9216,3072,5,0,154.8846,f6gemm_stnt_kernel_func,2994.85,1233.84,0.0
gfx950,256,16384,9216,3072,5,0,289.1206,f6gemm_stnt_kernel_func,3208.74,1248.52,0.0
gfx950,256,32768,9216,3072,6,0,572.1891,f6gemm_stnt_allk_kernel_func,3242.68,1224.61,0.0
gfx950,256,3072,12288,8192,5,0,190.262,f6gemm_stnt_kernel_func,3250.65,892.82,0.0
gfx950,256,3072,12288,16384,5,0,361.6976,f6gemm_stnt_kernel_func,3419.85,730.56,0.0
gfx950,256,3072,12288,32768,6,0,727.7637,f6gemm_stnt_allk_kernel_func,3399.32,622.43,0.0
gfx950,256,8192,12288,3072,5,0,191.9665,f6gemm_stnt_kernel_func,3221.79,1294.56,0.0
gfx950,256,16384,12288,3072,6,0,381.1769,f6gemm_stnt_allk_kernel_func,3245.08,1229.65,0.0
gfx950,256,32768,12288,3072,6,0,761.1235,f6gemm_stnt_allk_kernel_func,3250.33,1194.44,0.0
