gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,128,1,4096,4096,asm,0,1,14.5144,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,2.31,1156.75,0.0
gfx950,128,1,4608,4096,asm,0,1,14.5625,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,2.59,1297.01,0.0
gfx950,128,2,4096,4096,asm,0,1,14.5389,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,4.62,1155.64,0.0
gfx950,128,2,4608,4096,asm,0,1,14.7591,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,5.12,1280.63,0.0
gfx950,128,4,4608,4096,asm,0,1,14.9982,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,10.07,1261.99,0.0
gfx950,128,8,4608,4096,asm,0,1,15.731,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,19.2,1206.59,0.0
gfx950,128,16,4096,4096,asm,0,1,15.684,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,34.23,1082.24,0.0
gfx950,128,16,4608,4096,asm,0,1,15.8852,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,38.02,1201.58,0.0
gfx950,128,24,4608,4096,asm,0,1,16.1275,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,56.18,1190.13,0.0
gfx950,128,29,4608,4096,asm,0,1,16.3415,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,66.99,1178.62,0.0
gfx950,128,32,4608,4096,asm,0,1,16.4087,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,73.62,1176.23,0.0
gfx950,128,40,4608,4096,asm,0,1,16.2176,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,93.11,1196.65,0.0
gfx950,128,48,4608,4096,asm,0,1,16.2605,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,111.43,1200.05,0.0
gfx950,128,56,4608,4096,asm,0,1,16.3805,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,129.05,1197.76,0.0
gfx950,128,64,4608,4096,asm,0,1,16.4747,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,146.64,1197.37,0.0
gfx950,128,72,4608,4096,asm,0,1,16.3849,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,165.88,1210.43,0.0
gfx950,128,80,4608,4096,asm,0,1,16.5115,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,182.9,1207.6,0.0
gfx950,128,88,4608,4096,asm,0,1,16.5961,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,200.16,1207.86,0.0
gfx950,128,96,4608,4096,asm,0,1,16.6441,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,217.73,1210.78,0.0
gfx950,128,104,4608,4096,asm,1,1,17.3667,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,226.06,1166.53,0.0
gfx950,128,112,4608,4096,asm,1,1,17.4437,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,242.37,1167.49,0.0
gfx950,128,120,4608,4096,asm,1,1,17.408,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,260.22,1176.0,0.0
gfx950,128,128,4608,4096,asm,1,1,17.5097,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,275.95,1175.25,0.0
gfx950,128,129,4096,4096,asm,1,1,17.25,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,250.93,1064.49,0.0
gfx950,128,129,4608,4096,asm,1,1,17.6192,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,276.38,1168.7,0.0
gfx950,128,136,4608,4096,asm,1,1,17.5883,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,291.89,1176.05,0.0
gfx950,128,140,4096,4096,asm,1,1,17.3433,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,270.86,1066.55,0.0
gfx950,128,140,4608,4096,asm,1,1,17.6906,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,298.74,1172.26,0.0
