gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,80,1,5120,8192,ck,7,3,25.2197,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.33,1663.84,0.0
gfx942,80,1,5120,25600,ck,7,2,69.8001,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.76,1878.33,0.0
gfx942,80,2,5120,8192,ck,7,2,25.2378,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.65,1663.37,0.0
gfx942,80,2,5120,25600,ck,7,1,69.6441,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.53,1883.06,0.0
gfx942,80,4,5120,8192,ck,7,0,25.1766,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,13.33,1668.88,0.0
gfx942,80,4,5120,25600,ck,7,0,69.8449,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,15.01,1878.67,0.0
gfx942,80,8,5120,8192,ck,7,2,25.3068,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,26.52,1663.21,0.0
gfx942,80,8,5120,25600,ck,7,1,70.5935,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,29.71,1860.78,0.0
gfx942,80,16,5120,8192,ck,7,0,21.3823,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,62.77,1975.37,0.0
gfx942,80,16,5120,25600,ck,7,0,59.6089,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,70.36,2208.49,0.0
gfx942,80,32,5120,8192,ck,12,1,25.5604,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,105.02,1664.01,0.0
gfx942,80,32,5120,25600,ck,12,1,69.6561,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,120.43,1898.17,0.0
gfx942,80,64,5120,8192,ck,11,1,36.6252,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,146.59,1177.4,0.0
gfx942,80,64,5120,25600,ck,11,2,101.6721,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,165.01,1311.72,0.0
gfx942,80,128,5120,8192,ck,9,3,57.0881,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,188.09,776.03,0.0
gfx942,80,128,5120,25600,ck,14,2,163.3863,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,205.37,830.3,0.0
gfx942,80,256,5120,8192,ck,14,0,89.2444,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,240.63,522.85,0.0
