gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,128,1,2624,6144,ck,8,0,18.3638,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.76,878.54,0.0
gfx950,128,4,2624,6144,ck,8,0,18.3679,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.02,880.2,0.0
gfx950,128,32,2624,6144,ck,8,0,18.6753,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,55.25,882.79,0.0
gfx950,128,128,2624,6144,ck,18,0,24.6111,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,167.7,714.31,0.0
gfx950,128,1,6144,8192,ck,8,0,24.9702,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.03,2016.49,0.0
gfx950,128,4,6144,6144,ck,8,0,19.8235,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,15.23,1907.96,0.0
gfx950,128,4,6144,8192,ck,8,0,24.6402,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16.34,2045.99,0.0
gfx950,128,32,6144,8192,ck,7,0,31.7344,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,101.51,1606.68,0.0
gfx950,128,128,6144,6144,ck,2,0,36.2908,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,266.28,1105.18,0.0
gfx950,128,128,6144,8192,ck,2,0,45.6246,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,282.41,1160.63,0.0
gfx950,128,1,8192,2048,ck,8,0,8.1534,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.12,2059.96,0.0
gfx950,128,4,8192,2048,ck,8,0,8.2856,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16.2,2033.76,0.0
gfx950,128,32,8192,2048,ck,7,0,10.0797,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,106.53,1722.97,0.0
gfx950,128,128,8192,2048,ck,2,0,15.675,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,274.0,1220.83,0.0
gfx950,128,4,12288,6144,ck,7,0,28.3372,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,21.31,2668.59,0.0
gfx950,128,128,12288,6144,ck,0,0,51.2806,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,376.89,1548.92,0.0
