gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,1,5120,6144,ck,5,2,9.3825,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,6.71,3354.49,0.0
gfx942,304,2,5120,6144,ck,8,3,14.1308,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.9,2228.47,0.0002
gfx942,304,4,5120,6144,ck,6,2,9.9877,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,25.2,3156.16,0.0
gfx942,304,8,5120,6144,ck,8,3,9.5907,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,52.48,3293.63,0.0
gfx942,304,16,5120,6144,ck,8,3,9.1889,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,109.55,3451.91,0.0
gfx942,304,24,5120,6144,ck,6,3,12.0349,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,125.46,2646.51,0.0
gfx942,304,32,5120,6144,ck,8,3,16.6673,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,120.79,1918.82,0.0002
gfx942,304,40,5120,6144,ck,5,2,14.6686,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,171.56,2189.2,0.0
gfx942,304,48,5120,6144,ck,8,3,15.5211,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,194.57,2077.41,0.0
gfx942,304,56,5120,6144,ck,2,2,18.5369,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,190.07,1746.51,0.0
gfx942,304,64,5120,6144,ck,18,1,19.1247,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,210.54,1699.68,0.0
gfx942,304,72,5120,6144,ck,0,2,22.9316,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,197.54,1423.23,0.0
