gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,16,4096,4096,ck,8,0,15.537,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,34.55,1092.48,0.0
gfx942,304,32,4096,4096,ck,8,0,15.6443,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,68.63,1097.55,0.0
gfx942,304,48,4096,4096,ck,8,0,15.481,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,104.04,1121.83,0.0
gfx942,304,64,4096,4096,ck,8,0,15.5985,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,137.67,1125.98,0.0
gfx942,304,80,4096,4096,ck,18,0,20.2729,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,132.41,876.06,0.0
gfx942,304,96,4096,4096,ck,18,0,19.9242,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,161.67,901.26,0.0
gfx942,304,112,4096,4096,ck,18,0,20.2901,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,185.22,894.7,0.0
gfx942,304,128,4096,4096,ck,18,0,19.2353,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,223.29,953.98,0.0
gfx942,304,144,4096,4096,ck,18,0,21.5347,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,224.37,861.25,0.0
gfx942,304,160,4096,4096,ck,18,0,21.5239,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,249.43,870.81,0.0
gfx942,304,176,4096,4096,ck,18,0,22.0314,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,268.05,859.68,0.0
gfx942,304,192,4096,4096,ck,18,0,20.9671,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,307.26,912.69,0.0
gfx942,304,208,4096,4096,ck,18,0,24.8661,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,280.68,777.49,0.0
gfx942,304,224,4096,4096,ck,18,0,25.5724,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,293.92,763.7,0.0
gfx942,304,240,4096,4096,ck,18,0,25.6793,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,313.6,768.18,0.0
gfx942,304,256,4096,4096,ck,18,0,24.5733,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,349.56,810.76,0.0
gfx942,304,288,4096,4096,ck,12,0,31.8041,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,303.85,638.79,0.0
gfx942,304,320,4096,4096,ck,2,0,39.2756,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,273.39,527.28,0.0
