M,N,K
1, 5120, 6144
1, 5120, 17408
1, 34816, 5120
1, 16384, 5120
1, 14336, 5120
2, 5120, 6144
2, 5120, 17408
2, 34816, 5120
2, 16384, 5120
2, 14336, 5120
4, 5120, 6144
4, 5120, 17408
4, 34816, 5120
4, 16384, 5120
4, 14336, 5120
8, 5120, 6144
8, 5120, 17408
8, 34816, 5120
8, 16384, 5120
8, 14336, 5120
16, 5120, 6144
16, 5120, 17408
16, 34816, 5120
16, 16384, 5120
16, 14336, 5120
24, 5120, 6144
24, 5120, 17408
24, 34816, 5120
24, 16384, 5120
24, 14336, 5120
32, 5120, 6144
32, 5120, 17408
32, 34816, 5120
32, 16384, 5120
32, 14336, 5120
40, 5120, 6144
40, 5120, 17408
40, 34816, 5120
40, 16384, 5120
40, 14336, 5120
48, 5120, 6144
48, 5120, 17408
48, 34816, 5120
48, 16384, 5120
48, 14336, 5120
56, 5120, 6144
56, 5120, 17408
56, 34816, 5120
56, 16384, 5120
56, 14336, 5120
64, 5120, 6144
64, 5120, 17408
64, 34816, 5120
64, 16384, 5120
64, 14336, 5120
72, 5120, 6144
72, 5120, 17408
72, 34816, 5120
72, 16384, 5120
72, 14336, 5120
80, 5120, 6144
80, 5120, 17408
80, 34816, 5120
80, 16384, 5120
80, 14336, 5120
88, 5120, 6144
88, 5120, 17408
88, 34816, 5120
88, 16384, 5120
88, 14336, 5120
96, 5120, 6144
96, 5120, 17408
96, 34816, 5120
96, 16384, 5120
96, 14336, 5120
104, 5120, 6144
104, 5120, 17408
104, 34816, 5120
104, 16384, 5120
104, 14336, 5120
112, 5120, 6144
112, 5120, 17408
112, 34816, 5120
112, 16384, 5120
112, 14336, 5120
120, 5120, 6144
120, 5120, 17408
120, 34816, 5120
120, 16384, 5120
120, 14336, 5120
128, 5120, 6144
128, 5120, 17408
128, 34816, 5120
128, 16384, 5120
128, 14336, 5120
136, 5120, 6144
136, 5120, 17408
136, 34816, 5120
136, 16384, 5120
136, 14336, 5120
144, 5120, 6144
144, 5120, 17408
144, 34816, 5120
144, 16384, 5120
144, 14336, 5120
152, 5120, 6144
152, 5120, 17408
152, 34816, 5120
152, 16384, 5120
152, 14336, 5120
160, 5120, 6144
160, 5120, 17408
160, 34816, 5120
160, 16384, 5120
160, 14336, 5120
168, 5120, 6144
168, 5120, 17408
168, 34816, 5120
168, 16384, 5120
168, 14336, 5120
176, 5120, 6144
176, 5120, 17408
176, 34816, 5120
176, 16384, 5120
176, 14336, 5120
184, 5120, 6144
184, 5120, 17408
184, 34816, 5120
184, 16384, 5120
184, 14336, 5120
192, 5120, 6144
192, 5120, 17408
192, 34816, 5120
192, 16384, 5120
192, 14336, 5120
200, 5120, 6144
200, 5120, 17408
200, 34816, 5120
200, 16384, 5120
200, 14336, 5120
208, 5120, 6144
208, 5120, 17408
208, 34816, 5120
208, 16384, 5120
208, 14336, 5120
216, 5120, 6144
216, 5120, 17408
216, 34816, 5120
216, 16384, 5120
216, 14336, 5120
224, 5120, 6144
224, 5120, 17408
224, 34816, 5120
224, 16384, 5120
224, 14336, 5120
232, 5120, 6144
232, 5120, 17408
232, 34816, 5120
232, 16384, 5120
232, 14336, 5120
240, 5120, 6144
240, 5120, 17408
240, 34816, 5120
240, 16384, 5120
240, 14336, 5120
248, 5120, 6144
248, 5120, 17408
248, 34816, 5120
248, 16384, 5120
248, 14336, 5120
256, 5120, 6144
256, 5120, 17408
256, 34816, 5120
256, 16384, 5120
256, 14336, 5120
272, 5120, 6144
272, 5120, 17408
272, 34816, 5120
272, 16384, 5120
272, 14336, 5120
288, 5120, 6144
288, 5120, 17408
288, 34816, 5120
288, 16384, 5120
288, 14336, 5120
304, 5120, 6144
304, 5120, 17408
304, 34816, 5120
304, 16384, 5120
304, 14336, 5120
320, 5120, 6144
320, 5120, 17408
320, 34816, 5120
320, 16384, 5120
320, 14336, 5120
336, 5120, 6144
336, 5120, 17408
336, 34816, 5120
336, 16384, 5120
336, 14336, 5120
352, 5120, 6144
352, 5120, 17408
352, 34816, 5120
352, 16384, 5120
352, 14336, 5120
368, 5120, 6144
368, 5120, 17408
368, 34816, 5120
368, 16384, 5120
368, 14336, 5120
384, 5120, 6144
384, 5120, 17408
384, 34816, 5120
384, 16384, 5120
384, 14336, 5120
400, 5120, 6144
400, 5120, 17408
400, 34816, 5120
400, 16384, 5120
400, 14336, 5120
416, 5120, 6144
416, 5120, 17408
416, 34816, 5120
416, 16384, 5120
416, 14336, 5120
432, 5120, 6144
432, 5120, 17408
432, 34816, 5120
432, 16384, 5120
432, 14336, 5120
448, 5120, 6144
448, 5120, 17408
448, 34816, 5120
448, 16384, 5120
448, 14336, 5120
464, 5120, 6144
464, 5120, 17408
464, 34816, 5120
464, 16384, 5120
464, 14336, 5120
480, 5120, 6144
480, 5120, 17408
480, 34816, 5120
480, 16384, 5120
480, 14336, 5120
496, 5120, 6144
496, 5120, 17408
496, 34816, 5120
496, 16384, 5120
496, 14336, 5120
512, 5120, 6144
512, 5120, 17408
512, 34816, 5120
512, 16384, 5120
512, 14336, 5120
907, 5120, 6144
907, 5120, 17408
