gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,2048,3072,torch.float8_e4m3fn,ck,10,0,7.167,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.76,878.84,0.0
gfx950,256,2,2048,3072,torch.float8_e4m3fn,flydsl,2149,0,7.1797,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x3x0_default,3.51,878.28,0.0
gfx950,256,4,2048,3072,torch.float8_e4m3fn,ck,24,0,6.8221,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,7.38,926.42,0.0
gfx950,256,8,2048,3072,torch.float8_e4m3fn,ck,24,0,6.9912,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,14.4,908.11,0.0
gfx950,256,16,2048,3072,torch.float8_e4m3fn,ck,10,0,6.3747,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,31.58,1004.93,0.0
gfx950,256,32,2048,3072,torch.float8_e4m3fn,ck,10,0,6.501,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,61.94,1003.05,0.0
gfx950,256,64,2048,3072,torch.float8_e4m3fn,ck,8,0,6.0924,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,132.18,1107.97,0.0
gfx950,256,128,2048,3072,torch.float8_e4m3fn,ck,5,0,6.4365,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,250.23,1120.01,0.0
gfx950,256,256,2048,3072,torch.float8_e4m3fn,flydsl,446,0,7.927,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x1x0x0x4_default,406.36,1025.16,0.0
gfx950,256,512,2048,3072,torch.float8_e4m3fn,flydsl,92,0,11.0675,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x0x0x0x4_default,582.11,900.07,0.0
