gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,1792,5120,triton,0,0,5.772394,triton,3.18,1590.98,0.0
gfx950,256,2,1792,5120,triton,0,0,6.28401,triton,5.84,1462.83,0.0
gfx950,256,4,1792,5120,triton,0,0,6.2415,triton,11.76,1475.58,0.00013950892857142856
gfx950,256,8,1792,5120,triton,0,0,6.504469,triton,22.57,1421.28,6.975446428571428e-05
gfx950,256,16,1792,5120,triton,0,0,6.18385,triton,47.48,1506.23,0.00027901785714285713
gfx950,256,32,1792,5120,triton,0,0,6.34947,triton,92.48,1488.88,0.0001220703125
gfx950,256,48,1792,5120,triton,0,0,7.37666,triton,119.4,1300.43,8.138020833333333e-05
gfx950,256,64,1792,5120,triton,0,0,7.542091,triton,155.71,1290.37,0.0001220703125
gfx950,256,80,1792,5120,triton,0,0,8.44626,triton,173.81,1168.73,0.0001255580357142857
gfx950,256,96,1792,5120,triton,0,0,8.887032,triton,198.22,1126.43,0.00013369605654761906
gfx950,256,112,1792,5120,triton,0,0,9.682392,triton,212.26,1048.28,0.00014449139030612245
gfx950,256,128,1792,5120,triton,0,0,9.853224,triton,238.38,1044.24,0.00014822823660714285
gfx950,256,144,1792,5120,triton,0,0,10.331372,triton,255.77,1009.39,0.0001666356646825397
gfx950,256,160,1792,5120,triton,0,0,10.695155,triton,274.52,988.08,0.00010811941964285714
gfx950,256,176,1792,5120,triton,0,0,10.992571,triton,293.8,974.02,0.00012999695616883116
gfx950,256,192,1792,5120,triton,0,0,11.06039,triton,318.54,980.64,0.00013950892857142856
gfx950,256,208,1792,5120,triton,0,0,11.768394,triton,324.33,933.47,0.00013950892857142856
gfx950,256,224,1792,5120,triton,0,0,12.08551,triton,340.11,920.5,0.00013203523596938777
gfx950,256,240,1792,5120,triton,0,0,12.363163,triton,356.22,911.09,0.00013020833333333333
gfx950,256,256,1792,5120,triton,0,0,12.331529,triton,380.94,924.72,0.000152587890625
gfx950,256,288,1792,5120,triton,0,0,14.121152,triton,374.25,827.25,0.00015113467261904762
gfx950,256,320,1792,5120,triton,0,0,14.727031,triton,398.72,812.13,0.000146484375
gfx950,256,352,1792,5120,triton,0,0,15.550671,triton,415.37,787.03,0.00014267958603896103
gfx950,256,384,1792,5120,triton,0,0,15.723719,triton,448.14,796.08,0.00014096214657738094
gfx950,256,416,1792,5120,triton,0,0,16.908234,triton,451.47,756.79,0.00017572759271978022
gfx950,256,448,1792,5120,triton,0,0,18.04957,triton,455.46,724.36,0.00015196508290816327
gfx950,256,480,1792,5120,triton,0,0,17.461969,triton,504.41,764.69,0.00015694754464285715
gfx950,256,512,1792,5120,triton,0,0,17.664244,triton,531.88,771.7,0.00015585763113839285
gfx950,256,544,1792,5120,triton,0,0,17.079139,triton,584.48,814.44,0.00013950892857142856
gfx950,256,576,1792,5120,triton,0,0,17.764215,triton,595.0,798.71,0.00015307229662698413
gfx950,256,608,1792,5120,triton,0,0,23.36515,triton,477.5,619.17,0.00013859110667293234
gfx950,256,640,1792,5120,triton,0,0,24.129,triton,486.72,611.12,0.00015433175223214285
gfx950,256,672,1792,5120,triton,0,0,25.42071,triton,485.09,591.02,0.0001635908269557823
gfx950,256,704,1792,5120,triton,0,0,25.700417,triton,502.66,595.42,0.00014664290787337662
gfx950,256,736,1792,5120,triton,0,0,24.940213,triton,541.52,624.74,0.0001660459530279503
gfx950,256,768,1792,5120,triton,0,0,25.404585,triton,554.74,624.29,0.00013151622953869047
gfx950,256,800,1792,5120,triton,0,0,25.851619,triton,567.86,624.26,0.00014020647321428571
gfx950,256,832,1792,5120,triton,0,0,26.97682,triton,565.94,608.55,0.00014152107657967034
gfx950,256,864,1792,5120,triton,0,0,25.709439,triton,616.68,649.38,0.0001453218005952381
gfx950,256,896,1792,5120,triton,0,0,26.392725,triton,622.96,643.13,0.00015009665975765306
gfx950,256,928,1792,5120,triton,0,0,26.295793,triton,647.59,656.09,0.0001515355603448276
gfx950,256,960,1792,5120,triton,0,0,25.982914,triton,677.99,674.71,0.00015404110863095238
gfx950,256,992,1792,5120,triton,0,0,26.672213,triton,682.48,667.71,0.00015019711261520736
gfx950,256,1024,1792,5120,triton,0,0,26.83306,triton,700.27,674.09,0.00014005388532366072
gfx950,256,1088,1792,5120,triton,0,0,27.32162,triton,730.74,682.43,0.00015079273897058824
gfx950,256,1152,1792,5120,triton,0,0,27.738827,triton,762.08,692.24,0.00014919704861111112
gfx950,256,1216,1792,5120,triton,0,0,33.265929,triton,670.77,593.97,0.00013950892857142856
gfx950,256,1280,1792,5120,triton,0,0,35.520265,triton,661.26,571.96,0.0001338413783482143
gfx950,256,1344,1792,5120,triton,0,0,33.944212,triton,726.56,614.93,0.00014283056972789115
gfx950,256,1408,1792,5120,triton,0,0,36.188506,triton,713.95,592.18,0.00015338055499188312
gfx950,256,1472,1792,5120,triton,0,0,34.456657,triton,783.92,638.12,0.00013003141983695653
gfx950,256,1536,1792,5120,triton,0,0,35.872143,triton,785.73,628.46,0.00015077136811755953
gfx950,256,1600,1792,5120,triton,0,0,34.901253,triton,841.23,661.91,0.00014508928571428572
gfx950,256,1664,1792,5120,triton,0,0,36.905216,triton,827.38,641.06,0.00014185643458104397
gfx950,256,1728,1792,5120,triton,0,0,35.7737,triton,886.38,676.91,0.00014241536458333334
gfx950,256,1792,1792,5120,triton,0,0,37.172783,triton,884.61,666.42,0.00014822823660714285
gfx950,256,1856,1792,5120,triton,0,0,36.7077,triton,927.81,690.04,0.00013860693118842365
gfx950,256,1920,1792,5120,triton,0,0,38.79932,triton,908.06,667.2,0.00014706566220238094
gfx950,256,1984,1792,5120,triton,0,0,36.7245,triton,991.34,720.06,0.00015722881264400922
gfx950,256,2048,1792,5120,triton,0,0,38.12491,triton,985.73,708.22,0.00014986310686383928
gfx950,256,4096,1792,5120,triton,0,0,63.13672,triton,1190.46,709.99,0.00014032636369977678
gfx950,256,6144,1792,5120,triton,0,0,99.52143,triton,1132.85,629.54,0.00013978140694754465
gfx950,256,8192,1792,5120,triton,0,0,119.48265,triton,1258.12,673.56,0.0001452990940638951
gfx950,256,10240,1792,5120,triton,0,0,152.63348,triton,1231.09,644.05,0.0001502445765904018
gfx950,256,12288,1792,5120,triton,0,0,169.4947,triton,1330.34,685.15,0.00013991764613560269
gfx950,256,14336,1792,5120,triton,0,0,209.373368,triton,1256.45,639.79,0.00014842286401865434
gfx950,256,16384,1792,5120,triton,0,0,228.434388,triton,1316.12,664.44,0.00014730862208775112
gfx950,256,32768,1792,5120,triton,0,0,433.672842,triton,1386.52,678.82,0.00014674663543701172
gfx950,256,1,4096,1280,triton,0,0,3.814374,triton,2.75,1376.99,0.0
gfx950,256,2,4096,1280,triton,0,0,3.829663,triton,5.48,1373.97,0.0001220703125
gfx950,256,4,4096,1280,triton,0,0,3.8326,triton,10.94,1377.86,0.0
gfx950,256,8,4096,1280,triton,0,0,3.96221,triton,21.17,1342.35,9.1552734375e-05
gfx950,256,16,4096,1280,triton,0,0,4.10144,triton,40.91,1315.25,1.52587890625e-05
gfx950,256,32,4096,1280,triton,0,0,5.181263,triton,64.76,1070.39,2.288818359375e-05
gfx950,256,48,4096,1280,triton,0,0,5.370061,triton,93.73,1060.98,2.5431315104166668e-05
gfx950,256,64,4096,1280,triton,0,0,5.405525,triton,124.15,1082.06,6.103515625e-05
gfx950,256,80,4096,1280,triton,0,0,5.906889,triton,142.01,1015.87,3.662109375e-05
gfx950,256,96,4096,1280,triton,0,0,5.92265,triton,169.96,1038.76,2.7974446614583332e-05
