gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,1,5120,2304,32,2,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,10.2203,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_bnt0_kw4_fp4,0.9%,10.1234,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_sbm32,1.2%,20.3437,0,0,0,6.96,55667.23
gfx950,256,2,5120,2304,32,2,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,14.4205,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_bnt0_kw4_fp4,0.9%,11.1471,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_sbm32,1.1%,25.5676,0,0,0,11.07,44294.06
gfx950,256,4,5120,2304,32,2,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,22.3225,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_kw2_fp4,0.9%,14.5011,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_reduce_sbm32,1.2%,36.8236,0,0,0,15.38,30755.37
gfx950,256,8,5120,2304,32,2,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,27.8407,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2_fp4,0.2%,19.5566,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce,1.6%,47.3973,0,0,0,23.89,23895.56
gfx950,256,16,5120,2304,32,2,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,41.0044,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,0.2%,26.1532,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,1.7%,67.1576,0,0,0,33.73,16866.41
gfx950,256,32,5120,2304,32,2,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,52.4355,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,0.1%,36.0423,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce,1.6%,88.4778,0,0,0,51.2,12804.95
gfx950,256,64,5120,2304,32,2,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,66.7281,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kw4_fp4,0.9%,37.0897,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_nt_sbm32,1.2%,103.8178,0,0,0,87.27,10917.64
gfx950,256,128,5120,2304,32,2,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,68.0543,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_kw4_fp4,0.9%,38.6316,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_reduce_nt_sbm32,1.1%,106.6859,0,0,0,169.84,10633.35
gfx950,256,256,5120,2304,32,2,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,70.1408,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_kw4_fp4,0.9%,39.5855,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.1%,109.7263,0,0,0,330.27,10356.63
gfx950,256,512,5120,2304,32,2,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,73.1397,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,0.9%,41.2813,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_nt_sbm32,1.2%,114.421,0,0,0,633.43,9966.06
