gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,8,7168,3072,24,5,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,127.3998,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_nt_xcd2,1.2%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.2%,127.3998,0,0,0,41.48,12446.01
gfx950,256,16,7168,3072,24,5,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,133.7966,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_nt,1.2%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x256_atomic_persist_nt_sbm16,1.2%,133.7966,0,0,0,79.0,11852.25
gfx950,256,32,7168,3072,24,5,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,135.9982,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt,1.2%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x256_atomic_persist_nt_sbm16,1.2%,135.9982,0,0,0,155.44,11662.91
gfx950,256,64,7168,3072,24,5,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,144.8285,flydsl_mxmoe_g1_a4w4_32x64x256_nt_kw2_xcd2_w2,1.2%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_nt_sbm32,1.2%,144.8285,0,0,0,291.92,10956.57
gfx950,256,128,7168,3072,24,5,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,159.2115,flydsl_mxmoe_g1_a4w4_32x128x256_nt_kw2_xcd4,1.2%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_nt_sbm32,1.2%,159.2115,0,0,0,531.1,9975.41
gfx950,256,256,7168,3072,24,5,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,179.9351,flydsl_mxmoe_g1_a4w4_64x128x256_nt_xcd4,1.2%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_atomic_persist_nt_sbm64,1.2%,179.9351,0,0,0,939.86,8841.81
gfx950,256,512,7168,3072,24,5,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,126.3498,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_fp4,1.0%,78.6389,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x256_reduce_nt_sbm128,1.2%,204.9887,0,0,0,1649.99,7788.02
gfx950,256,1024,7168,3072,24,5,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,306.7924,flydsl_mxmoe_g1_a4w4_128x256x256_xcd2,1.2%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t128x128x256_atomic_sbm128,1.2%,306.7924,0,0,0,2204.94,5239.59
gfx950,256,2048,7168,3072,24,5,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,515.2666,flydsl_mxmoe_g1_a4w4_128x256x256,1.2%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t128x128x256_atomic_sbm128,1.2%,515.2666,0,0,0,2625.66,3162.42
gfx950,256,4096,7168,3072,24,5,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,926.723,flydsl_mxmoe_g1_a4w4_128x256x256,1.2%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t128x128x256_atomic_sbm128,1.2%,926.723,0,0,0,2919.78,1805.85
