M,N,K
1,512,4096
2,512,4096
4,512,4096
5,512,4096
8,512,4096
16,512,4096
32,512,4096
64,512,4096
96,512,4096
128,512,4096
192,512,4096
256,512,4096
384,512,4096
512,512,4096
1024,512,4096
2048,512,4096
4096,512,4096
8192,512,4096
16384,512,4096
5,1536,4096
96,1536,4096
192,1536,4096
1,4096,12288
2,4096,12288
4,4096,12288
5,4096,12288
8,4096,12288
16,4096,12288
32,4096,12288
64,4096,12288
96,4096,12288
128,4096,12288
192,4096,12288
256,4096,12288
384,4096,12288
512,4096,12288
1024,4096,12288
2048,4096,12288
4096,4096,12288
8192,4096,12288
16384,4096,12288
5,8192,1024
96,8192,1024
192,8192,1024
1,7168,21504
2,7168,21504
3,7168,21504
4,7168,21504
5,7168,21504
6,7168,21504
8,7168,21504
12,7168,21504
16,7168,21504
24,7168,21504
32,7168,21504
48,7168,21504
64,7168,21504
96,7168,21504
128,7168,21504
160,7168,21504
192,7168,21504
224,7168,21504
256,7168,21504
384,7168,21504
512,7168,21504
768,7168,21504
1024,7168,21504
2048,7168,21504
4096,7168,21504
8192,7168,21504
16384,7168,21504
