gfx,b,m,n,k,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,2,1,1024,1024,opus,384,1,4.116,opus_bmm_a8w8_mxscale_bpreshuffle_bdirect_256x16x32x256_1x2_16x16x128_1x128x128_wgpcu2_sfshuf,1.0,511.0,0.0
gfx950,2,1,1024,4096,opus,392,1,6.6452,opus_bmm_a8w8_mxscale_bpreshuffle_blds_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch_sfshuf,2.5,1264.21,0.0005
gfx950,2,4,1024,1024,opus,386,1,4.19,opus_bmm_a8w8_mxscale_bpreshuffle_blds_256x32x32x256_2x1_16x16x128_1x128x128_wgpcu2_scaleprefetch_sfshuf,4.0,506.38,0.0
gfx950,2,4,1024,4096,opus,392,1,6.8557,opus_bmm_a8w8_mxscale_bpreshuffle_blds_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch_sfshuf,9.8,1230.77,0.0001
gfx950,2,8,1024,1024,opus,397,1,4.1344,opus_bmm_a8w8_mxscale_bpreshuffle_blds_256x32x32x256_2x1_16x16x128_1x128x128_wgpcu2_scaleprefetch_sfshuf_lds,8.1,519.13,0.0002
gfx950,2,8,1024,4096,opus,393,1,6.9249,opus_bmm_a8w8_mxscale_bpreshuffle_bdirect_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_sfshuf_lds,19.4,1225.56,0.0
gfx950,2,16,1024,1024,opus,384,1,4.1324,opus_bmm_a8w8_mxscale_bpreshuffle_bdirect_256x16x32x256_1x2_16x16x128_1x128x128_wgpcu2_sfshuf,16.2,531.28,0.0002
gfx950,2,16,1024,4096,opus,393,1,6.7239,opus_bmm_a8w8_mxscale_bpreshuffle_bdirect_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_sfshuf_lds,39.9,1276.82,0.0001
gfx950,2,32,1024,1024,opus,384,1,4.2011,opus_bmm_a8w8_mxscale_bpreshuffle_bdirect_256x16x32x256_1x2_16x16x128_1x128x128_wgpcu2_sfshuf,31.9,545.99,0.0
gfx950,2,32,1024,4096,opus,393,1,6.7854,opus_bmm_a8w8_mxscale_bpreshuffle_bdirect_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_sfshuf_lds,79.1,1294.22,0.0
gfx950,2,64,1024,1024,opus,386,1,4.2715,opus_bmm_a8w8_mxscale_bpreshuffle_blds_256x32x32x256_2x1_16x16x128_1x128x128_wgpcu2_scaleprefetch_sfshuf,62.8,583.02,0.0
gfx950,2,64,1024,4096,opus,392,1,7.6572,opus_bmm_a8w8_mxscale_bpreshuffle_blds_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch_sfshuf,140.2,1198.22,0.0
gfx950,2,128,1024,1024,opus,386,1,5.3433,opus_bmm_a8w8_mxscale_bpreshuffle_blds_256x32x32x256_2x1_16x16x128_1x128x128_wgpcu2_scaleprefetch_sfshuf,100.5,539.66,0.0
gfx950,2,128,1024,4096,opus,397,1,8.6831,opus_bmm_a8w8_mxscale_bpreshuffle_blds_256x32x32x256_2x1_16x16x128_1x128x128_wgpcu2_scaleprefetch_sfshuf_lds,247.3,1147.23,0.0001
gfx950,2,256,1024,1024,opus,216,1,6.0556,opus_bmm_a8w8_mxscale_bpreshuffle_bdirect_256x64x32x256_2x1_16x16x128_1x128x128_wgpcu2_sfshuf,177.3,606.05,0.0
gfx950,2,256,1024,4096,opus,216,1,11.9381,opus_bmm_a8w8_mxscale_bpreshuffle_bdirect_256x64x32x256_2x1_16x16x128_1x128x128_wgpcu2_sfshuf,359.8,966.18,0.0002
gfx950,2,512,1024,1024,opus,339,1,8.4502,opus_bmm_a8w8_mxscale_bpreshuffle_bdirect_256x128x32x128_2x1_16x16x128_1x128x128_wgpcu2_scaleprefetch_sfshuf,254.1,620.44,0.0
gfx950,2,512,1024,4096,opus,343,1,18.298,opus_bmm_a8w8_mxscale_bpreshuffle_bdirect_256x64x32x256_2x1_16x16x128_1x128x128_wgpcu1_scaleprefetch_sfshuf,469.4,802.28,0.0
gfx950,2,1024,1024,1024,opus,215,1,10.2705,opus_bmm_a8w8_mxscale_bpreshuffle_wave8n4_512x128x64x256_2x4_16x16x128_1x128x128_wgpcu1_sfpreload_sfshuf,418.2,816.77,0.0002
gfx950,2,1024,1024,4096,opus,362,1,20.0871,opus_bmm_a8w8_mxscale_bpreshuffle_wave8n4_512x128x64x256_2x4_16x16x128_1x128x128_wgpcu1_sfpreload_sfshuf_lds,855.3,1044.03,0.0003
gfx950,2,1536,1024,4096,opus,364,1,26.6464,opus_bmm_a8w8_mxscale_bpreshuffle_wave8n4_512x128x128x256_2x4_16x16x128_1x128x128_wgpcu1_sfpreload_sfshuf_lds,967.1,1023.14,0.0
gfx950,2,2048,1024,1024,opus,352,1,12.3763,opus_bmm_a8w8_mxscale_bpreshuffle_wave8n4_512x128x128x128_2x4_16x16x128_1x128x128_wgpcu1_sfpreload_sfshuf,694.1,1186.14,0.0
gfx950,2,2048,1024,4096,opus,364,1,27.4509,opus_bmm_a8w8_mxscale_bpreshuffle_wave8n4_512x128x128x256_2x4_16x16x128_1x128x128_wgpcu1_sfpreload_sfshuf_lds,1251.7,1222.34,0.0
gfx950,2,2560,1024,4096,opus,381,1,37.7346,opus_bmm_a8w8_mxscale_bpreshuffle_wavetm1_512x128x256x128_1x8_16x16x128_1x128x128_wgpcu1_sfpreload_sfshuf_lds,1138.2,1055.95,0.0001
gfx950,2,3072,1024,4096,opus,361,1,40.2337,opus_bmm_a8w8_mxscale_bpreshuffle_wave8n4_512x128x256x128_2x4_16x16x128_1x128x128_wgpcu1_sfpreload_sfshuf_lds,1281.0,1146.73,0.0
gfx950,2,3584,1024,4096,opus,381,1,43.265,opus_bmm_a8w8_mxscale_bpreshuffle_wavetm1_512x128x256x128_1x8_16x16x128_1x128x128_wgpcu1_sfpreload_sfshuf_lds,1389.8,1211.81,0.0
gfx950,2,4096,1024,1024,opus,381,1,18.5796,opus_bmm_a8w8_mxscale_bpreshuffle_wavetm1_512x128x256x128_1x8_16x16x128_1x128x128_wgpcu1_sfpreload_sfshuf_lds,924.7,1467.36,0.0
gfx950,2,4096,1024,4096,opus,381,1,44.4414,opus_bmm_a8w8_mxscale_bpreshuffle_wavetm1_512x128x256x128_1x8_16x16x128_1x128x128_wgpcu1_sfpreload_sfshuf_lds,1546.3,1321.3,0.0
gfx950,2,8192,1024,1024,opus,360,1,27.434,opus_bmm_a8w8_mxscale_bpreshuffle_wave8n4_512x256x256x128_2x4_16x16x128_1x128x128_wgpcu1_sfpreload_sfshuf_lds,1252.5,1911.09,0.0001
gfx950,2,8192,1024,4096,opus,360,1,73.7712,opus_bmm_a8w8_mxscale_bpreshuffle_wave8n4_512x256x256x128_2x4_16x16x128_1x128x128_wgpcu1_sfpreload_sfshuf_lds,1863.0,1478.24,0.0003
gfx950,2,16384,1024,1024,opus,371,1,55.6807,opus_bmm_a8w8_mxscale_bpreshuffle_wavetm1_256x128x256x128_1x4_16x16x128_1x128x128_wgpcu1_sfpreload_sfshuf,1234.2,1845.53,0.0
gfx950,2,16384,1024,4096,opus,360,1,135.5597,opus_bmm_a8w8_mxscale_bpreshuffle_wave8n4_512x256x256x128_2x4_16x16x128_1x128x128_wgpcu1_sfpreload_sfshuf_lds,2027.7,1547.03,0.0004
gfx950,2,32768,1024,4096,opus,363,1,258.3929,opus_bmm_a8w8_mxscale_bpreshuffle_wave8n4_512x256x256x128_2x4_16x16x128_1x128x128_wgpcu1_sfpreload_xcd4_sfshuf_lds,2127.6,1590.76,0.0003
gfx950,4,1,1024,1024,opus,384,1,4.0736,opus_bmm_a8w8_mxscale_bpreshuffle_bdirect_256x16x32x256_1x2_16x16x128_1x128x128_wgpcu2_sfshuf,2.1,1032.65,0.0
gfx950,4,1,1024,4096,opus,392,1,7.092,opus_bmm_a8w8_mxscale_bpreshuffle_blds_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch_sfshuf,4.7,2369.12,0.0005
gfx950,4,4,1024,1024,opus,384,1,4.1893,opus_bmm_a8w8_mxscale_bpreshuffle_bdirect_256x16x32x256_1x2_16x16x128_1x128x128_wgpcu2_sfshuf,8.0,1012.93,0.0
