gfx,b,m,n,k,groupSize,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,2,1,1024,4096,32,opus,9311,1,7.3723,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x32x32_wgpcu2_scaleprefetch,2.3,1139.52,0.0
gfx950,2,1,1024,4096,128,opus,311,1,7.8,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch,2.2,1076.95,0.0015
gfx950,2,4,1024,4096,32,opus,9311,1,7.3355,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x32x32_wgpcu2_scaleprefetch,9.1,1150.26,0.0
gfx950,2,4,1024,4096,128,opus,311,1,7.84,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch,8.6,1075.87,0.0015
gfx950,2,8,1024,4096,32,opus,9311,1,8.2503,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x32x32_wgpcu2_scaleprefetch,16.3,1028.68,6.103515625e-05
gfx950,2,8,1024,4096,128,opus,311,1,8.08,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch,16.6,1050.11,0.0015
gfx950,2,16,1024,4096,32,opus,9311,1,8.9805,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x32x32_wgpcu2_scaleprefetch,29.9,955.98,6.103515625e-05
gfx950,2,16,1024,4096,128,opus,311,1,8.37,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch,32.1,1025.7,0.0015
gfx950,2,32,1024,4096,32,opus,9311,1,9.1319,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x32x32_wgpcu2_scaleprefetch,58.8,961.66,3.0517578125e-05
gfx950,2,32,1024,4096,128,opus,311,1,8.4,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch,63.9,1045.26,0.0015
gfx950,2,48,1024,4096,32,opus,9311,1,8.5695,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x32x32_wgpcu2_scaleprefetch,94.0,1047.72,0.00026448568678461015
gfx950,2,64,1024,4096,32,opus,9311,1,8.7958,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x32x32_wgpcu2_scaleprefetch,122.1,1043.12,9.1552734375e-05
gfx950,2,64,1024,4096,128,opus,311,1,8.53,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch,125.9,1075.6,0.0015
gfx950,2,128,1024,4096,32,opus,9321,1,11.0803,opus_bmm_a8w8_mxscale_flatmm_splitk_256x32x32x256_2x1_16x16x128_1x32x32_wgpcu2_scaleprefetch,193.8,899.03,0.00028228759765625
gfx950,2,128,1024,4096,128,opus,321,1,10.76,opus_bmm_a8w8_mxscale_flatmm_splitk_256x32x32x256_2x1_16x16x128_1x128x128_wgpcu2_scaleprefetch,199.5,925.53,0.0015
gfx950,2,256,1024,4096,32,opus,9324,1,12.5278,opus_bmm_a8w8_mxscale_flatmm_splitk_256x64x32x256_2x1_16x16x128_1x32x32_wgpcu2_sfpreload,342.8,920.7,0.0002307891845703125
gfx950,2,256,1024,4096,128,opus,324,1,11.9082,opus_bmm_a8w8_mxscale_flatmm_splitk_256x64x32x256_2x1_16x16x128_1x128x128_wgpcu2_sfpreload,360.7,968.6,0.0002
gfx950,2,512,1024,4096,32,opus,9326,2,18.8199,opus_bmm_a8w8_mxscale_flatmm_splitk_256x128x64x256_2x1_16x16x128_1x32x32_wgpcu1_sfpreload,456.4,780.03,0.00030612945556640625
gfx950,2,512,1024,4096,128,opus,324,1,18.3635,opus_bmm_a8w8_mxscale_flatmm_splitk_256x64x32x256_2x1_16x16x128_1x128x128_wgpcu2_sfpreload,467.8,799.42,0.0003
gfx950,2,1024,1024,4096,32,opus,9326,1,22.7444,opus_bmm_a8w8_mxscale_flatmm_splitk_256x128x64x256_2x1_16x16x128_1x32x32_wgpcu1_sfpreload,755.3,922.05,0.0003733634948730469
gfx950,2,1024,1024,4096,128,opus,326,1,20.9909,opus_bmm_a8w8_mxscale_flatmm_splitk_256x128x64x256_2x1_16x16x128_1x128x128_wgpcu1_sfpreload,818.4,999.08,0.0
gfx950,2,1536,1024,4096,32,opus,9325,1,31.4669,opus_bmm_a8w8_mxscale_flatmm_splitk_256x128x128x128_2x1_16x16x128_1x32x32_wgpcu1_sfpreload,818.9,866.4,0.000240325927734375
gfx950,2,1536,1024,4096,128,opus,325,1,36.81,opus_bmm_a8w8_mxscale_flatmm_splitk_256x128x128x128_2x1_16x16x128_1x128x128_wgpcu1_sfpreload,700.1,740.68,0.0015
gfx950,2,2048,1024,4096,32,opus,9325,1,33.6677,opus_bmm_a8w8_mxscale_flatmm_splitk_256x128x128x128_2x1_16x16x128_1x32x32_wgpcu1_sfpreload,1020.6,996.64,0.0004942417144775391
gfx950,2,2048,1024,4096,128,opus,325,1,39.05,opus_bmm_a8w8_mxscale_flatmm_splitk_256x128x128x128_2x1_16x16x128_1x128x128_wgpcu1_sfpreload,879.9,859.29,0.0015
gfx950,2,2560,1024,4096,32,opus,9158,1,56.7612,opus_bmm_a8w8_mxscale_pipeline_512x256x256x128_2x1_16x16x128_1x32x32_preload_sf,756.7,701.99,0.0003124237118754536
gfx950,2,2560,1024,4096,128,opus,158,1,56.53,opus_bmm_a8w8_mxscale_pipeline_512x256x256x128_2x1_16x16x128_1x128x128_preload_sf,759.7,704.83,0.0015
gfx950,2,3072,1024,4096,32,opus,9158,1,54.1986,opus_bmm_a8w8_mxscale_pipeline_512x256x256x128_2x1_16x16x128_1x32x32_preload_sf,950.9,851.26,0.0002485911245457828
gfx950,2,3072,1024,4096,128,opus,158,1,57.16,opus_bmm_a8w8_mxscale_pipeline_512x256x256x128_2x1_16x16x128_1x128x128_preload_sf,901.6,807.13,0.0015
gfx950,2,3584,1024,4096,32,opus,9158,1,56.0853,opus_bmm_a8w8_mxscale_pipeline_512x256x256x128_2x1_16x16x128_1x32x32_preload_sf,1072.1,934.8,0.00044631960918195546
gfx950,2,3584,1024,4096,128,opus,158,1,58.34,opus_bmm_a8w8_mxscale_pipeline_512x256x256x128_2x1_16x16x128_1x128x128_preload_sf,1030.7,898.72,0.0015
gfx950,2,4096,1024,4096,32,opus,9158,1,58.3531,opus_bmm_a8w8_mxscale_pipeline_512x256x256x128_2x1_16x16x128_1x32x32_preload_sf,1177.6,1006.29,0.00023543834686279297
gfx950,2,4096,1024,4096,128,opus,158,1,69.04,opus_bmm_a8w8_mxscale_pipeline_512x256x256x128_2x1_16x16x128_1x128x128_preload_sf,995.3,850.51,0.0015
gfx950,2,8192,1024,4096,32,opus,9158,1,77.2464,opus_bmm_a8w8_mxscale_pipeline_512x256x256x128_2x1_16x16x128_1x32x32_preload_sf,1779.2,1411.74,0.00017386674880981445
gfx950,2,8192,1024,4096,128,opus,158,1,85.01,opus_bmm_a8w8_mxscale_pipeline_512x256x256x128_2x1_16x16x128_1x128x128_preload_sf,1616.8,1282.88,0.0015
gfx950,2,16384,1024,4096,32,opus,9158,1,141.7521,opus_bmm_a8w8_mxscale_pipeline_512x256x256x128_2x1_16x16x128_1x32x32_preload_sf,1939.1,1479.45,0.000371396541595459
gfx950,2,16384,1024,4096,128,opus,158,1,145.45,opus_bmm_a8w8_mxscale_pipeline_512x256x256x128_2x1_16x16x128_1x128x128_preload_sf,1889.8,1441.83,0.0015
gfx950,2,32768,1024,4096,32,opus,9158,1,270.2019,opus_bmm_a8w8_mxscale_pipeline_512x256x256x128_2x1_16x16x128_1x32x32_preload_sf,2034.6,1521.24,0.0003114640712738037
gfx950,2,32768,1024,4096,128,opus,158,1,261.61,opus_bmm_a8w8_mxscale_pipeline_512x256x256x128_2x1_16x16x128_1x128x128_preload_sf,2101.4,1571.21,0.0015
gfx950,4,1,1024,4096,32,opus,9311,1,8.3805,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x32x32_wgpcu2_scaleprefetch,4.0,2004.87,0.0
gfx950,4,1,1024,4096,128,opus,311,1,7.74,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch,4.3,2169.4,0.0015
gfx950,4,4,1024,4096,32,opus,9311,1,8.4101,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x32x32_wgpcu2_scaleprefetch,16.0,2006.58,6.103515625e-05
gfx950,4,4,1024,4096,128,opus,311,1,7.89,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch,17.0,2138.74,0.0015
