M,N,K,outdtype,bias,scale_block,bpreshuffle,scale_a_transposed
1,768,7168,torch.bfloat16,False,128,True,True
2,768,7168,torch.bfloat16,False,128,True,True
4,768,7168,torch.bfloat16,False,128,True,True
8,768,7168,torch.bfloat16,False,128,True,True
16,768,7168,torch.bfloat16,False,128,True,True
32,768,7168,torch.bfloat16,False,128,True,True
48,768,7168,torch.bfloat16,False,128,True,True
64,768,7168,torch.bfloat16,False,128,True,True
80,768,7168,torch.bfloat16,False,128,True,True
96,768,7168,torch.bfloat16,False,128,True,True
112,768,7168,torch.bfloat16,False,128,True,True
128,768,7168,torch.bfloat16,False,128,True,True
144,768,7168,torch.bfloat16,False,128,True,True
160,768,7168,torch.bfloat16,False,128,True,True
176,768,7168,torch.bfloat16,False,128,True,True
192,768,7168,torch.bfloat16,False,128,True,True
208,768,7168,torch.bfloat16,False,128,True,True
224,768,7168,torch.bfloat16,False,128,True,True
240,768,7168,torch.bfloat16,False,128,True,True
256,768,7168,torch.bfloat16,False,128,True,True
288,768,7168,torch.bfloat16,False,128,True,True
320,768,7168,torch.bfloat16,False,128,True,True
352,768,7168,torch.bfloat16,False,128,True,True
384,768,7168,torch.bfloat16,False,128,True,True
416,768,7168,torch.bfloat16,False,128,True,True
448,768,7168,torch.bfloat16,False,128,True,True
480,768,7168,torch.bfloat16,False,128,True,True
512,768,7168,torch.bfloat16,False,128,True,True
544,768,7168,torch.bfloat16,False,128,True,True
576,768,7168,torch.bfloat16,False,128,True,True
608,768,7168,torch.bfloat16,False,128,True,True
640,768,7168,torch.bfloat16,False,128,True,True
672,768,7168,torch.bfloat16,False,128,True,True
704,768,7168,torch.bfloat16,False,128,True,True
736,768,7168,torch.bfloat16,False,128,True,True
768,768,7168,torch.bfloat16,False,128,True,True
800,768,7168,torch.bfloat16,False,128,True,True
832,768,7168,torch.bfloat16,False,128,True,True
864,768,7168,torch.bfloat16,False,128,True,True
896,768,7168,torch.bfloat16,False,128,True,True
928,768,7168,torch.bfloat16,False,128,True,True
960,768,7168,torch.bfloat16,False,128,True,True
992,768,7168,torch.bfloat16,False,128,True,True
1024,768,7168,torch.bfloat16,False,128,True,True
1088,768,7168,torch.bfloat16,False,128,True,True
1152,768,7168,torch.bfloat16,False,128,True,True
1216,768,7168,torch.bfloat16,False,128,True,True
1280,768,7168,torch.bfloat16,False,128,True,True
1344,768,7168,torch.bfloat16,False,128,True,True
1408,768,7168,torch.bfloat16,False,128,True,True
1472,768,7168,torch.bfloat16,False,128,True,True
1536,768,7168,torch.bfloat16,False,128,True,True
1600,768,7168,torch.bfloat16,False,128,True,True
1664,768,7168,torch.bfloat16,False,128,True,True
1728,768,7168,torch.bfloat16,False,128,True,True
1792,768,7168,torch.bfloat16,False,128,True,True
1856,768,7168,torch.bfloat16,False,128,True,True
1920,768,7168,torch.bfloat16,False,128,True,True
1984,768,7168,torch.bfloat16,False,128,True,True
2048,768,7168,torch.bfloat16,False,128,True,True
4096,768,7168,torch.bfloat16,False,128,True,True
6144,768,7168,torch.bfloat16,False,128,True,True
8192,768,7168,torch.bfloat16,False,128,True,True
10240,768,7168,torch.bfloat16,False,128,True,True
12288,768,7168,torch.bfloat16,False,128,True,True
14336,768,7168,torch.bfloat16,False,128,True,True
16384,768,7168,torch.bfloat16,False,128,True,True
32768,768,7168,torch.bfloat16,False,128,True,True
1,2048,7168,torch.bfloat16,False,128,True,True
2,2048,7168,torch.bfloat16,False,128,True,True
4,2048,7168,torch.bfloat16,False,128,True,True
8,2048,7168,torch.bfloat16,False,128,True,True
16,2048,7168,torch.bfloat16,False,128,True,True
32,2048,7168,torch.bfloat16,False,128,True,True
48,2048,7168,torch.bfloat16,False,128,True,True
64,2048,7168,torch.bfloat16,False,128,True,True
80,2048,7168,torch.bfloat16,False,128,True,True
96,2048,7168,torch.bfloat16,False,128,True,True
112,2048,7168,torch.bfloat16,False,128,True,True
128,2048,7168,torch.bfloat16,False,128,True,True
144,2048,7168,torch.bfloat16,False,128,True,True
160,2048,7168,torch.bfloat16,False,128,True,True
176,2048,7168,torch.bfloat16,False,128,True,True
192,2048,7168,torch.bfloat16,False,128,True,True
208,2048,7168,torch.bfloat16,False,128,True,True
224,2048,7168,torch.bfloat16,False,128,True,True
240,2048,7168,torch.bfloat16,False,128,True,True
256,2048,7168,torch.bfloat16,False,128,True,True
288,2048,7168,torch.bfloat16,False,128,True,True
320,2048,7168,torch.bfloat16,False,128,True,True
352,2048,7168,torch.bfloat16,False,128,True,True
384,2048,7168,torch.bfloat16,False,128,True,True
416,2048,7168,torch.bfloat16,False,128,True,True
448,2048,7168,torch.bfloat16,False,128,True,True
480,2048,7168,torch.bfloat16,False,128,True,True
512,2048,7168,torch.bfloat16,False,128,True,True
544,2048,7168,torch.bfloat16,False,128,True,True
576,2048,7168,torch.bfloat16,False,128,True,True
608,2048,7168,torch.bfloat16,False,128,True,True
640,2048,7168,torch.bfloat16,False,128,True,True
672,2048,7168,torch.bfloat16,False,128,True,True
704,2048,7168,torch.bfloat16,False,128,True,True
736,2048,7168,torch.bfloat16,False,128,True,True
768,2048,7168,torch.bfloat16,False,128,True,True
800,2048,7168,torch.bfloat16,False,128,True,True
832,2048,7168,torch.bfloat16,False,128,True,True
864,2048,7168,torch.bfloat16,False,128,True,True
896,2048,7168,torch.bfloat16,False,128,True,True
928,2048,7168,torch.bfloat16,False,128,True,True
960,2048,7168,torch.bfloat16,False,128,True,True
992,2048,7168,torch.bfloat16,False,128,True,True
1024,2048,7168,torch.bfloat16,False,128,True,True
1088,2048,7168,torch.bfloat16,False,128,True,True
1152,2048,7168,torch.bfloat16,False,128,True,True
1216,2048,7168,torch.bfloat16,False,128,True,True
1280,2048,7168,torch.bfloat16,False,128,True,True
1344,2048,7168,torch.bfloat16,False,128,True,True
1408,2048,7168,torch.bfloat16,False,128,True,True
1472,2048,7168,torch.bfloat16,False,128,True,True
1536,2048,7168,torch.bfloat16,False,128,True,True
1600,2048,7168,torch.bfloat16,False,128,True,True
1664,2048,7168,torch.bfloat16,False,128,True,True
1728,2048,7168,torch.bfloat16,False,128,True,True
1792,2048,7168,torch.bfloat16,False,128,True,True
1856,2048,7168,torch.bfloat16,False,128,True,True
1920,2048,7168,torch.bfloat16,False,128,True,True
1984,2048,7168,torch.bfloat16,False,128,True,True
