gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,1536,4096,ck,7,0,11.7872,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.07,534.36,0.0
gfx950,256,2,1536,4096,ck,7,0,12.0854,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.08,521.77,0.0
gfx950,256,4,1536,4096,ck,7,0,10.8227,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.65,583.97,0.0
gfx950,256,6,1536,4096,ck,7,0,11.4615,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.59,552.67,0.0
gfx950,256,8,1536,4096,ck,7,0,10.9705,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.18,578.72,0.0
gfx950,256,12,1536,4096,ck,7,0,11.8109,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,12.78,539.96,0.0
gfx950,256,16,1536,4096,ck,7,0,11.5158,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,17.48,556.29,0.0
gfx950,256,24,1536,4096,ck,7,0,11.1631,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,27.05,579.0,0.0
gfx950,256,32,1536,4096,ck,7,0,11.2947,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,35.65,577.34,0.0
gfx950,256,40,1536,4096,ck,7,0,11.8139,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,42.6,556.82,0.0
gfx950,256,48,1536,4096,ck,7,0,11.2178,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,53.84,591.52,0.0
gfx950,256,56,1536,4096,ck,7,0,11.6314,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,60.58,575.41,0.0
gfx950,256,64,1536,4096,ck,7,0,11.5017,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,70.02,586.89,0.0
gfx950,256,72,1536,4096,ck,7,0,11.6067,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,78.06,586.52,0.0
gfx950,256,80,1536,4096,ck,7,0,11.3447,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,88.73,605.12,0.0
gfx950,256,88,1536,4096,ck,7,0,11.2479,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,98.44,615.43,0.0
gfx950,256,96,1536,4096,ck,7,0,11.1492,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,108.34,626.02,0.0
gfx950,256,104,1536,4096,ck,7,0,11.3203,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,115.6,621.62,0.0
gfx950,256,112,1536,4096,ck,7,0,11.1554,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,126.33,635.95,0.0
gfx950,256,120,1536,4096,ck,7,0,10.6852,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,141.31,669.3,0.0
gfx950,256,128,1536,4096,ck,7,0,11.0154,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,146.21,654.44,0.0
gfx950,256,136,1536,4096,ck,7,0,11.1032,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,154.12,654.43,0.0
gfx950,256,144,1536,4096,ck,7,0,9.8332,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,184.27,744.79,0.0
gfx950,256,152,1536,4096,ck,7,0,10.4686,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,182.7,705.06,0.0
gfx950,256,160,1536,4096,ck,7,0,10.5226,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,191.33,706.89,0.0
gfx950,256,168,1536,4096,ck,7,0,11.4187,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,185.13,656.44,0.0
gfx950,256,176,1536,4096,ck,7,0,11.4716,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,193.05,658.41,0.0
gfx950,256,184,1536,4096,ck,7,0,11.1747,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,207.19,681.04,0.0
gfx950,256,192,1536,4096,ck,12,0,11.687,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,206.72,656.09,0.0
gfx950,256,200,1536,4096,ck,7,0,12.0399,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,209.02,641.62,0.0
gfx950,256,208,1536,4096,ck,7,0,11.0178,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,237.55,706.35,0.0
gfx950,256,216,1536,4096,ck,7,0,11.7135,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,232.03,669.29,0.0
gfx950,256,224,1536,4096,ck,7,0,11.3849,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,247.57,693.65,0.0
gfx950,256,232,1536,4096,ck,7,0,12.7619,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,228.75,623.3,0.0
gfx950,256,240,1536,4096,ck,7,0,12.6618,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,238.5,632.75,0.0
gfx950,256,248,1536,4096,ck,6,0,13.2823,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,234.94,607.51,0.0
gfx950,256,256,1536,4096,ck,12,0,11.3583,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,283.6,715.46,0.0
gfx950,256,272,1536,4096,ck,7,0,13.0039,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,263.19,633.74,0.0
gfx950,256,288,1536,4096,ck,12,0,11.5403,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,314.02,724.06,0.0
gfx950,256,304,1536,4096,ck,7,0,12.8687,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,297.25,658.23,0.0
gfx950,256,320,1536,4096,ck,12,0,12.075,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,333.46,710.99,0.0
gfx950,256,336,1536,4096,ck,7,0,13.4927,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,313.34,644.79,0.0
gfx950,256,352,1536,4096,ck,12,0,13.6064,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,325.52,647.83,0.0
gfx950,256,368,1536,4096,ck,12,0,15.0087,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,308.52,594.94,0.0
gfx950,256,384,1536,4096,ck,12,0,13.5676,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,356.13,666.59,0.0
gfx950,256,400,1536,4096,ck,12,0,15.4589,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,325.58,592.45,0.0
gfx950,256,416,1536,4096,ck,12,0,13.8892,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,376.87,667.67,0.0
gfx950,256,432,1536,4096,ck,12,0,15.5146,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,350.37,605.11,0.0
gfx950,256,448,1536,4096,ck,12,0,13.986,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,403.06,679.45,0.0
gfx950,256,464,1536,4096,ck,12,0,15.9351,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,366.39,603.54,0.0
