cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,xbf16,_tag
256,1,5120,1536,40,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,24.7726,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.0%,19.6546,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,3.6%,44.4272,0,8.5,21242.25,0,
256,2,5120,1536,40,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,40.5573,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.0%,27.9361,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,3.9%,68.4934,0,11.02,13778.69,0,
256,4,5120,1536,40,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,99.8134,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.00%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.00%,99.8134,0,15.13,9455.44,0,
256,8,5120,1536,40,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,134.9101,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.00%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.00%,134.9101,0,22.38,6996.08,0,
256,16,5120,1536,40,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,156.6731,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.00%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.00%,156.6731,0,38.55,6025.06,0,
256,32,5120,1536,40,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,164.2209,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.00%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.00%,164.2209,0,73.56,5749.63,0,
256,64,5120,1536,40,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,168.1699,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.00%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.00%,168.1699,0,143.66,5617.54,0,
256,128,5120,1536,40,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,177.1016,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.00%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.00%,177.1016,0,272.83,5339.79,0,
256,256,5120,1536,40,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,64,0,111.1445,flydsl_moe1_afp8_wfp8_bf16_t64x128x128,0.00%,94.3821,flydsl_moe2_afp8_wfp8_bf16_t64x128x128_atomic,3.80%,205.5266,0,470.19,4610.84,0,
256,512,5120,1536,40,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,128,0,128.617,flydsl_moe1_afp8_wfp8_bf16_t128x128x128,0.00%,136.7373,flydsl_moe2_afp8_wfp8_bf16_t128x128x128_atomic,3.80%,265.3543,0,728.36,3586.08,0,
256,1024,5120,1536,40,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,64,0,227.447,flydsl_moe1_afp8_wfp8_bf16_t64x128x128,0.00%,192.093,flydsl_moe2_afp8_wfp8_bf16_t64x128x128_atomic,3.80%,419.54,0,921.36,2286.9,0,
