gfx,cu_num,token,model_dim,inter_dim,expert,topk,tp,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,add_shared,block_m,us,kernelName,max_abs,rel_l2
gfx950,256,1,6144,256,256,8,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,32,17.3462,flydsl_comm_moe2_afp8_wfp4_bf16_t32x256x128_cg8_w2,0.156250,0.014027
gfx950,256,2,6144,256,256,8,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,32,13.9421,flydsl_comm_moe2_afp8_wfp4_bf16_t32x256x128_cg16_v8_bnt2,0.187500,0.013699
gfx950,256,4,6144,256,256,8,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,32,15.2302,flydsl_comm_moe2_afp8_wfp4_bf16_t32x256x128_cg32_v8,0.187500,0.013332
gfx950,256,8,6144,256,256,8,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,32,21.4242,flydsl_comm_moe2_afp8_wfp4_bf16_t32x256x128_cg64_v8_bnt2,0.218750,0.012845
gfx950,256,16,6144,256,256,8,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,32,32.3163,flydsl_comm_moe2_afp8_wfp4_bf16_t32x256x128_cg128_w2_bnt2,0.250000,0.012834
gfx950,256,32,6144,256,256,8,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,32,,fallback,,
gfx950,256,64,6144,256,256,8,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,32,,fallback,,
gfx950,256,128,6144,256,256,8,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,32,,fallback,,
gfx950,256,256,6144,256,256,8,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,32,,fallback,,
gfx950,256,512,6144,256,256,8,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,32,,fallback,,
gfx950,256,1024,6144,256,256,8,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,32,,fallback,,
gfx950,256,2048,6144,256,256,8,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,64,,fallback,,
gfx950,256,4096,6144,256,256,8,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,64,,fallback,,
gfx950,256,8192,6144,256,256,8,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,64,,fallback,,
gfx950,256,16384,6144,256,256,8,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,64,,fallback,,
gfx950,256,32768,6144,256,256,8,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,64,,fallback,,
gfx950,256,1,6144,512,256,8,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,32,13.2721,flydsl_comm_moe2_afp8_wfp4_bf16_t32x256x128_cg8_v8_w2_bnt2,0.125000,0.020619
gfx950,256,2,6144,512,256,8,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1,32,15.0701,flydsl_comm_moe2_afp8_wfp4_bf16_t32x256x128_cg16_v8,0.125000,0.020084
