gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,3.5547,sol2,0.0,0.11,114.09
gfx950,256,2,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,94,8,4.6207,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x7_ks8_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0469,0.17,90.45
gfx950,256,4,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,70,8,5.0807,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x5_ks8_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0469,0.31,87.12
gfx950,256,8,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,82,8,5.0403,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x6_ks8_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.043,0.62,97.62
gfx950,256,16,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,94,8,4.9354,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x7_ks8_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0332,1.27,119.72
gfx950,256,32,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,94,8,5.1991,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x7_ks8_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0234,2.42,151.66
gfx950,256,48,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,82,8,5.1296,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x6_ks8_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0273,3.68,192.24
gfx950,256,64,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,280,8,5.2872,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x8_ks8_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0303,4.76,223.89
gfx950,256,128,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,889,8,5.4332,flydsl_hgemm_abf16_wbf16_bf16_t32x64x128x6_ks8_w1x2x2_bias0_ktail0_gm0_pft_gfx950,0.0303,9.26,363.37
gfx950,256,256,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,889,8,6.1403,flydsl_hgemm_abf16_wbf16_bf16_t32x64x128x4_ks8_w1x2x2_bias0_ktail0_gm0_pft_gfx950,0.0298,16.39,579.02
gfx950,256,16384,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,29,2,38.5485,flydsl_hgemm_abf16_wbf16_bf16_t128x64x128x2_ks2_w2x2x1_bias0_ktail0_gm0_pht_gfx950,0.0058,167.13,5260.08
gfx950,256,1,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,3.6655,sol2,0.0,0.43,432.52
gfx950,256,2,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.8079,sol2,0.0,0.65,332.36
gfx950,256,4,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,13,5.2058,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0293,1.21,311.78
gfx950,256,8,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,166,8,5.0633,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x4_ks8_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0254,2.49,330.46
gfx950,256,16,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,208,8,5.0731,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x7_ks8_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0249,4.96,349.6
gfx950,256,32,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,5.1455,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0247,9.78,383.69
gfx950,256,48,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,197,8,5.4227,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x6_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0207,13.92,401.09
gfx950,256,64,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1064,8,5.8011,flydsl_hgemm_abf16_wbf16_bf16_t32x64x256x3_ks8_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0203,17.35,409.52
gfx950,256,128,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1646,8,6.4377,flydsl_hgemm_abf16_wbf16_bf16_t32x64x256x3_ks8_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0214,31.27,493.73
gfx950,256,256,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,938,6,7.3681,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x6_ks6_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0187,54.65,649.3
gfx950,256,16384,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,25,2,51.3461,flydsl_hgemm_abf16_wbf16_bf16_t128x128x128x2_ks2_w2x4x1_bias0_ktail0_gm0_pht_gfx950,0.0058,501.88,4033.29
gfx950,256,1,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,3.9314,sol2,0.0,0.8,803.41
gfx950,256,2,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,5.0741,sol2,0.0,1.24,625.0
gfx950,256,4,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,203,8,5.7507,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x6_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0225,2.19,555.92
gfx950,256,8,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,412,8,5.7438,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x9_ks8_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0244,4.38,565.5
gfx950,256,16,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,383,8,5.9023,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x7_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0212,8.53,567.66
gfx950,256,32,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,172,8,6.1944,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x4_ks8_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0288,16.25,573.96
gfx950,256,48,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,401,8,6.3227,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x8_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0205,23.88,594.7
gfx950,256,64,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,173,8,6.6619,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x4_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0211,30.22,595.16
gfx950,256,128,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,851,8,7.4774,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x5_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0192,53.85,639.81
gfx950,256,256,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2085,6,9.1267,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x6_ks6_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0182,88.24,703.71
gfx950,256,16384,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,9,1,71.0543,flydsl_hgemm_abf16_wbf16_bf16_t128x128x128x2_ks1_w2x4x1_bias0_ktail0_gm4_pht_gfx950,0.0,725.36,2995.75
gfx950,256,1,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,362,6,8.5045,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x6_ks6_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0152,3.79,3793.43
gfx950,256,2,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,398,6,8.5044,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x8_ks6_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0133,7.58,3795.54
gfx950,256,4,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,379,6,8.7385,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x7_ks6_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0232,14.76,3697.87
gfx950,256,8,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,380,6,8.8961,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x7_ks6_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.018,29.0,3640.25
gfx950,256,16,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,398,6,9.4752,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x8_ks6_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0175,54.45,3432.57
gfx950,256,32,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1341,6,11.2171,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x6_ks6_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0174,91.98,2924.54
gfx950,256,48,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,626,6,13.4877,flydsl_hgemm_abf16_wbf16_bf16_t48x64x64x4_ks6_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0174,114.75,2453.01
gfx950,256,64,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,6,14.6473,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0175,140.89,2277.96
gfx950,256,128,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,3,18.244,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.01,226.22,1890.39
gfx950,256,256,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,26.3259,native,0.0,313.55,1395.32
gfx950,256,16384,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,401.7537,native,0.0,1314.94,795.4
gfx950,256,1,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,216,4,6.3242,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x4_ks4_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0093,2.65,2654.8
gfx950,256,2,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,216,4,6.3553,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x4_ks4_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0074,5.28,2643.74
gfx950,256,4,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,263,4,6.585,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x8_ks4_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0144,10.19,2555.26
