gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,23.0436,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.9%,15.0066,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_persist_nt_sbm32,1.4%,38.0502,0,0,0,16.98,242417.31,
gfx950,256,2,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,42.6584,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_xcd4_kw4_fp4,0.9%,24.3121,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_sbm32,1.5%,66.9705,0,0,0,19.56,139639.41,
gfx950,256,4,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,75.5493,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kw2_fp4,0.8%,42.4068,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_nt_sbm32,1.6%,117.956,0,0,0,23.05,82269.29,
gfx950,256,8,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,146.769,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3,0.0%,79.1062,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_nt_sbm32,1.5%,225.875,0,0,0,25.87,46164.88,
gfx950,256,16,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,281.017,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,156.975,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_sbm32,6.3%,437.992,0,0,0,30.14,26895.77,
gfx950,256,32,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,499.312,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.8%,280.897,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_sbm32,1.5%,780.208,0,0,0,39.92,17811.01,
gfx950,256,64,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,491.893,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_kw4,0.0%,276.065,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_persist_sbm32,6.2%,767.958,0,0,0,61.46,13713.6,
gfx950,256,128,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,500.933,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2,0.0%,280.85,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_sbm32,6.2%,781.783,0,0,0,110.02,12275.05,
gfx950,256,256,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,504.318,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_fp4,0.8%,278.739,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_atomic_persist_nt_sbm64,6.3%,783.057,0,0,0,214.57,11972.95,
gfx950,256,512,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,507.819,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_fp4,0.8%,293.048,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_atomic_persist_nt_sbm64,6.3%,800.868,0,0,0,422.52,11793.98,
