M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
1,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
1,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
1,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
1,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
2,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
2,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
2,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
2,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
2,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
4,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
4,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
4,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
4,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
4,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
8,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
8,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
8,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
8,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
8,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
16,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
16,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
16,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
16,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
16,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
