cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,tflops,bw,_tag
256,256,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,195.4626,flydsl_mxmoe_g1_a4w4_32x128x256_nt_swiglu_bias_xcd2,1.1209%,109.1431,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic_bnt2_persist,5.0000%,304.6057,0,0,190.3519156109029,11904.694506022048,
256,512,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,205.5116,flydsl_mxmoe_g1_a4w4_32x256x256_nt_swiglu_bias_xcd2,1.1226%,109.5792,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2,5.1000%,315.0908,0,0,368.0316021889563,11516.036468998778,
256,1024,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,211.2049,flydsl_mxmoe_g1_a4w4_64x256x256_nt_swiglu_bias_xcd2,1.1247%,121.3742,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_bnt2,5.1000%,332.57910000000004,0,0,697.3631576728664,10924.665292118476,
256,2048,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,256.7432,flydsl_mxmoe_g1_a4w4_64x256x256_swiglu_bias,1.1251%,151.789,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic,5.0000%,408.5322,0,0,1135.4252937467354,8916.68481575259,
256,4096,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,339.1082,flydsl_mxmoe_g1_a4w4_128x256x256_swiglu_bias,1.1260%,210.7843,flydsl_moe2_afp4_wfp4_bf16_t128x128x256_atomic,5.1000%,549.8925,0,0,1687.0852285201197,6658.806088011746,
256,8192,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,508.016,flydsl_mxmoe_g1_a4w4_128x256x256_swiglu_bias,1.1281%,637.455,flydsl_moe2_afp4_wfp4_bf16_t128x128x256_atomic,5.0000%,1145.471,0,0,1619.7952715066554,3229.5633365637364,
256,16384,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,793.7427,flydsl_mxmoe_g1_a4w4_64x256x256_swiglu_bias,1.1251%,940.8593,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic,5.1000%,1734.602,0,0,2139.3102910362154,2176.2125359039137,
256,32768,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1497.8901,flydsl_mxmoe_g1_a4w4_64x256x256_swiglu_bias,1.1260%,2466.0812,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic,5.0000%,3963.9713,0,0,1872.2939724228077,990.3843546178048,
256,256,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,100.2263,flydsl_mxmoe_g1_a4w4_32x256x256_nt_swiglu_bias_xcd2,1.1296%,61.0182,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_reduce_bnt2_persist,2.0000%,161.2445,0,0,179.79971380109092,11251.849082660186,
256,512,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,101.5598,flydsl_mxmoe_g1_a4w4_32x256x256_nt_swiglu_bias_xcd2,1.1304%,65.2416,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_reduce_bnt2_persist,2.0000%,166.8014,0,0,347.61119019384734,10891.141878065771,
256,1024,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,106.0131,flydsl_mxmoe_g1_a4w4_64x256x256_nt_swiglu_bias_xcd4,1.1265%,71.2891,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_bnt2,2.0000%,177.3022,0,0,654.0429966069232,10272.725193308375,
256,2048,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,139.369,flydsl_mxmoe_g1_a4w4_64x256x256_swiglu_bias_xcd2,1.1284%,92.8451,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic,3.6000%,232.2141,0,0,998.7689951643762,7884.165903892141,
256,4096,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,182.9692,flydsl_mxmoe_g1_a4w4_128x256x256_swiglu_bias_xcd2,1.1234%,142.3561,flydsl_moe2_afp4_wfp4_bf16_t128x128x256_reduce,2.0000%,325.3253,0,0,1425.8193948487867,5685.658627595211,
256,8192,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,255.7653,flydsl_mxmoe_g1_a4w4_64x256x256_swiglu_bias_xcd2,1.1242%,270.0618,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_persist,3.6000%,525.8271,0,0,1764.2949562774534,3589.465676263167,
256,16384,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,452.2332,flydsl_mxmoe_g1_a4w4_128x256x256_swiglu_bias_xcd2,1.1246%,451.0174,flydsl_moe2_afp4_wfp4_bf16_t128x128x256_reduce,2.0000%,903.2506,0,0,2054.165837662328,2173.18903663723,
256,32768,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,814.6228,flydsl_mxmoe_g1_a4w4_128x256x256_swiglu_bias,1.1292%,844.3695,flydsl_moe2_afp4_wfp4_bf16_t128x128x256_reduce,2.0000%,1658.9923,0,0,2236.809689261969,1274.220830101502,
256,256,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,36.7952,flydsl_mxmoe_g1_a4w4_64x256x256_nt_swiglu_bias_xcd2,1.1264%,28.9955,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_reduce_bnt2,0.6000%,65.7907,0,0,146.8838338549369,9216.178196477618,
256,512,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,35.1637,flydsl_mxmoe_g1_a4w4_32x128x256_nt_swiglu_bias_xcd2,1.1241%,30.988,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_bnt2_persist,0.6000%,66.1517,0,0,292.16923211346045,9201.556238403547,
256,1024,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,36.8746,flydsl_mxmoe_g1_a4w4_64x256x256_nt_swiglu_bias_xcd2,1.1220%,37.4254,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_reduce,0.6000%,74.30000000000001,0,0,520.2499748048451,8255.95136576043,
256,2048,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,46.9592,flydsl_mxmoe_g1_a4w4_64x256x256_nt_swiglu_bias_xcd4,1.1250%,51.3745,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_reduce,0.6000%,98.3337,0,0,786.1890515560789,6334.082557414192,
256,4096,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,61.3997,flydsl_mxmoe_g1_a4w4_64x256x256_swiglu_bias_xcd2,1.1227%,93.1675,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce,0.6000%,154.5672,0,0,1000.3285871258583,4151.773625568684,
256,8192,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,87.2709,flydsl_mxmoe_g1_a4w4_64x256x256_swiglu_bias_xcd2,1.1225%,160.8729,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_reduce_persist,0.6000%,248.1438,0,0,1246.2050133430696,2738.235728678291,
