gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx942,80,1,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,15.590865979381439,fused_moe_gfx942__16_16_16_False,74.39%,0.0,,0%,15.590865979381439,1,0,0,0,0,
gfx942,80,2,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,31.046779999999945,fused_moe_gfx942__16_16_16_False,72.30%,0.0,,0%,31.046779999999945,1,0,0,0,0,
gfx942,80,4,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,41.68823076923089,fused_moe_gfx942__16_16_16_False,72.71%,0.0,,0%,41.68823076923089,1,0,0,0,0,
gfx942,80,8,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,60.09724999999975,fused_moe_gfx942__16_16_16_False,72.68%,0.0,,0%,60.09724999999975,1,0,0,0,0,
gfx942,80,16,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,93.06105000000004,fused_moe_gfx942__16_16_16_False,73.09%,0.0,,0%,93.06105000000004,1,0,0,0,0,
gfx942,80,32,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,127.69026315789478,fused_moe_gfx942__16_16_16_False,72.74%,0.0,,0%,127.69026315789478,1,0,0,0,0,
gfx942,80,64,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,268.99897959183687,fused_moe_gfx942__64_128_128_True,0.00%,0.0,,0%,268.99897959183687,1,0,0,0,0,
gfx942,80,256,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,304.52878571428556,fused_moe_gfx942__64_128_256_True,0.00%,0.0,,0%,304.52878571428556,1,0,0,0,0,
gfx942,80,512,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,336.5529255319152,fused_moe_gfx942__64_128_256_True,0.04%,0.0,,0%,336.5529255319152,1,0,0,0,0,
gfx942,80,1024,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,412.067279569894,fused_moe_gfx942__64_128_256_True,0.00%,0.0,,0%,412.067279569894,1,0,0,0,0,
gfx942,80,2048,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,698.9116666666665,fused_moe_gfx942__64_128_128_True,0.05%,0.0,,0%,698.9116666666665,1,0,0,0,0,
gfx942,80,4096,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,1144.790602272729,fused_moe_gfx942__64_128_128_True,0.03%,0.0,,0%,1144.790602272729,1,0,0,0,0,
gfx942,80,8192,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,2104.561749999997,fused_moe_gfx942__64_128_256_True,0.02%,0.0,,0%,2104.561749999997,1,0,0,0,0,
gfx942,80,16384,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,3931.028070707061,fused_moe_gfx942__64_128_128_True,0.01%,0.0,,0%,3931.028070707061,1,0,0,0,0,
gfx942,80,32768,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,7739.321659999994,fused_moe_gfx942__64_128_128_True,0.01%,0.0,,0%,7739.321659999994,1,0,0,0,0,
gfx942,80,65536,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,15591.93658947371,fused_moe_gfx942__64_128_128_True,0.01%,0.0,,0%,15591.93658947371,1,0,0,0,0,
gfx942,80,131072,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,31750.420928571424,fused_moe_gfx942__64_128_256_True,0.01%,0.0,,0%,31750.420928571424,1,0,0,0,0,
