gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,32,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,40,7,8.7903,flydsl_gemm2_abf16_wbf16_bf16_t16x64x256_split_k7_block_m_warp1_block_n_warp2_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0194,20.04,681.25
gfx950,256,64,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,281,7,9.3621,flydsl_gemm2_abf16_wbf16_bf16_t32x64x256_split_k7_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0204,37.63,691.26
gfx950,256,96,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,280,7,9.3101,flydsl_gemm2_abf16_wbf16_bf16_t32x64x256_split_k7_block_m_warp1_block_n_warp2_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0205,56.76,747.04
gfx950,256,256,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,1212,8,13.4977,opus_gemm_flatmm_splitk_256x32x96x64_2x1_16x16x32_0x0x0_wgpcu2_nooob,0.0,104.41,694.31
gfx950,256,512,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,1200,5,14.9901,opus_gemm_flatmm_splitk_256x64x64x64_2x1_16x16x32_0x0x0_wgpcu2_nooob,0.0,188.03,883.13
gfx950,256,1024,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,3,20.5706,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0104,274.04,1019.49
gfx950,256,2048,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,28.3933,native,0.0,397.08,1283.33
gfx950,256,4096,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,48.3114,native,0.0,466.73,1394.52
gfx950,256,8192,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,73.9355,native,0.0,609.95,1747.97
gfx950,256,16384,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,99.8904,native,0.0,902.93,2532.47
