gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,64,192,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,504,4,3.9454,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x5_ks4_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0065,6.38,139.11
gfx950,256,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,243,8,7.15,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x6_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.025,2.93,2935.73
gfx950,256,16,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,255,8,7.8699,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x7_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0208,42.64,2703.29
gfx950,256,32,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,928,8,8.9787,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x7_ks8_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0218,74.74,2403.21
gfx950,256,64,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1834,8,11.5434,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x5_ks8_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0226,116.27,1921.79
gfx950,256,128,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,6,14.832,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0179,180.98,1577.42
gfx950,256,256,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,4,18.8133,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0141,285.37,1372.5
gfx950,256,512,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,25.9146,native,0.0,414.34,1183.54
gfx950,256,1024,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,36.6048,native,0.0,586.67,1102.87
gfx950,256,2048,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,63.5883,native,0.0,675.43,939.93
gfx950,256,4096,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,93.0381,native,0.0,923.27,1059.42
gfx950,256,8192,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,146.2276,native,0.0,1174.87,1204.7
gfx950,256,16384,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,273.6138,native,0.0,1255.78,1211.01
gfx950,256,32768,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,393,1,517.6656,flydsl_hgemm_abf16_wbf16_bf16_t256x256x64x2_ks1_w2x4x1_bias0_ktail0_gm4_pht_gfx950,0.0,1327.49,1239.66
gfx950,256,1,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,59,8,10.2259,flydsl_hgemm_abf16_wbf16_bf16_t16x128x64x4_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0223,4.1,4103.75
gfx950,256,16,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,22,8,11.4085,flydsl_hgemm_abf16_wbf16_bf16_t16x128x128x3_ks8_w1x2x2_bias0_ktail0_gm0_pft_gfx950,0.0272,58.82,3706.63
gfx950,256,32,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,891,4,13.1075,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x6_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.014,102.4,3252.43
gfx950,256,64,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1494,4,15.6084,flydsl_hgemm_abf16_wbf16_bf16_t64x64x128x4_ks4_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0141,171.98,2775.38
gfx950,256,128,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,3,21.6237,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0107,248.28,2066.97
gfx950,256,256,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,32.2041,native,0.0,333.42,1473.35
