M,N,K,q_dtype_w
1,1280,6144,torch.float8_e4m3fnuz
2,1280,6144,torch.float8_e4m3fnuz
4,1280,6144,torch.float8_e4m3fnuz
8,1280,6144,torch.float8_e4m3fnuz
16,1280,6144,torch.float8_e4m3fnuz
32,1280,6144,torch.float8_e4m3fnuz
64,1280,6144,torch.float8_e4m3fnuz
96,1280,6144,torch.float8_e4m3fnuz
128,1280,6144,torch.float8_e4m3fnuz
160,1280,6144,torch.float8_e4m3fnuz
192,1280,6144,torch.float8_e4m3fnuz
256,1280,6144,torch.float8_e4m3fnuz
320,1280,6144,torch.float8_e4m3fnuz
384,1280,6144,torch.float8_e4m3fnuz
512,1280,6144,torch.float8_e4m3fnuz
768,1280,6144,torch.float8_e4m3fnuz
1024,1280,6144,torch.float8_e4m3fnuz
1536,1280,6144,torch.float8_e4m3fnuz
2048,1280,6144,torch.float8_e4m3fnuz
3072,1280,6144,torch.float8_e4m3fnuz
4096,1280,6144,torch.float8_e4m3fnuz
8192,1280,6144,torch.float8_e4m3fnuz
16384,1280,6144,torch.float8_e4m3fnuz
32768,1280,6144,torch.float8_e4m3fnuz
65536,1280,6144,torch.float8_e4m3fnuz
1,1536,6144,torch.float8_e4m3fnuz
2,1536,6144,torch.float8_e4m3fnuz
4,1536,6144,torch.float8_e4m3fnuz
8,1536,6144,torch.float8_e4m3fnuz
16,1536,6144,torch.float8_e4m3fnuz
32,1536,6144,torch.float8_e4m3fnuz
64,1536,6144,torch.float8_e4m3fnuz
96,1536,6144,torch.float8_e4m3fnuz
128,1536,6144,torch.float8_e4m3fnuz
160,1536,6144,torch.float8_e4m3fnuz
192,1536,6144,torch.float8_e4m3fnuz
256,1536,6144,torch.float8_e4m3fnuz
320,1536,6144,torch.float8_e4m3fnuz
384,1536,6144,torch.float8_e4m3fnuz
512,1536,6144,torch.float8_e4m3fnuz
768,1536,6144,torch.float8_e4m3fnuz
1024,1536,6144,torch.float8_e4m3fnuz
1536,1536,6144,torch.float8_e4m3fnuz
2048,1536,6144,torch.float8_e4m3fnuz
3072,1536,6144,torch.float8_e4m3fnuz
4096,1536,6144,torch.float8_e4m3fnuz
8192,1536,6144,torch.float8_e4m3fnuz
16384,1536,6144,torch.float8_e4m3fnuz
32768,1536,6144,torch.float8_e4m3fnuz
65536,1536,6144,torch.float8_e4m3fnuz
1,3072,6144,torch.float8_e4m3fnuz
2,3072,6144,torch.float8_e4m3fnuz
4,3072,6144,torch.float8_e4m3fnuz
8,3072,6144,torch.float8_e4m3fnuz
16,3072,6144,torch.float8_e4m3fnuz
32,3072,6144,torch.float8_e4m3fnuz
64,3072,6144,torch.float8_e4m3fnuz
96,3072,6144,torch.float8_e4m3fnuz
128,3072,6144,torch.float8_e4m3fnuz
160,3072,6144,torch.float8_e4m3fnuz
192,3072,6144,torch.float8_e4m3fnuz
256,3072,6144,torch.float8_e4m3fnuz
320,3072,6144,torch.float8_e4m3fnuz
384,3072,6144,torch.float8_e4m3fnuz
512,3072,6144,torch.float8_e4m3fnuz
768,3072,6144,torch.float8_e4m3fnuz
1024,3072,6144,torch.float8_e4m3fnuz
1536,3072,6144,torch.float8_e4m3fnuz
2048,3072,6144,torch.float8_e4m3fnuz
3072,3072,6144,torch.float8_e4m3fnuz
4096,3072,6144,torch.float8_e4m3fnuz
8192,3072,6144,torch.float8_e4m3fnuz
16384,3072,6144,torch.float8_e4m3fnuz
32768,3072,6144,torch.float8_e4m3fnuz
65536,3072,6144,torch.float8_e4m3fnuz
1,768,6144,torch.float8_e4m3fnuz
2,768,6144,torch.float8_e4m3fnuz
4,768,6144,torch.float8_e4m3fnuz
8,768,6144,torch.float8_e4m3fnuz
16,768,6144,torch.float8_e4m3fnuz
32,768,6144,torch.float8_e4m3fnuz
64,768,6144,torch.float8_e4m3fnuz
96,768,6144,torch.float8_e4m3fnuz
128,768,6144,torch.float8_e4m3fnuz
160,768,6144,torch.float8_e4m3fnuz
192,768,6144,torch.float8_e4m3fnuz
256,768,6144,torch.float8_e4m3fnuz
320,768,6144,torch.float8_e4m3fnuz
384,768,6144,torch.float8_e4m3fnuz
512,768,6144,torch.float8_e4m3fnuz
768,768,6144,torch.float8_e4m3fnuz
1024,768,6144,torch.float8_e4m3fnuz
1536,768,6144,torch.float8_e4m3fnuz
2048,768,6144,torch.float8_e4m3fnuz
3072,768,6144,torch.float8_e4m3fnuz
4096,768,6144,torch.float8_e4m3fnuz
8192,768,6144,torch.float8_e4m3fnuz
16384,768,6144,torch.float8_e4m3fnuz
32768,768,6144,torch.float8_e4m3fnuz
65536,768,6144,torch.float8_e4m3fnuz
1,6144,1024,torch.float8_e4m3fnuz
2,6144,1024,torch.float8_e4m3fnuz
4,6144,1024,torch.float8_e4m3fnuz
8,6144,1024,torch.float8_e4m3fnuz
16,6144,1024,torch.float8_e4m3fnuz
32,6144,1024,torch.float8_e4m3fnuz
64,6144,1024,torch.float8_e4m3fnuz
96,6144,1024,torch.float8_e4m3fnuz
128,6144,1024,torch.float8_e4m3fnuz
160,6144,1024,torch.float8_e4m3fnuz
192,6144,1024,torch.float8_e4m3fnuz
256,6144,1024,torch.float8_e4m3fnuz
320,6144,1024,torch.float8_e4m3fnuz
384,6144,1024,torch.float8_e4m3fnuz
512,6144,1024,torch.float8_e4m3fnuz
768,6144,1024,torch.float8_e4m3fnuz
1024,6144,1024,torch.float8_e4m3fnuz
1536,6144,1024,torch.float8_e4m3fnuz
2048,6144,1024,torch.float8_e4m3fnuz
3072,6144,1024,torch.float8_e4m3fnuz
4096,6144,1024,torch.float8_e4m3fnuz
