arch,dtype,K,V,BT,H,Hg,is_varlen,use_h0,store_fs,snapshot_bf16,state_bf16,T_flat,N,total_chunks,max_seq_chunks,BV,us
gfx942,torch.bfloat16,128,128,64,4,2,False,True,False,False,False,2500,1,40,40,32,149.5
gfx942,torch.bfloat16,128,128,64,4,2,False,True,False,False,False,60000,1,938,938,16,1953.5
gfx942,torch.bfloat16,128,128,64,4,2,False,True,False,False,False,128000,1,2000,2000,16,4112.6
gfx942,torch.bfloat16,128,128,64,4,2,False,True,False,True,False,2500,1,40,40,32,150.1
gfx942,torch.bfloat16,128,128,64,4,2,False,True,False,True,False,60000,1,938,938,16,1826.0
gfx942,torch.bfloat16,128,128,64,4,2,False,True,False,True,False,128000,1,2000,2000,16,4005.4
gfx942,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,8192,1,128,128,16,244.0
gfx942,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,16384,2,256,128,16,245.6
gfx942,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,24576,3,384,128,32,298.4
gfx942,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,32768,4,512,128,32,299.5
gfx942,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,40960,5,640,128,32,347.1
gfx942,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,49152,6,768,128,64,481.0
gfx942,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,57344,7,896,128,64,495.9
gfx942,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,65536,8,1024,128,64,511.5
gfx942,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,8192,1,128,128,16,243.3
gfx942,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,16384,2,256,128,16,237.5
gfx942,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,24576,3,384,128,32,302.1
gfx942,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,32768,4,512,128,32,303.2
gfx942,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,40960,5,640,128,32,304.5
gfx942,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,49152,6,768,128,64,452.2
gfx942,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,57344,7,896,128,64,468.9
gfx942,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,65536,8,1024,128,64,478.5
gfx942,torch.bfloat16,128,128,64,8,4,False,True,False,False,False,2500,1,40,40,32,150.7
gfx942,torch.bfloat16,128,128,64,8,4,False,True,False,False,False,60000,1,938,938,16,2069.8
gfx942,torch.bfloat16,128,128,64,8,4,False,True,False,False,False,128000,1,2000,2000,16,4314.4
