gfx,cu_num,dtype,K,V,BT,H,Hg,is_varlen,use_h0,store_fs,snapshot_bf16,state_bf16,T_flat,N,total_chunks,max_seq_chunks,BV,us
gfx942,304,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,16384,2,256,128,16,245.6
gfx942,304,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,32768,4,512,128,32,299.5
gfx942,304,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,65536,8,1024,128,64,511.5
gfx942,304,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,16384,2,256,128,16,237.5
gfx942,304,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,32768,4,512,128,32,303.2
gfx942,304,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,65536,8,1024,128,64,478.5
gfx942,304,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,16384,2,256,128,32,307.6
gfx942,304,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,32768,4,512,128,64,515.8
gfx942,304,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,65536,8,1024,128,64,1029.6
gfx942,304,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,16384,2,256,128,32,304.0
gfx942,304,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,32768,4,512,128,64,478.6
gfx942,304,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,65536,8,1024,128,64,960.1
gfx942,304,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,16384,2,256,128,64,516.7
gfx942,304,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,32768,4,512,128,64,1023.1
gfx942,304,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,65536,8,1024,128,64,2046.3
gfx942,304,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,16384,2,256,128,64,479.7
gfx942,304,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,32768,4,512,128,64,954.2
gfx942,304,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,65536,8,1024,128,64,1924.4
gfx942,304,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,16384,2,256,128,64,1015.3
gfx942,304,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,32768,4,512,128,64,2019.5
gfx942,304,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,65536,8,1024,128,64,3596.2
gfx942,304,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,16384,2,256,128,64,949.1
gfx942,304,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,32768,4,512,128,64,1908.4
gfx942,304,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,65536,8,1024,128,64,3399.4
