gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,2.949,sol2,0.0,0.18,180.61
gfx950,256,2,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.0107,sol2,0.0,0.26,134.87
gfx950,256,4,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.2997,sol2,0.0,0.49,129.68
gfx950,256,8,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,4.3978,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0469,0.95,134.35
gfx950,256,16,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,4.4487,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0322,1.89,147.78
gfx950,256,32,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,4.3421,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0337,3.86,182.06
gfx950,256,48,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,194,8,4.5994,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x9_ks8_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0293,5.47,200.82
gfx950,256,64,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,47,8,4.7014,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x5_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0195,7.14,224.78
gfx950,256,96,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,46,8,4.6425,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x5_ks8_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0265,10.84,284.98
gfx950,256,128,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,535,8,4.9521,flydsl_hgemm_abf16_wbf16_bf16_t32x64x128x4_ks8_w1x2x2_bias0_ktail0_gm0_pft_gfx950,0.0275,13.55,320.92
gfx950,256,192,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,627,8,4.976,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x8_ks8_w1x2x2_bias0_ktail0_gm0_pft_gfx950,0.0271,20.23,426.39
gfx950,256,256,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,931,8,5.408,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x8_ks8_w1x2x2_bias0_ktail0_gm0_pft_gfx950,0.026,24.82,490.79
gfx950,256,384,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1584,8,6.3395,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x5_ks8_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0193,31.76,586.67
gfx950,256,512,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,836,8,6.8498,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x6_ks8_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0261,39.19,698.43
gfx950,256,768,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,832,4,7.4589,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x6_ks4_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0115,53.98,926.95
gfx950,256,1024,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1760,4,8.2675,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x6_ks4_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0114,64.94,1093.92
gfx950,256,2048,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2787,8,10.2646,flydsl_hgemm_abf16_wbf16_bf16_t64x64x256x2_ks8_w2x2x1_bias0_ktail0_gm0_pht_gfx950,0.0195,104.61,1711.09
gfx950,256,4096,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2757,4,12.769,flydsl_hgemm_abf16_wbf16_bf16_t64x64x256x2_ks4_w2x2x1_bias0_ktail0_gm0_pht_gfx950,0.0116,168.18,2709.92
gfx950,256,8192,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,881,1,17.9025,flydsl_hgemm_abf16_wbf16_bf16_t32x64x128x4_ks1_w2x2x1_bias0_ktail0_gm4_pft_gfx950,0.0,239.91,3836.43
gfx950,256,1,256,4096,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,3.1066,sol2,0.0,0.68,677.87
gfx950,256,2,256,4096,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.2173,sol2,0.0,0.99,501.4
gfx950,256,4,256,4096,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.4556,sol2,0.0,1.88,478.49
gfx950,256,8,256,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,274,8,4.4578,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x9_ks8_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.022,3.76,486.07
gfx950,256,16,256,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,242,8,4.6366,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x6_ks8_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0264,7.24,482.34
gfx950,256,32,256,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,896,8,4.7442,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x6_ks8_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.021,14.15,500.75
gfx950,256,48,256,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,242,8,5.2059,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x6_ks8_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0269,19.34,483.09
gfx950,256,64,256,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,928,8,5.4819,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x7_ks8_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0194,24.48,484.18
gfx950,256,96,256,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,736,8,6.019,flydsl_hgemm_abf16_wbf16_bf16_t32x64x256x3_ks8_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0185,33.45,487.25
gfx950,256,128,256,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,551,4,6.5722,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x4_ks4_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0194,40.84,488.61
