gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx942,80,1,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,15.613964705882271,fused_moe_gfx942__16_16_16_False,68.55%,0.0,,0%,15.613964705882271,1,0,0,0.0,0.0,
gfx942,80,2,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,32.73258888888904,fused_moe_gfx942__16_16_16_False,67.42%,0.0,,0%,32.73258888888904,1,0,0,0.0,0.0,
gfx942,80,4,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,45.5763838383838,fused_moe_gfx942__16_16_16_False,66.24%,0.0,,0%,45.5763838383838,1,0,0,0.0,0.0,
gfx942,80,8,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,64.9026060606061,fused_moe_gfx942__16_16_16_False,66.19%,0.0,,0%,64.9026060606061,1,0,0,0.0,0.0,
gfx942,80,16,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,102.14859793814456,fused_moe_gfx942__16_16_16_False,65.85%,0.0,,0%,102.14859793814456,1,0,0,0.0,0.0,
gfx942,80,32,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,155.79666999999947,fused_moe_gfx942__16_16_16_False,65.45%,0.0,,0%,155.79666999999947,1,0,0,0.0,0.0,
gfx942,80,64,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,227.61093999999994,fused_moe_gfx942__16_16_16_False,66.26%,0.0,,0%,227.61093999999994,1,0,0,0.0,0.0,
gfx942,80,128,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,331.98196590909083,fused_moe_gfx942__16_16_16_False,66.02%,0.0,,0%,331.98196590909083,1,0,0,0.0,0.0,
gfx942,80,256,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,166.8006,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_16x64_5tg_pf3E,10.7%,203.0245,moe_ck2stages_gemm2_128x16x128x128_1x2_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,0.0%,369.8251,0,0,0,23.95,2190.29,
gfx942,80,512,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,412.3832,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x128E,0.0%,0.0,,0.0%,412.3832,1,0,0,42.96,1971.88,
gfx942,80,1024,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,444.8631,_ZN5aiter48fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x128E,0.0%,0.0,,0.0%,444.8631,1,0,0,79.65,1842.05,
gfx942,80,2048,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,639.4714945054956,fused_moe_gfx942__64_128_128_True,1.65%,0.0,,0%,639.4714945054956,1,0,0,0.0,0.0,
gfx942,80,4096,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,1115.8269791666662,fused_moe_gfx942__64_128_128_True,1.67%,0.0,,0%,1115.8269791666662,1,0,0,0.0,0.0,
gfx942,80,8192,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,1743.343489583335,fused_moe_gfx942__64_128_128_True,1.75%,0.0,,0%,1743.343489583335,1,0,0,0.0,0.0,
gfx942,80,16384,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,3154.8939696969633,fused_moe_gfx942__64_128_128_True,1.74%,0.0,,0%,3154.8939696969633,1,0,0,0.0,0.0,
gfx942,80,32768,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,5938.502408163258,fused_moe_gfx942__64_128_256_True,1.77%,0.0,,0%,5938.502408163258,1,0,0,0.0,0.0,
gfx942,80,65536,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,11814.977206185556,fused_moe_gfx942__64_128_256_True,1.81%,0.0,,0%,11814.977206185556,1,0,0,0.0,0.0,
gfx942,80,131072,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,23257.672938775468,fused_moe_gfx942__64_128_256_True,1.80%,0.0,,0%,23257.672938775468,1,0,0,0.0,0.0,
