gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,4096,128,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,nvfp4_bf16,QuantType.No,1,0,16,0,15.627,flydsl_moe1_abf16_wnvfp4_bf16_t16x64x256_kb4,0.0%,9.6272,flydsl_moe2_abf16_wnvfp4_bf16_t16x128x128_atomic,0.0%,25.2542,0,0,0,1.25,15944.66,
gfx950,256,2,4096,128,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,nvfp4_bf16,QuantType.No,1,0,16,0,15.683,flydsl_moe1_abf16_wnvfp4_bf16_t16x64x256_kb4,0.0%,10.9142,flydsl_moe2_abf16_wnvfp4_bf16_t16x128x128_atomic,0.0%,26.5972,0,0,0,2.37,15140.16,
gfx950,256,4,4096,128,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,nvfp4_bf16,QuantType.No,1,0,16,0,19.5108,flydsl_moe1_abf16_wnvfp4_bf16_t16x64x128_kb4,0.0%,11.7118,flydsl_moe2_abf16_wnvfp4_bf16_t16x128x128_atomic,0.0%,31.2226,0,0,0,4.03,12898.31,
gfx950,256,8,4096,128,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,nvfp4_bf16,QuantType.No,1,0,16,0,24.1393,flydsl_moe1_abf16_wnvfp4_bf16_t16x64x128_kb4,0.0%,14.5044,flydsl_moe2_abf16_wnvfp4_bf16_t16x128x128_atomic,0.0%,38.6437,0,0,0,6.51,10423.03,
gfx950,256,16,4096,128,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,nvfp4_bf16,QuantType.No,1,0,16,0,35.7679,flydsl_moe1_abf16_wnvfp4_bf16_t16x64x256_kb4,0.0%,19.4695,flydsl_moe2_abf16_wnvfp4_bf16_t16x128x128_atomic,0.0%,55.2374,0,0,0,9.11,7294.25,
gfx950,256,32,4096,128,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,nvfp4_bf16,QuantType.No,1,0,16,0,45.9313,flydsl_moe1_abf16_wnvfp4_bf16_t16x64x256,0.0%,27.8561,flydsl_moe2_abf16_wnvfp4_bf16_t16x128x128_atomic,0.0%,73.7874,0,0,0,13.64,5464.04,
gfx950,256,64,4096,128,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,nvfp4_bf16,QuantType.No,1,0,16,0,61.1265,flydsl_moe1_abf16_wnvfp4_bf16_t16x64x128,0.0%,39.439,flydsl_moe2_abf16_wnvfp4_bf16_t16x128x128_atomic,0.0%,100.5655,0,0,0,20.02,4014.32,
gfx950,256,128,4096,128,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,nvfp4_bf16,QuantType.No,1,0,16,0,80.4156,flydsl_moe1_abf16_wnvfp4_bf16_t16x64x128,0.0%,50.9441,flydsl_moe2_abf16_wnvfp4_bf16_t16x128x128_atomic,0.0%,131.3597,0,0,0,30.65,3081.24,
gfx950,256,256,4096,128,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,nvfp4_bf16,QuantType.No,1,0,16,0,84.4884,flydsl_moe1_abf16_wnvfp4_bf16_t16x64x128,0.0%,56.3897,flydsl_moe2_abf16_wnvfp4_bf16_t16x128x128_atomic,0.0%,140.8781,0,0,0,57.16,2887.94,
gfx950,256,512,4096,128,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,nvfp4_bf16,QuantType.No,1,0,16,0,95.754,flydsl_moe1_abf16_wnvfp4_bf16_t16x64x128,0.0%,63.0354,flydsl_moe2_abf16_wnvfp4_bf16_t16x128x128_atomic,0.0%,158.7894,0,0,0,101.43,2588.6,
gfx950,256,1024,4096,128,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,nvfp4_bf16,QuantType.No,1,0,32,0,109.3325,flydsl_moe1_abf16_wnvfp4_bf16_t32x64x64,0.0%,80.9486,flydsl_moe2_abf16_wnvfp4_bf16_t32x128x128_atomic,0.0%,190.2811,0,0,0,169.29,2204.27,
gfx950,256,2048,4096,128,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,nvfp4_bf16,QuantType.No,1,0,64,0,123.3337,flydsl_moe1_abf16_wnvfp4_bf16_t64x128x128,0.0%,146.1737,flydsl_moe2_abf16_wnvfp4_bf16_t64x128x64_atomic,0.0%,269.5074,0,0,0,239.05,1618.54,
gfx950,256,4096,4096,128,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,nvfp4_bf16,QuantType.No,1,0,128,0,206.1787,flydsl_moe1_abf16_wnvfp4_bf16_t128x64x128,0.0%,277.7885,flydsl_moe2_abf16_wnvfp4_bf16_t128x128x64_atomic,0.0%,483.9672,0,0,0,266.24,970.65,
gfx950,256,8192,4096,128,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,nvfp4_bf16,QuantType.No,1,0,64,0,347.9878,flydsl_moe1_abf16_wnvfp4_bf16_t64x64x64,0.0%,527.7462,flydsl_moe2_abf16_wnvfp4_bf16_t64x128x64_atomic,0.0%,875.734,0,0,0,294.27,613.05,
