M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1,1,8192,False,torch.bfloat16,torch.bfloat16,False,False
2,1,8192,False,torch.bfloat16,torch.bfloat16,False,False
4,1,8192,False,torch.bfloat16,torch.bfloat16,False,False
8,1,8192,False,torch.bfloat16,torch.bfloat16,False,False
16,1,8192,False,torch.bfloat16,torch.bfloat16,False,False
32,1,8192,False,torch.bfloat16,torch.bfloat16,False,False
64,1,8192,False,torch.bfloat16,torch.bfloat16,False,False
128,1,8192,False,torch.bfloat16,torch.bfloat16,False,False
256,1,8192,False,torch.bfloat16,torch.bfloat16,False,False
512,1,8192,False,torch.bfloat16,torch.bfloat16,False,False
1024,1,8192,False,torch.bfloat16,torch.bfloat16,False,False
2048,1,8192,False,torch.bfloat16,torch.bfloat16,False,False
4096,1,8192,False,torch.bfloat16,torch.bfloat16,False,False
8192,1,8192,False,torch.bfloat16,torch.bfloat16,False,False
16384,1,8192,False,torch.bfloat16,torch.bfloat16,False,False
8,32,8192,False,torch.bfloat16,torch.bfloat16,False,False
16,32,8192,False,torch.bfloat16,torch.bfloat16,False,False
32,32,8192,False,torch.bfloat16,torch.bfloat16,False,False
64,32,8192,False,torch.bfloat16,torch.bfloat16,False,False
128,32,8192,False,torch.bfloat16,torch.bfloat16,False,False
256,32,8192,False,torch.bfloat16,torch.bfloat16,False,False
512,32,8192,False,torch.bfloat16,torch.bfloat16,False,False
1024,32,8192,False,torch.bfloat16,torch.bfloat16,False,False
2048,32,8192,False,torch.bfloat16,torch.bfloat16,False,False
4096,32,8192,False,torch.bfloat16,torch.bfloat16,False,False
8192,32,8192,False,torch.bfloat16,torch.bfloat16,False,False
16384,32,8192,False,torch.bfloat16,torch.bfloat16,False,False
512,512,8192,False,torch.bfloat16,torch.bfloat16,False,False
1024,512,8192,False,torch.bfloat16,torch.bfloat16,False,False
2048,512,8192,False,torch.bfloat16,torch.bfloat16,False,False
4096,512,8192,False,torch.bfloat16,torch.bfloat16,False,False
8192,512,8192,False,torch.bfloat16,torch.bfloat16,False,False
16384,512,8192,False,torch.bfloat16,torch.bfloat16,False,False
8,513,8192,False,torch.bfloat16,torch.bfloat16,False,False
16,513,8192,False,torch.bfloat16,torch.bfloat16,False,False
32,513,8192,False,torch.bfloat16,torch.bfloat16,False,False
64,513,8192,False,torch.bfloat16,torch.bfloat16,False,False
128,513,8192,False,torch.bfloat16,torch.bfloat16,False,False
256,513,8192,False,torch.bfloat16,torch.bfloat16,False,False
512,513,8192,False,torch.bfloat16,torch.bfloat16,False,False
1024,513,8192,False,torch.bfloat16,torch.bfloat16,False,False
2048,513,8192,False,torch.bfloat16,torch.bfloat16,False,False
4096,513,8192,False,torch.bfloat16,torch.bfloat16,False,False
8192,513,8192,False,torch.bfloat16,torch.bfloat16,False,False
16384,513,8192,False,torch.bfloat16,torch.bfloat16,False,False
8,4608,8192,False,torch.bfloat16,torch.bfloat16,False,False
16,4608,8192,False,torch.bfloat16,torch.bfloat16,False,False
32,4608,8192,False,torch.bfloat16,torch.bfloat16,False,False
64,4608,8192,False,torch.bfloat16,torch.bfloat16,False,False
128,4608,8192,False,torch.bfloat16,torch.bfloat16,False,False
256,4608,8192,False,torch.bfloat16,torch.bfloat16,False,False
512,4608,8192,False,torch.bfloat16,torch.bfloat16,False,False
1024,4608,8192,False,torch.bfloat16,torch.bfloat16,False,False
2048,4608,8192,False,torch.bfloat16,torch.bfloat16,False,False
4096,4608,8192,False,torch.bfloat16,torch.bfloat16,False,False
8192,4608,8192,False,torch.bfloat16,torch.bfloat16,False,False
16384,4608,8192,False,torch.bfloat16,torch.bfloat16,False,False
8,8192,256,False,torch.bfloat16,torch.bfloat16,False,False
16,8192,256,False,torch.bfloat16,torch.bfloat16,False,False
32,8192,256,False,torch.bfloat16,torch.bfloat16,False,False
64,8192,256,False,torch.bfloat16,torch.bfloat16,False,False
128,8192,256,False,torch.bfloat16,torch.bfloat16,False,False
256,8192,256,False,torch.bfloat16,torch.bfloat16,False,False
512,8192,256,False,torch.bfloat16,torch.bfloat16,False,False
1024,8192,256,False,torch.bfloat16,torch.bfloat16,False,False
2048,8192,256,False,torch.bfloat16,torch.bfloat16,False,False
4096,8192,256,False,torch.bfloat16,torch.bfloat16,False,False
8192,8192,256,False,torch.bfloat16,torch.bfloat16,False,False
16384,8192,256,False,torch.bfloat16,torch.bfloat16,False,False
8,31040,8192,False,torch.bfloat16,torch.bfloat16,False,False
16,31040,8192,False,torch.bfloat16,torch.bfloat16,False,False
32,31040,8192,False,torch.bfloat16,torch.bfloat16,False,False
64,31040,8192,False,torch.bfloat16,torch.bfloat16,False,False
128,31040,8192,False,torch.bfloat16,torch.bfloat16,False,False
256,31040,8192,False,torch.bfloat16,torch.bfloat16,False,False
