cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
80,1,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,17.1446,moe_ck2stages_gemm1_256x32x64x256_1x4_MulABScale_v1_Nswizzle0_Quant2_MulRoutedWeight0_silu_F8_F8_B16,0.0%,10.953,moe_ck2stages_gemm2_256x32x64x128_1x4_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,0.2%,28.0976,0,3.85,89740.95,
80,2,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,24.0484,moe_ck2stages_gemm1_256x32x64x128_1x4_MulABScale_v1_Nswizzle0_Quant2_MulRoutedWeight0_silu_F8_F8_B16,0.0%,20.1541,moe_ck2stages_gemm2_256x32x64x128_1x4_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,0.2%,44.2025,0,4.89,57044.58,
80,4,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,42.5251,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_32x128_3tg_pf2E,0.0%,32.3122,moe_ck2stages_gemm2_256x32x64x128_1x4_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,0.2%,74.8373,0,5.78,33693.47,
80,8,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,78.0311,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_32x128_3tg_pf3E,0.0%,53.6921,moe_ck2stages_gemm2_256x32x64x128_1x4_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,0.1%,131.7232,0,6.57,19142.86,
80,16,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,128.811,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_32x128_3tg_pf3E,0.0%,96.429,moe_ck2stages_gemm2_256x32x64x128_1x4_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,0.1%,225.24,0,7.68,11195.26,
80,32,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,260.2039,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_32x128_3tg_pf2E,0.0%,166.8063,moe_ck2stages_gemm2_256x32x64x128_1x4_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,0.1%,427.0102,0,8.1,5905.58,
80,64,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,345.6435,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_32x128_3tg_pf3E,0.0%,245.5786,moe_ck2stages_gemm2_256x32x64x128_1x4_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,0.1%,591.2221,0,11.71,4265.72,
80,128,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,790.4127,_ZN5aiter48fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x320E,0.0%,0.0,,0.0%,790.4127,1,17.51,3191.35,
80,256,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,848.7787,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x320E,0.0%,0.0,,0.0%,848.7787,1,32.61,2973.05,
80,512,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,850.372,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x320E,0.0%,0.0,,0.0%,850.372,1,65.11,2969.79,
80,1024,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,944.0391,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x320E,0.0%,0.0,,0.0%,944.0391,1,117.29,2679.3,
80,2048,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,64,0,714.4553,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_64x128_2tg_pf3E,0.0%,736.8913,moe_ck2stages_gemm2_256x64x128x128_1x4_MulABScaleExpertWeight_v3_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,0.1%,1451.3466,0,152.59,1748.19,
80,4096,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,2277.5638,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x320E,0.0%,0.0,,0.0%,2277.5638,1,194.47,1120.91,
80,8192,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,3836.9471,_ZN5aiter48fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x320E,0.0%,0.0,,0.0%,3836.9471,1,230.87,673.56,
80,16384,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,6821.1752,_ZN5aiter48fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x320E,0.0%,0.0,,0.0%,6821.1752,1,259.73,388.1,
80,32768,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,12799.0745,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x320E,0.0%,0.0,,0.0%,12799.0745,1,276.84,216.67,
80,1,2560,320,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,52.0375,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x320E,0.0%,0.0,,0.0%,52.0375,1,1.04,24227.84,
80,2,2560,320,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,54.1107,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x320E,0.0%,0.0,,0.0%,54.1107,1,2.0,23299.72,
80,4,2560,320,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,55.5039,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x320E,0.0%,0.0,,0.0%,55.5039,1,3.9,22715.15,
80,8,2560,320,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,63.6189,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x320E,0.0%,0.0,,0.0%,63.6189,1,6.8,19818.17,
80,16,2560,320,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,109.4671,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x320E,0.0%,0.0,,0.0%,109.4671,1,7.9,11518.27,
80,32,2560,320,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,190.4303,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x320E,0.0%,0.0,,0.0%,190.4303,1,9.09,6621.82,
