gfx,cu_num,N,C,D,H,W,K,kT,kH,kW,stride_d,stride_h,stride_w,pad_d,pad_h,pad_w,dil_d,dil_h,dil_w,groups,bias,tile_m,tile_n,wave_m,wave_n,wgm,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,3,1,1328,1328,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,96,96,2,3,1,1,182.7385,conv3d_implicit_t96x96_w2x3_g1,0.0,50.03,1910.9
gfx950,256,1,96,1,1328,1328,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,192,128,2,2,1,1,644.0057,conv3d_implicit_t192x128_w2x2_g1,0.0,454.28,1051.83
gfx950,256,1,96,1,1329,1329,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True,192,128,2,2,1,1,322.2988,conv3d_implicit_t192x128_w2x2_g1,0.0,226.93,1315.35
gfx950,256,1,96,1,664,664,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,2,2,1,1,237.2104,conv3d_implicit_t128x192_w2x2_g1,0.0,616.66,1071.99
gfx950,256,1,192,1,664,664,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,1,4,1,1,417.4716,conv3d_implicit_t128x192_w1x4_g1,0.0,700.78,812.68
gfx950,256,1,192,1,665,665,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True,128,192,1,4,1,1,191.2177,conv3d_implicit_t128x192_w1x4_g1,0.0,382.49,1112.89
gfx950,256,1,192,1,332,332,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,192,128,2,2,8,1,191.2523,conv3d_implicit_t192x128_w2x2_g8,0.0,764.85,670.87
gfx950,256,1,384,1,332,332,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,192,128,2,2,8,1,350.6773,conv3d_implicit_t192x128_w2x2_g8,0.0,834.26,490.36
gfx950,256,1,384,1,333,333,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True,128,192,4,1,1,1,131.8467,conv3d_implicit_t128x192_w4x1_g1,0.0,554.73,826.57
gfx950,256,1,384,1,166,166,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,192,128,1,4,1,1,103.7462,conv3d_implicit_t192x128_w1x4_g1,0.0,704.98,433.56
gfx950,256,1,384,1,166,166,32,1,3,3,1,1,1,0,1,1,1,1,1,1,True,32,32,1,2,1,1,42.1283,conv3d_implicit_t32x32_w1x2_g1,0.0,144.68,549.46
gfx950,256,1,16,1,166,166,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,192,128,2,2,1,1,21.8276,conv3d_implicit_t192x128_w2x2_g1,0.0,139.62,1015.02
gfx950,256,1,384,1,332,332,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,4,1,1,1,215.9677,conv3d_implicit_t128x192_w4x1_g1,0.0,677.32,594.09
gfx950,256,1,384,1,664,664,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,2,2,1,1,838.8033,conv3d_implicit_t128x192_w2x2_g1,0.0,697.56,607.1
gfx950,256,1,192,1,1328,1328,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,96,96,2,3,1,1,1383.1568,conv3d_implicit_t96x96_w2x3_g1,0.0,423.03,734.66
gfx950,256,1,96,1,1328,1328,3,1,3,3,1,1,1,0,1,1,1,1,1,1,True,192,48,3,1,1,1,394.9058,conv3d_implicit_t192x48_w3x1_g1,0.0,23.15,884.25
