gfx,cu_num,N,C,D,H,W,K,kT,kH,kW,stride_d,stride_h,stride_w,pad_d,pad_h,pad_w,dil_d,dil_h,dil_w,groups,bias,tile_m,tile_n,wave_m,wave_n,wgm,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,3,6,482,834,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True,192,128,4,1,1,1,239.7647,conv3d_implicit_t192x128_w4x1_g1,0.0,103.62,1339.63
gfx950,256,1,96,6,482,834,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True,192,128,4,1,1,1,1328.6985,conv3d_implicit_t192x128_w4x1_g1,0.0,598.32,579.74
gfx950,256,1,96,1,481,833,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True,128,128,4,2,1,1,77.6574,conv3d_implicit_t128x128_w4x2_g1,0.0,213.27,1239.6
gfx950,256,4,96,1,481,833,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True,128,128,1,4,1,1,360.0177,conv3d_implicit_t128x128_w1x4_g1,0.0,184.02,1068.17
gfx950,256,1,96,6,242,418,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True,128,192,2,2,1,1,528.069,conv3d_implicit_t128x192_w2x2_g1,0.0,752.73,512.97
gfx950,256,1,192,6,242,418,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True,128,192,2,2,1,1,999.4219,conv3d_implicit_t128x192_w2x2_g1,0.0,795.45,388.63
gfx950,256,1,192,1,241,417,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True,128,128,2,2,8,1,57.446,conv3d_implicit_t128x128_w2x2_g8,0.0,288.31,850.17
gfx950,256,4,192,1,241,417,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True,128,192,4,1,1,1,208.6186,conv3d_implicit_t128x192_w4x1_g1,0.0,317.56,926.89
gfx950,256,1,192,4,122,210,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,128,128,2,4,8,1,248.4636,conv3d_implicit_t128x128_w2x4_g8,0.0,799.9,328.71
gfx950,256,1,384,4,122,210,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,128,128,2,4,8,1,480.6062,conv3d_implicit_t128x128_w2x4_g8,0.0,827.07,260.1
gfx950,256,1,384,1,121,209,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True,64,64,2,2,8,1,53.7499,conv3d_implicit_t64x64_w2x2_g8,0.0,308.14,499.88
gfx950,256,2,384,1,121,209,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True,64,192,2,2,8,1,96.5484,conv3d_implicit_t64x192_w2x2_g8,0.0,343.09,529.09
gfx950,256,1,384,3,62,106,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,64,64,2,2,8,1,115.5451,conv3d_implicit_t64x64_w2x2_g8,0.0,430.02,241.44
gfx950,256,1,384,3,62,106,32,3,3,3,1,1,1,0,0,0,1,1,1,1,True,32,32,1,2,1,1,80.1257,conv3d_implicit_t32x32_w1x2_g1,0.0,51.68,202.24
gfx950,256,1,16,3,62,106,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,64,64,2,2,1,1,19.066,conv3d_implicit_t64x64_w2x2_g1,0.0,108.59,301.85
gfx950,256,1,384,1,120,208,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,128,2,2,8,1,74.4001,conv3d_implicit_t128x128_w2x2_g8,0.0,445.22,404.31
gfx950,256,2,384,1,120,208,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,4,1,1,1,131.6508,conv3d_implicit_t128x192_w4x1_g1,0.0,503.22,446.9
gfx950,256,1,384,1,240,416,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,4,1,1,1,206.5733,conv3d_implicit_t128x192_w4x1_g1,0.0,641.41,563.2
gfx950,256,4,384,1,240,416,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,2,2,1,1,863.2563,conv3d_implicit_t128x192_w2x2_g1,0.0,613.95,534.48
gfx950,256,1,192,1,480,832,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,96,96,2,3,1,1,245.4595,conv3d_implicit_t96x96_w2x3_g1,0.0,539.8,938.5
gfx950,256,4,192,1,480,832,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,96,96,2,3,1,1,1486.1705,conv3d_implicit_t96x96_w2x3_g1,0.0,356.62,619.35
gfx950,256,1,96,6,482,834,3,3,3,3,1,1,1,0,0,0,1,1,1,1,True,96,32,1,2,1,1,780.0291,conv3d_implicit_t96x32_w1x2_g1,0.0,31.85,605.99
