gfx,cu_num,M,N,K,a_dtype,b_dtype,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,768,7168,fp8,fp8,flydsl,2202,4,12.1088,flydsl_mxpsh_32x128x256_F8_F8_B16_w0_x0_sk4,0.91,455.35,0.0
gfx950,256,2,768,7168,fp8,fp8,flydsl,2234,4,12.6585,flydsl_mxpsh_32x128x256_F8_F8_B16_w4_x0_sk4,1.74,436.26,0.0
gfx950,256,4,768,7168,fp8,fp8,flydsl,2226,4,12.9085,flydsl_mxpsh_32x128x256_F8_F8_B16_w3_x0_sk4,3.41,429.16,0.0
gfx950,256,8,768,7168,fp8,fp8,flydsl,2210,4,13.0069,flydsl_mxpsh_32x128x256_F8_F8_B16_w1_x0_sk4,6.77,428.59,0.0
gfx950,256,16,768,7168,fp8,fp8,flydsl,2234,4,12.8205,flydsl_mxpsh_32x128x256_F8_F8_B16_w4_x0_sk4,13.74,440.25,0.0
gfx950,256,32,768,7168,fp8,fp8,flydsl,2230,4,13.3017,flydsl_mxpsh_32x128x256_F8_F8_B16_w3_x4_sk4,26.49,434.8,0.0
gfx950,256,48,768,7168,fp8,fp8,flydsl,2222,4,12.7896,flydsl_mxpsh_32x128x256_F8_F8_B16_w2_x4_sk4,41.32,463.1,0.0
gfx950,256,64,768,7168,fp8,fp8,flydsl,2238,4,12.8325,flydsl_mxpsh_32x128x256_F8_F8_B16_w4_x4_sk4,54.91,472.4,0.0
gfx950,256,80,768,7168,fp8,fp8,flydsl,2234,4,12.5933,flydsl_mxpsh_32x128x256_F8_F8_B16_w4_x0_sk4,69.94,492.43,0.0
gfx950,256,96,768,7168,fp8,fp8,flydsl,2234,4,12.7377,flydsl_mxpsh_32x128x256_F8_F8_B16_w4_x0_sk4,82.98,497.78,0.0
gfx950,256,112,768,7168,fp8,fp8,flydsl,2226,4,12.7707,flydsl_mxpsh_32x128x256_F8_F8_B16_w3_x0_sk4,96.56,507.4,0.0
gfx950,256,128,768,7168,fp8,fp8,flydsl,2234,4,12.8389,flydsl_mxpsh_32x128x256_F8_F8_B16_w4_x0_sk4,109.77,515.55,0.0
gfx950,256,144,768,7168,fp8,fp8,flydsl,2238,4,13.0737,flydsl_mxpsh_32x128x256_F8_F8_B16_w4_x4_sk4,121.27,516.95,0.0
gfx950,256,160,768,7168,fp8,fp8,flydsl,2210,4,13.2688,flydsl_mxpsh_32x128x256_F8_F8_B16_w1_x0_sk4,132.76,519.84,0.0
gfx950,256,176,768,7168,fp8,fp8,flydsl,2234,4,13.3351,flydsl_mxpsh_32x128x256_F8_F8_B16_w4_x0_sk4,145.31,527.7,0.0
gfx950,256,192,768,7168,fp8,fp8,flydsl,2238,4,13.346,flydsl_mxpsh_32x128x256_F8_F8_B16_w4_x4_sk4,158.39,537.7,0.0
gfx950,256,208,768,7168,fp8,fp8,flydsl,2238,4,13.5185,flydsl_mxpsh_32x128x256_F8_F8_B16_w4_x4_sk4,169.4,541.14,0.0
gfx950,256,224,768,7168,fp8,fp8,flydsl,2214,4,13.9435,flydsl_mxpsh_32x128x256_F8_F8_B16_w1_x4_sk4,176.87,534.64,0.0
gfx950,256,240,768,7168,fp8,fp8,flydsl,2222,4,13.8342,flydsl_mxpsh_32x128x256_F8_F8_B16_w2_x4_sk4,191.01,548.93,0.0
gfx950,256,256,768,7168,fp8,fp8,flydsl,2238,4,13.5945,flydsl_mxpsh_32x128x256_F8_F8_B16_w4_x4_sk4,207.33,568.85,0.0
gfx950,256,288,768,7168,fp8,fp8,flydsl,2230,4,14.2114,flydsl_mxpsh_32x128x256_F8_F8_B16_w3_x4_sk4,223.12,563.76,0.0
