w_dtype,model_dim,inter_dim,experts,topk,token,stage,tile_m,tile_n,tile_k,k_wave,xcd_swizzle,b_nt
mxfp4,3584,384,896,16,1,1,32,64,128,4,0,0
mxfp4,3584,384,896,16,1,2,32,256,256,1,1,0
mxfp4,3584,384,896,16,2,1,32,64,128,4,0,0
mxfp4,3584,384,896,16,2,2,32,256,256,1,1,0
mxfp4,3584,384,896,16,4,1,32,128,256,1,0,0
mxfp4,3584,384,896,16,4,2,32,256,256,1,1,0
mxfp4,3584,384,896,16,8,1,32,128,256,1,0,0
mxfp4,3584,384,896,16,8,2,32,256,256,1,1,0
mxfp4,3584,384,896,16,16,1,32,128,128,1,1,2
mxfp4,3584,384,896,16,16,2,32,256,256,1,1,0
mxfp4,3584,384,896,16,32,1,32,128,128,1,1,2
mxfp4,3584,384,896,16,32,2,32,256,256,1,1,2
mxfp4,3584,384,896,16,64,1,32,128,128,1,1,2
mxfp4,3584,384,896,16,64,2,32,256,256,1,1,2
mxfp4,3584,384,896,16,128,1,32,128,128,1,1,2
mxfp4,3584,384,896,16,128,2,32,256,256,1,1,2
mxfp4,3584,384,896,16,256,1,32,128,128,1,1,2
mxfp4,3584,384,896,16,256,2,32,256,256,1,1,2
mxfp4,3584,384,896,16,512,1,32,128,128,1,1,2
mxfp4,3584,384,896,16,512,2,32,256,256,1,1,2
mxfp4,3584,384,896,16,1024,1,32,128,128,1,1,2
mxfp4,3584,384,896,16,1024,2,32,256,256,1,1,2
mxfp4,3584,384,896,16,2048,1,32,128,128,1,1,0
mxfp4,3584,384,896,16,2048,2,32,256,256,1,1,0
mxfp4,3584,384,896,16,4096,1,32,128,128,1,1,0
mxfp4,3584,384,896,16,4096,2,32,256,256,1,1,0
mxfp4,3584,384,896,16,8192,1,32,128,128,1,1,0
mxfp4,3584,384,896,16,8192,2,32,256,256,1,1,0
mxfp4,3584,384,896,16,16384,1,32,128,128,1,1,0
mxfp4,3584,384,896,16,16384,2,32,256,256,1,1,0
mxfp4,3584,384,896,16,32768,1,32,128,128,1,1,0
mxfp4,3584,384,896,16,32768,2,32,256,256,1,1,0
mxfp4,3584,512,896,16,1,1,32,64,128,4,0,0
mxfp4,3584,512,896,16,1,2,32,256,256,1,1,0
mxfp4,3584,512,896,16,2,1,32,64,128,4,0,0
mxfp4,3584,512,896,16,2,2,32,256,256,1,1,0
mxfp4,3584,512,896,16,4,1,32,128,256,1,0,0
mxfp4,3584,512,896,16,4,2,32,256,256,1,1,0
