tile_m,tile_n,intype,a_preshuffle,cluster_x,cluster_y,scale,outtype,knl_name,co_name
256,256,mxfp4,1,4,4,1,bf16,_ZN5aiter45f4gemm_bf16_mxfp4_ABpreShuffle_256x256_4x4_psE,f4gemm_bf16_mxfp4_ABpreShuffle_256x256_4x4_ps.co
256,256,mxfp4,0,4,4,1,bf16,_ZN5aiter44f4gemm_bf16_mxfp4_BpreShuffle_256x256_4x4_psE,f4gemm_bf16_mxfp4_BpreShuffle_256x256_4x4_ps.co
256,256,mxfp4,1,4,4,1,fp8,_ZN5aiter44f4gemm_fp8_mxfp4_ABpreShuffle_256x256_4x4_psE,f4gemm_fp8_mxfp4_ABpreShuffle_256x256_4x4_ps.co
256,256,mxfp4,0,4,4,1,fp8,_ZN5aiter43f4gemm_fp8_mxfp4_BpreShuffle_256x256_4x4_psE,f4gemm_fp8_mxfp4_BpreShuffle_256x256_4x4_ps.co
256,256,nvfp4,1,4,4,1,bf16,_ZN5aiter45f4gemm_bf16_nvfp4_ABpreShuffle_256x256_4x4_psE,f4gemm_bf16_nvfp4_ABpreShuffle_256x256_4x4_ps.co
256,256,nvfp4,0,4,4,1,bf16,_ZN5aiter44f4gemm_bf16_nvfp4_BpreShuffle_256x256_4x4_psE,f4gemm_bf16_nvfp4_BpreShuffle_256x256_4x4_ps.co
256,256,nvfp4,1,4,4,1,fp8,_ZN5aiter44f4gemm_fp8_nvfp4_ABpreShuffle_256x256_4x4_psE,f4gemm_fp8_nvfp4_ABpreShuffle_256x256_4x4_ps.co
256,256,nvfp4,0,4,4,1,fp8,_ZN5aiter43f4gemm_fp8_nvfp4_BpreShuffle_256x256_4x4_psE,f4gemm_fp8_nvfp4_BpreShuffle_256x256_4x4_ps.co
256,256,mxfp4,1,4,4,0,fp4,_ZN5aiter52f4gemm_fp4_mxfp4_ABpreShuffle_256x256_4x4_ps_noscaleE,f4gemm_fp4_mxfp4_ABpreShuffle_256x256_4x4_ps_noscale.co
256,256,mxfp4,1,4,4,1,bf16,_ZN5aiter53f4gemm_bf16_mxfp4_ABpreShuffle_256x256_4x4_ps_low_effE,f4gemm_bf16_mxfp4_ABpreShuffle_256x256_4x4_ps_low_eff.co
256,256,mxfp4,1,4,4,1,fp8,_ZN5aiter52f4gemm_fp8_mxfp4_ABpreShuffle_256x256_4x4_ps_low_effE,f4gemm_fp8_mxfp4_ABpreShuffle_256x256_4x4_ps_low_eff.co
256,256,mxfp4,0,4,4,1,bf16,_ZN5aiter52f4gemm_bf16_mxfp4_BpreShuffle_256x256_4x4_ps_low_effE,f4gemm_bf16_mxfp4_BpreShuffle_256x256_4x4_ps_low_eff.co
256,256,mxfp4,0,4,4,1,fp8,_ZN5aiter51f4gemm_fp8_mxfp4_BpreShuffle_256x256_4x4_ps_low_effE,f4gemm_fp8_mxfp4_BpreShuffle_256x256_4x4_ps_low_eff.co
256,256,nvfp4,1,4,4,1,bf16,_ZN5aiter53f4gemm_bf16_nvfp4_ABpreShuffle_256x256_4x4_ps_low_effE,f4gemm_bf16_nvfp4_ABpreShuffle_256x256_4x4_ps_low_eff.co
256,256,nvfp4,1,4,4,1,fp8,_ZN5aiter52f4gemm_fp8_nvfp4_ABpreShuffle_256x256_4x4_ps_low_effE,f4gemm_fp8_nvfp4_ABpreShuffle_256x256_4x4_ps_low_eff.co
256,256,nvfp4,0,4,4,1,bf16,_ZN5aiter52f4gemm_bf16_nvfp4_BpreShuffle_256x256_4x4_ps_low_effE,f4gemm_bf16_nvfp4_BpreShuffle_256x256_4x4_ps_low_eff.co
256,256,nvfp4,0,4,4,1,fp8,_ZN5aiter51f4gemm_fp8_nvfp4_BpreShuffle_256x256_4x4_ps_low_effE,f4gemm_fp8_nvfp4_BpreShuffle_256x256_4x4_ps_low_eff.co
