tile_M,tile_N,block_size,splitK,bpreshuffle,pack_layout,swizzle_max_M,swizzle_max_N,swizzle_max_K,knl_name,co_name
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,6144,f6gemm_dmabig_kernel_func,gemm_mxfp6_dmabig.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,0,0,0,f6gemm_dmabig_swz0_kernel_func,gemm_mxfp6_dmabig_swz0.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,65536,16384,6144,f6gemm_dmabig_grp16_kernel_func,gemm_mxfp6_dmabig_grp16.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,262144,16384,6144,f6gemm_dmabig_grp64_kernel_func,gemm_mxfp6_dmabig_grp64.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,16384,f6gemm_dmabig_allk_kernel_func,gemm_mxfp6_dmabig_allk.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,6144,f6gemm_stnt_kernel_func,gemm_mxfp6_stnt.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_stnt_allk_kernel_func,gemm_mxfp6_stnt_allk.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,0,0,0,aiter_a6w6_m256n256_persistent,a6w6_m256n256_persistent.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,0,0,0,aiter_a6w6_m256n256_persistent_prefetch10,a6w6_m256n256_persistent_prefetch10.co
256,512,256,0,0,mxfp6_c0c1_256_padk2,0,0,0,aiter_a6w6_m256n512_persistent,a6w6_m256n512_persistent.co
256,512,256,0,0,mxfp6_c0c1_256_padk2,0,0,0,aiter_a6w6_m256n512_persistent_row_stage,a6w6_m256n512_persistent_row_stage.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,0,0,0,aiter_a6w6_m256n256_row_stage_gm4_k16k,a6w6_m256n256_row_stage_gm4_k16k.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,0,0,0,aiter_a6w6_m256n256_persistent_bias,a6w6_m256n256_persistent_bias.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,0,0,0,aiter_a6w6_m256n256_persistent_prefetch10_bias,a6w6_m256n256_persistent_prefetch10_bias.co
256,512,256,0,0,mxfp6_c0c1_256_padk2,0,0,0,aiter_a6w6_m256n512_persistent_bias,a6w6_m256n512_persistent_bias.co
256,512,256,0,0,mxfp6_c0c1_256_padk2,0,0,0,aiter_a6w6_m256n512_persistent_row_stage_bias,a6w6_m256n512_persistent_row_stage_bias.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_cold_base_kernel_func,gemm_mxfp6_cold_base.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_cold_nbrd_kernel_func,gemm_mxfp6_cold_nbrd.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_cold_nl_kernel_func,gemm_mxfp6_cold_nl.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_cold_diag_kernel_func,gemm_mxfp6_cold_diag.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_cold_dupld_kernel_func,gemm_mxfp6_cold_dupld.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_cold_dupld15_kernel_func,gemm_mxfp6_cold_dupld15.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_cold_nostore_kernel_func,gemm_mxfp6_cold_nostore.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_cold_stsame_kernel_func,gemm_mxfp6_cold_stsame.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_skel_base_kernel_func,gemm_mxfp6_skel_base.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_skel_nost_kernel_func,gemm_mxfp6_skel_nost.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_skel_nost_diag_kernel_func,gemm_mxfp6_skel_nost_diag.co
