[aiter] import [module_aiter_enum] under /workspace/aiter/aiter/jit/module_aiter_enum.so
[aiter] INFO: import [module_aiter_enum] under /workspace/aiter/aiter/jit/module_aiter_enum.so
bench_mhc_lite_full:
          M    n        C  time(ms)  throughput(TFLOPS)  bandwidth(GB/s)  arithmetic_intensity(FLOP/byte)
0    1024.0  4.0    128.0  0.028602            1.483201        46.865725                        32.423577
1    2048.0  4.0    128.0  0.027099            2.805270        86.509395                        32.913236
2    4096.0  4.0    128.0  0.024952            5.812288       174.484223                        33.163653
3    8192.0  4.0    128.0  0.026710           10.824173       333.091487                        33.290296
4   16384.0  4.0    128.0  0.023293           24.781837       730.692338                        33.353981
5    1024.0  4.0    512.0  0.024324            5.754268       159.020200                        32.828482
6    2048.0  4.0    512.0  0.025014           11.588787       353.029116                        33.331135
7    4096.0  4.0    512.0  0.027726           21.528002       641.815127                        33.588279
8    8192.0  4.0    512.0  0.037107           32.586287       985.680640                        33.718344
9   16384.0  4.0    512.0  0.047320           47.448183      1511.396114                        33.783755
10   1024.0  4.0   4096.0  0.067961           16.800052       509.085535                        32.951867
11   2048.0  4.0   4096.0  0.066647           34.711341      1042.614743                        33.458514
12   4096.0  4.0   4096.0  0.092573           49.350180      1462.879142                        33.717726
13   8192.0  4.0   4096.0  0.134123           68.098966      2011.589520                        33.848843
14  16384.0  4.0   4096.0  0.219000           83.338640      2456.998626                        33.914785
15   1024.0  4.0  32768.0  0.229148           39.834618      1208.134081                        32.967465
16   2048.0  4.0  32768.0  0.291081           62.724583      1873.254145                        33.474619
17   4096.0  4.0  32768.0  0.427308           85.463801      2534.545394                        33.734093
18   8192.0  4.0  32768.0  0.790114           92.469962      2729.179608                        33.865344
19  16384.0  4.0  32768.0  1.595070           91.683654      2705.848664                        33.931353
