gfx,cu_num,token_per_rank,conc,model_dim,inter_dim,expert,local_expert,ep,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,kernelName1,gemm1_us,err1,kernelName2,gemm2_us,err2,gemm_total_us,run_1stage,xbf16,flat,tflops,bw,_tag,iters,stat_tail,aggregation,total_recv_mean,dispatch_us,dispatch_mori_payload_gbps,sorting_kernel_us,moe_kernel_sum_us,combine_us,combine_mori_payload_gbps,all_kernel_sum_us
gfx950,256,1,16,7168,3072,384,24,16,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,mfma_moe1_silu_mul_afp8_wfp4_bf16_t32x128x256_pm1_async_gui_v33,24.86,,mfma_moe2_afp8_wfp4_bf16_cshuffle_t32x128x256_vscale_fix3_fp4opt_v1_pm1_acc0,11.42,,36.28,0,0,0,21.85,23221.57,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,4.8750,46.48,0.74,15.72,36.28,81.01,0.94,179.49
gfx950,256,2,32,7168,3072,384,24,16,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,mfma_moe1_silu_mul_afp8_wfp4_bf16_t32x128x256_pm1_async_gui_v33,38.78,,mfma_moe2_afp8_wfp4_bf16_cshuffle_t32x128x256_vscale_fix3_fp4opt_v1_pm1_acc0,19.78,,58.56,0,0,0,27.07,14387.15,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,10.1250,46.55,1.57,13.17,58.56,90.11,1.72,208.39
gfx950,256,4,64,7168,3072,384,24,16,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,mfma_moe1_silu_mul_afp8_wfp4_fp8_t32x128x256_pm1_fp8q_sort_async_gui_v33,59.94,,mfma_moe2_afp8_wfp4_bf16_cshuffle_t32x128x256_vscale_fix3_fp4opt_v1_pm1_acc0,33.46,,93.41,0,0,0,33.95,9023.90,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,20.2500,45.57,3.19,13.15,93.41,84.84,3.54,236.96
gfx950,256,8,128,7168,3072,384,24,16,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,mfma_moe1_silu_mul_afp8_wfp4_fp8_t32x128x256_pm1_fp8q_sort_async_gui_v33,80.74,,mfma_moe2_afp8_wfp4_bf16_cshuffle_t32x128x256_vscale_fix3_fp4opt_v1_pm1_acc0,47.61,,128.35,0,0,0,49.40,6571.43,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,41.0625,47.92,6.21,13.24,128.35,91.45,6.64,280.96
gfx950,256,16,256,7168,3072,384,24,16,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,mfma_moe1_silu_mul_afp8_wfp4_fp8_t32x128x256_pm1_fp8q_sort_async_gui_v33,88.93,,mfma_moe2_afp8_wfp4_bf16_cshuffle_t32x128x256_vscale_fix3_fp4opt_v1_pm1_acc0,54.18,,143.11,0,0,0,88.63,5902.19,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,81.8125,52.12,11.31,13.53,143.11,82.81,14.26,291.57
gfx950,256,32,512,7168,3072,384,24,16,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,mfma_moe1_silu_mul_afp8_wfp4_fp8_t64x256x256_pm1_fp8q_sort_async_gui_v33,106.93,,mfma_moe2_afp8_wfp4_bf16_cshuffle_t64x256x256_vscale_fix3_fp4opt_v1_pm1,58.95,,165.87,0,0,0,152.93,5106.70,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,165.3750,60.05,20.20,15.89,165.87,92.07,26.01,333.88
gfx950,256,64,1024,7168,3072,384,24,16,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,mfma_moe1_silu_mul_afp8_wfp4_fp8_t128x256x256_pm1_fp8q_sort_async_gui_v33,131.07,,mfma_moe2_afp8_wfp4_bf16_cshuffle_t64x128x256_vscale_fix3_fp4opt_v1_pm1_sbm128,94.97,,226.04,0,0,0,224.45,3768.56,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,329.5625,78.57,31.12,17.25,226.04,119.37,40.15,441.23
gfx950,256,128,2048,7168,3072,384,24,16,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,mfma_moe1_silu_mul_afp8_wfp4_fp8_t128x256x256_pm1_fp8q_sort_async_gui_v33,135.26,,mfma_moe2_afp8_wfp4_bf16_cshuffle_t64x256x256_vscale_fix3_fp4opt_v1_pm1_sbm128,107.08,,242.34,0,0,0,418.70,3554.88,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,661.0625,115.04,44.93,27.58,242.34,144.64,68.81,529.61
gfx950,256,256,4096,7168,3072,384,24,16,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,mfma_moe1_silu_mul_afp8_wfp4_fp8_t128x256x256_pm1_fp8q_sort_async_gui_v33,138.91,,mfma_moe2_afp8_wfp4_bf16_cshuffle_t64x256x256_vscale_fix3_fp4opt_v1_pm1_sbm128,117.38,,256.29,0,0,0,791.82,3436.36,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,1321.4375,165.12,64.50,29.69,256.29,211.64,94.95,662.74
gfx950,256,512,8192,7168,3072,384,24,16,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,mfma_moe1_silu_mul_afp8_wfp4_fp8_t128x256x256_pm1_fp8q_sort_async_gui_v33,184.73,,mfma_moe2_afp8_wfp4_bf16_cshuffle_t64x256x256_vscale_fix3_fp4opt_v1_pm1_sbm128,152.81,,337.53,0,0,0,1202.47,2723.30,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,2645.2500,266.98,80.35,33.19,337.53,330.47,119.82,968.17
