gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,17.3107,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt_situv2_xcd4,0.011672,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_sbm16,0.011672,17.3107,0,0,0,0,0,
gfx950,256,2,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,19.3216,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt_situv2,0.011426,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x128_atomic_sbm16,0.011426,19.3216,0,0,0,0,0,
gfx950,256,3,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,26.8755,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_hpf_nt_situv2,0.011418,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_sbm16,0.011418,26.8755,0,0,0,0,0,
gfx950,256,4,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,29.8852,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_hpf_nt_situv2,0.010939,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x128_atomic_nt_sbm16,0.010939,29.8852,0,0,0,0,0,
gfx950,256,8,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,48.6751,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt_situv2_xcd2,0.011303,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x128_atomic_sbm16,0.011303,48.6751,0,0,0,0,0,
gfx950,256,16,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,81.9578,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_hpf_nt_situv2_xcd4,0.011563,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_sbm16,0.011563,81.9578,0,0,0,0,0,
gfx950,256,32,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,140.1273,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_situv2_xcd2,0.011339,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,0.011339,140.1273,0,0,0,0,0,
gfx950,256,64,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,213.4765,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_nt_situv2,0.011281,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,0.011281,213.4765,0,0,0,0,0,
gfx950,256,128,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,267.4981,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt_situv2_xcd2,0.011234,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,0.011234,267.4981,0,0,0,0,0,
gfx950,256,256,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,300.2603,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt_situv2_xcd2,0.011208,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,0.011208,300.2603,0,0,0,0,0,
gfx950,256,512,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,310.2784,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt_situv2_xcd2,0.011175,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,0.011175,310.2784,0,0,0,0,0,
gfx950,256,1024,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,343.8731,flydsl_mxmoe_g1_a4w4_32x128x256_nt_situv2_xcd2,0.011193,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_nt_sbm32,0.011193,343.8731,0,0,0,0,0,
gfx950,256,2048,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,448.3203,flydsl_mxmoe_g1_a4w4_64x256x256_nt_situv2_xcd2,0.011197,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x128_atomic_nt_sbm64,0.011197,448.3203,0,0,0,0,0,
gfx950,256,4096,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,657.8133,flydsl_mxmoe_g1_a4w4_128x128x256_situv2_xcd2,0.011224,0,flydsl_moe2_layout_afp4_wfp4_bf16_t128x128x128_reduce_sbm128,0.011224,657.8133,0,0,0,0,0,
gfx950,256,8192,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1010.1835,flydsl_mxmoe_g1_a4w4_64x256x256_situv2_xcd2,0.011218,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm64,0.011218,1010.1835,0,0,0,0,0,
gfx950,256,16384,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1748.1771,flydsl_mxmoe_g1_a4w4_64x256x256_situv2_xcd2,0.011203,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm64,0.011203,1748.1771,0,0,0,0,0,
gfx950,256,32768,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,3388.6396,flydsl_mxmoe_g1_a4w4_64x256x256_situv2_xcd2,0.011215,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm64,0.011215,3388.6396,0,0,0,0,0,
gfx950,256,1,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,48.7965,flydsl_mxmoe_g1_a4w4_32x128x256_nt_situv2_xcd2,0.011083,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,0.011083,48.7965,0,0,0,0,0
gfx950,256,2,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,78.7319,flydsl_mxmoe_g1_a4w4_32x128x256_nt_situv2_xcd2,0.01173,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,0.01173,78.7319,0,0,0,0,0
gfx950,256,3,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,99.4487,flydsl_mxmoe_g1_a4w4_32x128x256_nt_situv2_xcd2,0.011425,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,0.011425,99.4487,0,0,0,0,0
gfx950,256,4,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,116.9288,flydsl_mxmoe_g1_a4w4_32x128x256_nt_situv2_xcd2,0.011577,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,0.011577,116.9288,0,0,0,0,0
