token_per_rank,dispatch_mean_us,dispatch_best_rank_us,dispatch_worst_rank_us,dispatch_min_iter_us,combine_mean_us,combine_best_rank_us,combine_worst_rank_us,combine_min_iter_us,iters,stat_tail,routing,kernel
1,647.52,610.24,676.84,86.20,230.05,194.31,280.38,132.40,100,20,cross_node,InterNodeV1LL
2,180.02,151.19,213.94,120.76,296.36,246.27,401.54,127.44,100,20,cross_node,InterNodeV1LL
4,884.84,818.80,972.07,123.12,351.33,278.49,444.47,130.16,100,20,cross_node,InterNodeV1LL
8,305.53,256.93,363.52,105.84,807.20,746.83,974.53,126.72,100,20,cross_node,InterNodeV1LL
16,1219.52,434.09,2011.07,72.80,294.70,194.25,755.51,128.12,100,20,cross_node,InterNodeV1LL_cfg256_128_8
32,731.69,458.87,1006.96,147.16,233.75,185.13,292.35,132.72,100,20,cross_node,InterNodeV1LL
64,267.66,227.78,332.29,125.64,241.80,200.46,293.64,145.08,100,20,cross_node,InterNodeV1LL
128,436.43,375.85,506.76,118.72,335.99,285.40,496.49,149.84,100,20,cross_node,InterNodeV1LL
256,471.59,433.43,524.36,150.04,521.70,416.87,754.43,367.48,100,20,cross_node,InterNodeV1LL
512,1060.39,893.62,1196.08,286.04,743.64,563.60,943.70,537.80,100,20,cross_node,InterNodeV1LL
1024,907.57,734.91,1095.21,479.04,2027.37,1505.21,3411.21,1264.49,100,20,cross_node,InterNodeV1LL
2048,1301.82,944.39,1644.40,861.45,3194.65,2387.94,5590.79,2238.69,100,20,cross_node,InterNodeV1LL
4096,2566.61,1734.60,3359.15,1650.81,5861.38,4380.84,7623.40,4192.79,100,20,cross_node,InterNodeV1LL
